"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Logan Morrison","Marlins","123","525","23","54","72","2","10.3 %","18.9 %",".221",".265",".247",".330",".468",".346","116","0.0","9.8","-18.5","0.8","9205"
"Gordon Beckham","White Sox","150","557","10","60","44","5","6.3 %","19.9 %",".106",".276",".230",".296",".337",".285","72","2.0","-16.1","4.9","0.7","9015"
"Edwin Encarnacion","Blue Jays","134","530","17","70","55","8","8.1 %","14.5 %",".181",".292",".272",".334",".453",".343","113","-2.3","5.7","-16.6","0.7","2151"
"Freddie Freeman","Braves","157","635","21","67","76","4","8.3 %","22.4 %",".166",".339",".282",".346",".448",".348","120","-4.9","9.9","-23.6","0.6","5361"
"Aaron Hill","- - -","137","571","8","61","61","21","6.1 %","12.6 %",".110",".268",".246",".299",".356",".290","77","0.9","-14.7","2.5","0.6","6104"
"Alex Gonzalez","Braves","149","593","15","59","56","2","3.7 %","21.2 %",".131",".285",".241",".270",".372",".281","75","-2.5","-19.9","6.6","0.6","520"
"Colby Rasmus","- - -","129","526","14","75","53","5","9.5 %","22.1 %",".166",".267",".225",".298",".391",".302","90","1.3","-5.1","-6.7","0.5","9893"
"Jason Bay","Mets","123","509","12","59","57","11","11.0 %","21.4 %",".128",".295",".245",".329",".374",".312","98","0.3","-1.0","-11.1","0.4","1717"
"Vernon Wells","Angels","131","529","25","60","66","9","3.8 %","16.3 %",".194",".214",".218",".248",".412",".285","80","-0.1","-12.6","-1.3","0.3","1326"
"Juan Rivera","- - -","132","521","11","46","74","5","8.3 %","14.6 %",".124",".281",".258",".319",".382",".309","93","-3.6","-7.7","-6.0","0.3","843"
"Ryan Ludwick","- - -","139","558","13","56","75","1","9.1 %","22.2 %",".127",".287",".237",".310",".363",".298","92","-0.2","-5.6","-9.0","0.3","1260"
"Bobby Abreu","Angels","142","585","8","54","60","21","13.3 %","19.3 %",".112",".310",".253",".353",".365",".322","104","-0.9","2.0","-19.1","0.2","945"
"Adam Lind","Blue Jays","125","542","26","56","87","1","5.9 %","19.7 %",".188",".265",".251",".295",".439",".316","95","-0.3","-3.8","-11.9","0.2","8027"
"Mitch Moreland","Rangers","134","512","16","60","51","2","7.6 %","18.0 %",".155",".290",".259",".320",".414",".319","93","1.2","-3.1","-11.7","0.2","3086"
"Hideki Matsui","Athletics","141","585","12","58","72","1","9.6 %","14.4 %",".124",".274",".251",".321",".375",".307","93","1.4","-3.1","-14.1","0.2","1659"
"Miguel Olivo","Mariners","130","507","19","54","62","6","3.9 %","27.6 %",".164",".270",".224",".253",".388",".276","75","1.0","-13.5","-1.6","0.1","1638"
"Mark Reynolds","Orioles","155","620","37","84","86","6","12.1 %","31.6 %",".262",".266",".221",".323",".483",".350","116","-1.6","10.3","-29.6","0.1","7619"
"Ichiro Suzuki","Mariners","161","721","5","80","47","40","5.4 %","9.6 %",".064",".295",".272",".310",".335",".281","79","7.0","-11.0","-12.3","0.0","1101"
"Carl Crawford","Red Sox","130","539","11","65","56","18","4.3 %","19.3 %",".150",".299",".255",".289",".405",".302","83","1.9","-8.7","-9.4","-0.1","1201"
"Yuniesky Betancourt","Brewers","152","584","13","51","68","4","2.7 %","10.8 %",".129",".259",".252",".271",".381",".281","72","-0.1","-19.2","-0.1","-0.1","8585"
"Casey McGehee","Brewers","155","600","13","46","67","0","7.5 %","17.3 %",".123",".249",".223",".280",".346",".275","68","-8.2","-30.5","9.0","-0.3","6086"
"Delmon Young","- - -","124","503","12","54","64","1","4.6 %","16.9 %",".125",".302",".268",".302",".393",".304","87","-3.2","-10.9","-9.2","-0.4","2140"
"Kosuke Fukudome","- - -","146","603","8","59","35","4","10.1 %","18.2 %",".108",".316",".262",".342",".370",".317","97","-5.8","-7.6","-16.1","-0.5","3263"
"Danny Valencia","Twins","154","608","15","63","72","2","6.6 %","16.8 %",".137",".275",".246",".294",".383",".297","83","-4.5","-16.5","-8.7","-0.6","6364"
"Vladimir Guerrero","Orioles","145","590","13","60","63","2","2.9 %","9.5 %",".126",".302",".290",".317",".416",".320","96","-7.5","-10.2","-14.8","-0.6","778"
"Juan Pierre","White Sox","158","711","2","80","50","27","6.0 %","5.8 %",".049",".294",".279",".329",".327",".296","80","5.3","-11.6","-17.8","-0.7","443"
"Aubrey Huff","Giants","150","579","12","45","59","5","8.1 %","15.5 %",".125",".271",".246",".306",".370",".295","89","-2.7","-10.1","-16.6","-0.9","1213"
"Alex Rios","White Sox","145","570","13","64","44","11","4.7 %","11.9 %",".121",".237",".227",".265",".348",".267","60","0.6","-25.9","-6.3","-1.5","2090"
"Raul Ibanez","Phillies","144","575","20","65","84","2","5.7 %","18.4 %",".174",".268",".245",".289",".419",".306","90","-3.7","-10.3","-25.5","-1.9","607"
