"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid"
"Kyle Lohse","Cardinals","5.30","2.01","2.64","0.76","14.3 %","5.4 %","8.9 %",".244","1.17",".269","71.3 %","92","98","105","3.39","3.67","-0.27","4.04","4.25","739"
"Ubaldo Jimenez","- - -","8.60","3.73","2.31","0.81","21.9 %","9.5 %","12.4 %",".253","1.40",".314","65.0 %","111","91","95","4.68","3.67","1.01","3.71","3.73","3374"
"Derek Lowe","Braves","6.59","3.37","1.96","0.67","16.5 %","8.4 %","8.1 %",".280","1.51",".327","65.9 %","134","98","95","5.05","3.70","1.35","3.65","3.74","199"
"Shaun Marcum","Brewers","7.09","2.56","2.77","0.99","19.2 %","6.9 %","12.3 %",".228","1.16",".261","73.6 %","91","94","101","3.54","3.73","-0.18","3.89","3.90","6204"
"R.A. Dickey","Mets","5.78","2.33","2.48","0.78","15.3 %","6.2 %","9.1 %",".248","1.23",".278","75.1 %","89","100","103","3.28","3.77","-0.49","3.95","4.01","1245"
"Charlie Morton","Pirates","5.77","4.04","1.43","0.31","14.3 %","10.0 %","4.3 %",".274","1.53",".320","72.5 %","103","100","106","3.83","3.77","0.06","4.08","4.15","4676"
"Hiroki Kuroda","Dodgers","7.17","2.18","3.29","1.07","19.2 %","5.9 %","13.4 %",".250","1.21",".287","79.9 %","84","99","92","3.07","3.78","-0.70","3.56","3.65","3283"
"Paul Maholm","Pirates","5.38","2.77","1.94","0.61","14.1 %","7.3 %","6.8 %",".254","1.29",".286","72.1 %","99","101","105","3.66","3.78","-0.12","4.03","4.21","8678"
"Gavin Floyd","White Sox","7.02","2.09","3.36","1.02","18.9 %","5.6 %","13.3 %",".243","1.16",".278","67.7 %","103","90","92","4.37","3.81","0.56","3.73","3.69","3886"
"John Danks","White Sox","7.13","2.43","2.93","1.00","18.5 %","6.3 %","12.2 %",".270","1.34",".313","70.1 %","102","90","94","4.33","3.82","0.51","3.79","3.80","6329"
"Chad Billingsley","Dodgers","7.28","4.02","1.81","0.67","18.3 %","10.1 %","8.2 %",".256","1.45",".306","69.9 %","116","101","107","4.21","3.83","0.38","4.14","4.25","5842"
"Bartolo Colon","Yankees","7.39","2.19","3.38","1.15","19.5 %","5.8 %","13.7 %",".264","1.29",".305","70.0 %","95","91","88","4.00","3.83","0.17","3.57","3.59","375"
"Jon Lester","Red Sox","8.55","3.52","2.43","0.94","22.8 %","9.4 %","13.4 %",".233","1.26",".286","78.1 %","82","97","90","3.47","3.83","-0.35","3.62","3.58","4930"
"Ryan Dempster","Cubs","8.50","3.65","2.33","1.02","21.7 %","9.3 %","12.4 %",".266","1.45",".324","70.4 %","121","100","96","4.80","3.91","0.90","3.70","3.78","517"
"Derek Holland","Rangers","7.36","3.05","2.42","1.00","19.2 %","8.0 %","11.3 %",".261","1.35",".305","72.8 %","91","94","93","3.95","3.94","0.02","3.76","3.85","4141"
"Livan Hernandez","Nationals","5.08","2.36","2.15","0.82","13.2 %","6.1 %","7.1 %",".284","1.40",".313","66.8 %","117","103","111","4.47","3.96","0.51","4.28","4.46","1116"
"Mark Buehrle","White Sox","4.78","1.97","2.42","0.92","12.7 %","5.2 %","7.5 %",".273","1.30",".294","73.3 %","85","94","102","3.59","3.98","-0.39","4.14","4.37","225"
"Ervin Santana","Angels","7.01","2.83","2.47","1.02","18.8 %","7.6 %","11.2 %",".238","1.22",".272","76.6 %","86","101","97","3.38","4.00","-0.61","3.93","3.94","3200"
"Ivan Nova","Yankees","5.33","3.10","1.72","0.71","13.9 %","8.1 %","5.8 %",".254","1.33",".283","73.2 %","88","95","103","3.70","4.01","-0.30","4.16","4.28","1994"
"Bud Norris","Astros","8.52","3.39","2.51","1.16","22.1 %","8.8 %","13.3 %",".246","1.33",".294","72.8 %","100","103","97","3.77","4.02","-0.25","3.73","3.72","9492"
"Tim Stauffer","Padres","6.20","2.57","2.42","0.97","16.5 %","6.8 %","9.7 %",".251","1.25",".282","75.1 %","106","109","96","3.73","4.03","-0.30","3.71","3.85","6432"
"Chris Capuano","Mets","8.13","2.56","3.17","1.31","21.0 %","6.6 %","14.3 %",".266","1.35",".311","72.0 %","123","107","95","4.55","4.04","0.51","3.67","3.59","1701"
"Rick Porcello","Tigers","5.14","2.27","2.26","0.89","13.3 %","5.9 %","7.4 %",".288","1.41",".316","67.4 %","114","100","99","4.75","4.06","0.69","4.02","4.13","2717"
"Jason Vargas","Mariners","5.87","2.64","2.22","0.99","15.3 %","6.9 %","8.4 %",".258","1.31",".285","68.7 %","111","105","110","4.25","4.09","0.17","4.45","4.43","8044"
"Trevor Cahill","Athletics","6.37","3.55","1.79","0.82","16.3 %","9.1 %","7.2 %",".264","1.43",".302","72.8 %","105","104","96","4.16","4.10","0.06","3.90","4.01","6249"
"Jeff Francis","Royals","4.48","1.92","2.33","0.93","11.3 %","4.9 %","6.5 %",".295","1.44",".316","68.8 %","116","102","106","4.82","4.10","0.72","4.29","4.45","4684"
"Carl Pavano","Twins","4.14","1.62","2.55","0.93","10.7 %","4.2 %","6.5 %",".289","1.36",".306","67.3 %","105","103","102","4.30","4.10","0.20","4.14","4.29","790"
"Max Scherzer","Tigers","8.03","2.58","3.11","1.34","20.9 %","6.7 %","14.2 %",".269","1.35",".314","73.7 %","106","102","91","4.43","4.14","0.29","3.70","3.62","3137"
"Wandy Rodriguez","Astros","7.82","3.25","2.41","1.18","20.5 %","8.5 %","12.0 %",".248","1.31",".289","79.2 %","92","106","97","3.49","4.15","-0.66","3.72","3.80","2586"
"Aaron Harang","Padres","6.54","3.06","2.14","1.05","17.3 %","8.1 %","9.2 %",".266","1.37",".302","78.4 %","103","112","109","3.64","4.17","-0.53","4.21","4.24","1451"
"Ricky Romero","Blue Jays","7.12","3.20","2.23","1.04","19.4 %","8.7 %","10.7 %",".214","1.14",".242","79.2 %","70","102","94","2.92","4.20","-1.28","3.80","3.77","3403"
"Ted Lilly","Dodgers","7.38","2.38","3.10","1.31","19.8 %","6.4 %","13.4 %",".232","1.16",".260","74.7 %","109","111","105","3.97","4.21","-0.24","4.03","3.86","833"
"Mike Leake","Reds","6.33","2.04","3.11","1.23","17.0 %","5.5 %","11.5 %",".246","1.17",".269","75.8 %","100","107","95","3.86","4.22","-0.36","3.68","3.75","10130"
"Jhoulys Chacin","Rockies","6.96","4.04","1.72","0.93","18.1 %","10.5 %","7.6 %",".228","1.31",".261","74.5 %","82","103","103","3.62","4.23","-0.61","3.95","4.07","2608"
"Jake Westbrook","Cardinals","5.11","3.58","1.42","0.79","12.9 %","9.0 %","3.8 %",".283","1.53",".313","69.1 %","126","113","106","4.66","4.25","0.41","4.08","4.21","412"
"Brett Myers","Astros","6.67","2.37","2.81","1.29","17.5 %","6.2 %","11.2 %",".264","1.31",".293","70.2 %","118","109","97","4.46","4.26","0.20","3.75","3.82","962"
"Josh Tomlin","Indians","4.84","1.14","4.24","1.31","13.4 %","3.2 %","10.3 %",".246","1.08",".253","68.5 %","108","107","100","4.25","4.27","-0.03","4.03","4.22","9388"
"John Lannan","Nationals","5.17","3.70","1.39","0.73","13.1 %","9.4 %","3.7 %",".268","1.46",".296","73.1 %","97","112","110","3.70","4.28","-0.58","4.24","4.46","7080"
"Randy Wolf","Brewers","5.68","2.80","2.03","0.97","14.8 %","7.3 %","7.5 %",".260","1.32",".286","75.9 %","95","108","116","3.69","4.29","-0.60","4.46","4.48","976"
"Luke Hochevar","Royals","5.82","2.82","2.06","1.05","15.3 %","7.4 %","7.9 %",".251","1.28",".275","66.0 %","113","107","100","4.68","4.29","0.39","4.05","4.16","6943"
"Jeff Karstens","Pirates","5.32","1.83","2.91","1.22","14.4 %","4.9 %","9.4 %",".258","1.21",".275","77.4 %","91","114","104","3.38","4.29","-0.91","4.00","4.10","5879"
"Chris Volstad","Marlins","6.36","2.66","2.39","1.25","16.3 %","6.8 %","9.5 %",".280","1.42",".310","68.9 %","126","114","94","4.89","4.32","0.57","3.64","3.83","9901"
"Jeremy Hellickson","Rays","5.57","3.43","1.63","1.00","15.1 %","9.3 %","5.8 %",".209","1.15",".223","82.0 %","76","112","116","2.95","4.44","-1.49","4.72","4.77","4371"
"Mike Pelfrey","Mets","4.88","3.02","1.62","0.98","12.2 %","7.6 %","4.7 %",".279","1.47",".301","68.9 %","128","118","118","4.74","4.47","0.27","4.55","4.69","5203"
"Jeremy Guthrie","Orioles","5.62","2.86","1.97","1.12","14.6 %","7.4 %","7.2 %",".262","1.34",".284","69.6 %","103","106","110","4.33","4.48","-0.16","4.47","4.49","2072"
"Colby Lewis","Rangers","7.59","2.52","3.02","1.57","20.1 %","6.7 %","13.5 %",".241","1.21",".265","73.0 %","102","108","101","4.40","4.54","-0.14","4.10","3.87","1259"
"Roberto Hernandez","Indians","5.20","2.86","1.82","1.05","13.1 %","7.2 %","5.9 %",".270","1.40",".291","62.1 %","133","115","103","5.25","4.56","0.68","4.17","4.17","3273"
"Wade Davis","Rays","5.14","3.08","1.67","1.13","13.2 %","7.9 %","5.3 %",".262","1.38",".280","72.1 %","115","118","119","4.45","4.67","-0.22","4.82","4.82","7441"
"James McDonald","Pirates","7.47","4.11","1.82","1.26","18.8 %","10.3 %","8.5 %",".263","1.49",".302","77.0 %","113","125","116","4.21","4.68","-0.47","4.46","4.34","5523"
"A.J. Burnett","Yankees","8.18","3.92","2.08","1.47","20.7 %","9.9 %","10.8 %",".255","1.43",".294","70.0 %","123","113","95","5.15","4.77","0.38","3.86","3.89","512"
"Joe Saunders","Diamondbacks","4.58","2.84","1.61","1.23","12.4 %","7.7 %","4.7 %",".261","1.31",".271","77.7 %","93","123","114","3.69","4.78","-1.08","4.38","4.70","4366"
"Jason Hammel","Rockies","4.97","3.59","1.38","1.11","12.7 %","9.2 %","3.5 %",".263","1.43",".280","67.9 %","108","118","121","4.76","4.83","-0.07","4.65","4.84","4538"
"Brad Penny","Tigers","3.67","3.07","1.19","1.19","9.2 %","7.7 %","1.5 %",".301","1.56",".310","67.2 %","127","123","118","5.30","5.02","0.28","4.77","4.97","535"
"Bronson Arroyo","Reds","4.88","2.04","2.40","2.08","12.6 %","5.3 %","7.4 %",".282","1.37",".278","74.4 %","131","145","118","5.07","5.71","-0.65","4.54","4.57","978"
