"Name","Team","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","WPA/LI","Clutch","SD","MD","playerid"
"Julio Teheran","Braves","2.48","-11.41","13.90","24.34","2.54","0.98","","0.88","1.18","29","2.76","-0.22","0","0","6797"
"Danny Duffy","Royals","2.34","-11.41","13.75","19.54","2.00","0.96","1.31","0.82","1.04","36","1.38","1.05","2","0","3542"
"Rick Porcello","Red Sox","2.30","-12.83","15.14","29.34","2.90","0.89","","0.87","0.85","30","3.43","-0.85","0","0","2717"
"Corey Kluber","Indians","2.23","-11.50","13.73","28.32","2.83","0.84","","0.87","0.83","29","3.48","-0.81","0","0","2429"
"Marco Estrada","Blue Jays","2.18","-11.55","13.73","18.70","1.85","1.03","","0.88","1.18","29","2.30","-0.18","0","0","1118"
"Cole Hamels","Rangers","2.09","-14.72","16.81","17.85","1.82","1.05","","0.88","1.21","32","1.16","0.82","0","0","4972"
"Jake Arrieta","Cubs","2.05","-11.23","13.28","27.04","2.81","0.92","","0.88","0.85","30","3.06","-0.82","0","0","4153"
"Carlos Martinez","Cardinals","2.04","-12.98","15.02","26.32","2.63","1.01","","0.87","0.93","31","2.07","-0.05","0","0","11682"
"Dan Straily","Reds","1.92","-12.35","14.27","16.07","1.61","0.98","0.66","0.85","1.16","34","0.71","1.25","1","0","9460"
"Drew Pomeranz","- - -","1.67","-11.08","12.74","18.42","2.02","0.97","1.99","0.91","1.07","30","1.43","0.28","1","0","11426"
"Chris Tillman","Orioles","1.66","-12.08","13.74","11.93","1.25","1.01","","0.87","1.15","30","1.16","0.48","0","0","5279"
"Ian Kennedy","Royals","1.56","-12.74","14.30","18.13","1.79","0.94","","0.87","1.15","33","0.20","1.47","0","0","6986"
