"Name","Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"David Wright","Mets","670","12.1 %","16.7 %","0.72",".306",".391",".492",".883",".186","4.0",".347","1.2","0.2","-1.8","109","32.7",".376","141","3787"
"Joe Mauer","Twins","641","14.0 %","13.7 %","1.02",".319",".416",".446",".861",".127","4.1",".364","1.4","-1.9","-0.9","104","31.2",".376","138","1857"
"Aaron Hill","Diamondbacks","668","7.8 %","12.9 %","0.60",".302",".360",".522",".882",".220","5.3",".317","1.5","-0.8","0.1","109","32.4",".375","133","6104"
"Yadier Molina","Cardinals","563","8.0 %","9.8 %","0.82",".315",".373",".501",".874",".186","3.4",".316","-6.2","0.6","0.5","92","27.3",".375","138","7007"
"Dexter Fowler","Rockies","530","12.8 %","24.2 %","0.53",".300",".389",".474",".863",".174","6.1",".390","4.2","0.7","-0.3","86","25.6",".375","120","4062"
"Allen Craig","Cardinals","514","7.2 %","17.3 %","0.42",".307",".354",".522",".876",".215","2.6",".334","-2.7","-1.3","-0.6","83","24.2",".374","137","3433"
"Carlos Gonzalez","Rockies","579","9.7 %","19.9 %","0.49",".303",".371",".510",".881",".207","6.4",".352","-0.4","0.8","1.4","93","27.2",".374","119","7287"
"Austin Jackson","Tigers","617","10.9 %","21.7 %","0.50",".300",".377",".479",".856",".179","6.3",".371","2.5","0.0","-2.0","98","28.0",".371","134","9848"
"Paul Konerko","White Sox","598","9.4 %","13.9 %","0.67",".298",".371",".486",".857",".188","0.8",".312","-4.3","-1.8","-0.8","95","26.8",".371","132","242"
"David Murphy","Rangers","521","10.4 %","14.2 %","0.73",".304",".380",".479",".859",".175","4.5",".333","-0.2","0.9","-0.6","82","22.4",".369","129","6035"
"Yoenis Cespedes","Athletics","540","8.0 %","18.9 %","0.42",".292",".356",".505",".861",".214","5.9",".326","0.3","0.5","1.0","84","22.8",".368","136","13110"
"David Freese","Cardinals","567","10.1 %","21.5 %","0.47",".293",".372",".467",".839",".174","2.6",".352","-2.6","-2.4","-1.3","88","23.0",".365","132","9549"
"Ben Zobrist","Rays","668","14.5 %","15.4 %","0.94",".270",".377",".471",".848",".202","5.3",".296","-2.1","-0.6","-1.6","103","27.0",".365","137","7435"
"Miguel Montero","Diamondbacks","573","12.7 %","22.7 %","0.56",".286",".391",".438",".829",".152","2.1",".362","-4.8","-0.5","-0.8","88","22.3",".364","125","3364"
"Paul Goldschmidt","Diamondbacks","587","10.2 %","22.1 %","0.46",".286",".359",".490",".850",".204","5.1",".340","2.4","0.9","1.8","90","22.7",".363","124","9218"
"Nick Swisher","Yankees","624","12.3 %","22.6 %","0.55",".272",".364",".473",".837",".201","1.7",".324","-0.2","2.2","-1.5","95","24.0",".363","128","4599"
"Ian Desmond","Nationals","547","5.5 %","20.7 %","0.27",".292",".335",".511",".845",".218","5.3",".332","-0.4","-1.6","1.3","83","20.8",".362","128","6885"
"Alex Rios","White Sox","640","4.1 %","14.4 %","0.28",".304",".334",".516",".850",".212","6.9",".323","1.7","-1.0","1.6","97","23.8",".361","126","2090"
"Adam LaRoche","Nationals","647","10.4 %","21.3 %","0.49",".271",".343",".510",".853",".238","1.9",".298","-1.6","1.2","-0.9","98","23.8",".361","127","1904"
"Adam Jones","Orioles","697","4.9 %","18.1 %","0.27",".287",".334",".505",".839",".218","5.3",".313","1.4","-0.7","-0.3","105","25.6",".361","127","6368"
"Albert Pujols","Angels","670","7.8 %","11.3 %","0.68",".285",".343",".516",".859",".231","3.4",".282","-6.7","-1.4","0.6","100","24.0",".360","133","1177"
"Shin-Soo Choo","Indians","686","10.6 %","21.9 %","0.49",".283",".373",".441",".815",".159","4.9",".353","-1.9","-0.3","0.5","102","24.1",".359","130","3174"
"Corey Hart","Brewers","622","7.1 %","24.3 %","0.29",".270",".334",".507",".841",".237","4.9",".318","-0.6","-0.5","0.4","93","21.6",".358","122","1945"
"Alex Gordon","Royals","721","10.1 %","19.4 %","0.52",".294",".368",".455",".822",".160","4.5",".356","0.5","-0.2","-0.9","107","24.5",".357","126","5209"
"Torii Hunter","Angels","584","6.5 %","22.8 %","0.29",".313",".365",".451",".817",".139","4.5",".389","4.9","-1.6","0.6","86","19.4",".356","131","731"
"Carlos Beltran","Cardinals","619","10.5 %","20.0 %","0.52",".269",".346",".495",".842",".227","4.0",".291","-1.5","1.1","-0.4","90","19.7",".355","124","589"
"Jay Bruce","Reds","633","9.8 %","24.5 %","0.40",".252",".327",".514",".841",".263","5.4",".283","-2.0","2.6","0.1","91","19.1",".352","120","9892"
"Bryce Harper","Nationals","597","9.4 %","20.1 %","0.47",".270",".340",".477",".817",".206","7.4",".310","-0.6","1.9","0.6","86","17.9",".352","121","11579"
"Ryan Zimmerman","Nationals","641","8.9 %","18.1 %","0.49",".282",".346",".478",".824",".196","3.4",".313","1.4","-0.7","-0.5","92","19.1",".352","121","4220"
"Garrett Jones","Pirates","515","6.4 %","20.0 %","0.32",".274",".317",".516",".832",".242","3.9",".293","-2.7","2.2","-0.1","74","15.3",".352","124","2714"
"Jason Kubel","Diamondbacks","571","10.0 %","26.4 %","0.38",".253",".327",".506",".833",".253","3.4",".296","-3.5","0.9","-0.7","82","16.8",".352","117","2161"
"Chris Davis","Orioles","562","6.6 %","30.1 %","0.22",".270",".326",".501",".827",".231","2.0",".335","-0.9","0.6","-1.4","81","16.5",".352","121","9272"
"A.J. Pierzynski","White Sox","520","5.4 %","15.0 %","0.36",".278",".326",".501",".827",".223","2.9",".280","-2.0","0.8","-0.5","74","15.1",".351","119","746"
"Jason Heyward","Braves","651","8.9 %","23.3 %","0.38",".269",".335",".479",".814",".210","6.2",".319","6.3","3.1","0.3","93","18.6",".351","121","4940"
"Andre Ethier","Dodgers","618","8.1 %","20.1 %","0.40",".284",".351",".460",".812",".176","2.7",".333","0.8","0.7","-1.1","88","17.3",".350","123","6265"
"Alfonso Soriano","Cubs","615","7.2 %","24.9 %","0.29",".262",".322",".499",".821",".237","3.4",".303","-0.8","-2.3","-0.2","87","17.0",".350","117","847"
"Derek Jeter","Yankees","740","6.1 %","12.2 %","0.50",".316",".362",".429",".791",".113","3.3",".347","0.2","-2.7","-0.8","103","19.1",".347","117","826"
"Adam Dunn","White Sox","649","16.2 %","34.2 %","0.47",".204",".333",".468",".800",".263","2.0",".246","-3.1","1.8","-0.7","90","16.2",".346","115","319"
"Adrian Gonzalez","- - -","684","6.1 %","16.1 %","0.38",".299",".344",".463",".806",".164","2.4",".334","-4.6","1.5","-0.3","95","16.8",".346","116","1908"
"Mark Trumbo","Angels","586","6.1 %","26.1 %","0.24",".268",".317",".491",".808",".222","3.2",".316","1.0","0.4","-1.8","81","14.4",".346","124","6876"
"Curtis Granderson","Yankees","684","11.0 %","28.5 %","0.38",".232",".319",".492",".811",".260","5.3",".260","2.6","3.1","0.1","95","16.8",".346","116","4747"
"Martin Prado","Braves","690","8.4 %","10.0 %","0.84",".301",".359",".438",".796",".136","5.5",".322","2.7","-2.0","1.0","95","16.8",".345","117","3312"
"Mark Teixeira","Yankees","524","10.3 %","15.8 %","0.65",".251",".332",".475",".807",".224","2.8",".250","-2.0","1.1","-0.5","72","12.7",".345","116","1281"
"Cody Ross","Red Sox","528","8.0 %","24.4 %","0.33",".267",".326",".481",".807",".214","2.7",".317","0.9","1.2","-1.3","73","12.5",".345","114","1760"
"Dustin Pedroia","Red Sox","623","7.7 %","9.6 %","0.80",".290",".347",".449",".797",".160","5.4",".300","-1.4","0.8","0.9","86","14.6",".344","114","8370"
"Carlos Santana","Indians","609","14.9 %","16.6 %","0.90",".252",".365",".420",".785",".168","2.6",".278","-3.9","-2.0","-2.2","84","14.1",".344","120","2396"
"Nori Aoki","Brewers","588","7.3 %","9.4 %","0.78",".288",".355",".433",".787",".144","6.6",".304","-1.8","0.6","2.1","81","13.5",".344","113","13075"
"Freddie Freeman","Braves","620","10.3 %","20.8 %","0.50",".259",".340",".456",".796",".196","3.7",".295","-1.5","0.5","-0.3","84","13.7",".342","115","5361"
"Alex Rodriguez","Yankees","529","9.6 %","21.9 %","0.44",".272",".353",".430",".783",".158","5.1",".323","-0.8","0.1","1.5","72","11.5",".342","113","1274"
"A.J. Ellis","Dodgers","505","12.9 %","21.2 %","0.61",".270",".373",".414",".786",".144","1.2",".329","-0.6","-1.9","-0.6","68","10.6",".341","117","5677"
"Justin Upton","Diamondbacks","628","10.0 %","19.3 %","0.52",".280",".355",".430",".785",".150","6.0",".327","2.2","1.9","-0.4","85","13.1",".341","109","5222"
"Kendrys Morales","Angels","522","5.9 %","22.2 %","0.27",".273",".320",".467",".787",".194","1.9",".315","-2.7","-0.8","-0.9","70","10.0",".339","119","8610"
"Nelson Cruz","Rangers","642","7.5 %","21.8 %","0.34",".260",".319",".460",".779",".200","3.5",".301","-4.9","1.8","-0.6","84","10.5",".335","106","2434"
"Pedro Alvarez","Pirates","586","9.7 %","30.7 %","0.32",".244",".317",".467",".784",".223","2.1",".308","1.4","0.5","-0.4","76","9.4",".335","112","2495"
"Jose Reyes","Marlins","716","8.8 %","7.8 %","1.13",".287",".347",".433",".780",".146","7.1",".298","0.5","0.3","2.8","93","11.5",".335","111","1736"
"Mark Reynolds","Orioles","538","13.6 %","29.6 %","0.46",".221",".335",".429",".763",".208","1.8",".282","1.0","-2.1","-1.6","70","8.5",".335","109","7619"
"Chris Johnson","- - -","528","5.9 %","25.0 %","0.23",".281",".326",".451",".777",".170","4.4",".354","-1.0","-2.7","0.1","69","8.3",".334","108","1191"
"Neil Walker","Pirates","530","8.9 %","19.6 %","0.45",".280",".342",".426",".768",".146","2.9",".326","2.1","0.3","-1.2","69","8.1",".334","112","7539"
"Angel Pagan","Giants","659","7.3 %","14.7 %","0.49",".288",".338",".440",".778",".152","7.8",".329","5.9","1.4","2.3","85","10.0",".334","115","2918"
"Alejandro De Aza","White Sox","585","8.0 %","18.6 %","0.43",".281",".349",".410",".760",".130","6.6",".339","0.3","1.8","-0.3","75","8.4",".333","106","3371"
"Asdrubal Cabrera","Indians","616","8.4 %","16.1 %","0.53",".270",".338",".423",".762",".153","3.5",".303","-0.1","-1.0","-0.5","79","8.5",".332","112","4962"
"Ryan Doumit","Twins","528","5.5 %","18.6 %","0.30",".275",".320",".461",".781",".186","1.7",".306","-3.8","-1.5","-0.5","67","7.3",".332","109","2113"
"David DeJesus","Cubs","582","10.5 %","15.3 %","0.69",".263",".350",".403",".753",".140","5.3",".301","0.4","-0.5","-2.5","74","7.9",".332","105","1825"
"Matt Wieters","Orioles","593","10.1 %","18.9 %","0.54",".249",".329",".435",".764",".186","3.0",".274","-3.6","-1.7","0.0","75","7.7",".331","107","4298"
"Ike Davis","Mets","584","10.4 %","24.1 %","0.43",".227",".308",".462",".771",".235","1.3",".246","-2.3","0.7","-1.3","74","7.5",".331","111","8433"
"Jordan Pacheco","Rockies","505","4.4 %","12.1 %","0.36",".309",".341",".421",".762",".112","4.3",".344","-0.1","-1.5","0.0","64","6.2",".330","90","2677"
"Justin Morneau","Twins","570","8.6 %","17.9 %","0.48",".267",".333",".440",".773",".172","2.6",".294","-4.3","-1.0","-0.4","72","6.8",".330","107","1737"
"Marco Scutaro","- - -","683","5.9 %","7.2 %","0.82",".306",".348",".405",".753",".098","4.5",".319","1.4","0.6","-0.7","86","7.8",".329","98","1555"
"Hanley Ramirez","- - -","667","8.1 %","19.8 %","0.41",".257",".322",".437",".759",".180","5.4",".290","0.7","-1.1","0.7","83","7.1",".328","107","8001"
"Kevin Youkilis","- - -","509","10.0 %","21.2 %","0.47",".235",".336",".409",".745",".174","3.0",".268","-2.7","0.0","-0.6","64","5.5",".328","103","1935"
"Ian Kinsler","Rangers","731","8.2 %","12.3 %","0.67",".256",".326",".423",".749",".166","5.9",".270","4.4","-0.9","-0.2","90","7.0",".327","100","6195"
"Josh Reddick","Athletics","673","8.2 %","22.4 %","0.36",".242",".305",".463",".768",".221","5.5",".269","2.2","0.7","1.2","83","6.1",".326","108","3892"
"Michael Bourn","Braves","703","10.0 %","22.0 %","0.45",".274",".348",".391",".739",".117","7.5",".349","3.5","2.0","2.3","86","6.3",".326","104","6387"
"Dan Uggla","Braves","630","14.9 %","26.7 %","0.56",".220",".348",".384",".732",".164","2.8",".283","3.7","1.0","-1.1","77","5.3",".325","104","3442"
"Brandon Phillips","Reds","623","4.5 %","12.7 %","0.35",".281",".321",".429",".750",".148","5.0",".298","2.1","-2.0","1.5","76","5.0",".325","101","791"
"Denard Span","Twins","568","8.3 %","10.9 %","0.76",".283",".342",".395",".738",".112","5.6",".315","3.0","-1.3","0.4","69","4.5",".325","104","8347"
"Jose Altuve","Astros","630","6.3 %","11.7 %","0.54",".290",".340",".399",".740",".109","6.3",".321","1.7","0.4","1.5","77","4.9",".325","102","5417"
"Coco Crisp","Athletics","508","8.9 %","12.6 %","0.70",".259",".325",".418",".742",".158","8.1",".280","1.3","-0.5","5.7","62","3.6",".324","106","1572"
"Starlin Castro","Cubs","691","5.2 %","14.5 %","0.36",".283",".323",".430",".753",".147","6.6",".315","-0.4","0.4","-0.9","83","4.6",".323","100","4579"
"Yonder Alonso","Padres","619","10.0 %","16.3 %","0.61",".273",".348",".393",".741",".120","2.0",".318","-5.7","-0.5","-0.1","74","3.8",".323","108","2530"
"Melvin Upton Jr.","Rays","633","7.1 %","26.7 %","0.27",".246",".298",".454",".752",".208","6.2",".294","1.9","0.2","3.2","76","3.8",".323","108","5015"
"Hunter Pence","- - -","688","8.1 %","21.1 %","0.39",".253",".319",".425",".743",".172","4.3",".290","2.0","0.1","-0.5","83","4.1",".323","103","8252"
"Michael Brantley","Indians","609","8.7 %","9.2 %","0.95",".288",".348",".402",".750",".114","4.3",".310","1.0","2.0","-1.9","73","3.6",".322","105","4106"
"Jimmy Rollins","Phillies","699","8.9 %","13.7 %","0.65",".250",".316",".427",".743",".177","6.7",".262","4.4","0.0","3.3","84","4.0",".322","101","971"
"Elvis Andrus","Rangers","711","8.0 %","13.5 %","0.59",".286",".349",".378",".727",".092","6.1",".332","2.8","-0.7","-0.7","85","4.0",".322","97","8709"
"Erick Aybar","Angels","554","4.0 %","11.0 %","0.36",".290",".324",".416",".740",".126","6.4",".316","2.3","-0.3","1.8","66","2.9",".321","107","4082"
"Dayan Viciedo","White Sox","543","5.2 %","22.1 %","0.23",".255",".300",".444",".744",".188","2.2",".286","-1.8","-3.2","-1.3","65","2.7",".321","98","3917"
"Rickie Weeks Jr.","Brewers","677","10.9 %","25.0 %","0.44",".230",".328",".400",".728",".170","5.6",".285","3.1","0.9","1.3","81","3.3",".321","97","1849"
"Kyle Seager","Mariners","651","7.1 %","16.9 %","0.42",".259",".316",".423",".738",".163","3.5",".286","-1.0","0.6","-0.1","77","3.2",".321","108","9785"
"Michael Saunders","Mariners","553","7.8 %","23.9 %","0.33",".247",".306",".432",".738",".185","6.2",".297","3.0","1.7","2.1","66","2.4",".320","108","9981"
"Brett Lawrie","Blue Jays","536","6.2 %","16.0 %","0.38",".273",".324",".405",".729",".132","5.2",".311","1.3","-0.2","-1.2","63","1.8",".319","97","5247"
"Daniel Murphy","Mets","612","5.9 %","13.4 %","0.44",".291",".332",".403",".735",".112","4.6",".329","0.9","0.7","0.5","71","1.4",".318","102","4316"
"Alcides Escobar","Royals","648","4.2 %","15.4 %","0.27",".293",".331",".390",".721",".098","6.9",".344","2.6","0.1","4.3","74","0.4",".316","97","6310"
"Howie Kendrick","Angels","594","4.9 %","19.4 %","0.25",".287",".325",".400",".725",".113","4.6",".347","1.8","-3.7","-0.2","68","0.3",".316","103","4229"
"Jason Kipnis","Indians","672","10.0 %","16.2 %","0.61",".257",".335",".379",".714",".122","6.2",".291","2.0","1.1","2.6","77","0.2",".315","100","9776"
"Danny Espinosa","Nationals","658","7.0 %","28.7 %","0.24",".247",".315",".402",".717",".155","5.4",".333","-0.8","1.4","1.0","74","-1.3",".313","94","9219"
"Omar Infante","- - -","588","3.6 %","11.1 %","0.32",".274",".300",".419",".719",".144","6.5",".291","0.7","1.2","1.6","65","-2.4",".310","93","1609"
"Shane Victorino","- - -","666","8.0 %","12.0 %","0.66",".255",".321",".383",".704",".128","7.0",".278","1.9","2.1","4.7","73","-2.8",".310","94","1677"
"Carlos Pena","Rays","600","14.5 %","30.3 %","0.48",".197",".330",".354",".684",".157","3.1",".264","-2.8","0.2","-1.5","66","-2.9",".309","98","934"
"Desmond Jennings","Rays","563","8.2 %","21.3 %","0.38",".246",".314",".388",".702",".143","8.3",".298","3.6","0.1","4.8","61","-2.9",".309","98","1965"
"Alberto Callaspo","Angels","520","10.8 %","11.3 %","0.95",".252",".331",".361",".692",".109","2.4",".268","1.7","1.0","-1.0","56","-3.0",".308","98","3336"
"Carlos Lee","- - -","615","9.4 %","8.0 %","1.18",".264",".332",".365",".697",".102","2.5",".273","-2.0","-1.3","-0.1","66","-4.0",".307","91","243"
"Mike Moustakas","Royals","614","6.4 %","20.2 %","0.31",".242",".296",".412",".708",".171","3.6",".274","-0.6","2.6","-0.3","65","-4.7",".305","90","4892"
"Delmon Young","Tigers","608","3.3 %","18.4 %","0.18",".267",".296",".411",".707",".145","1.5",".299","-3.0","-1.2","-1.4","65","-4.8",".305","89","2140"
"Jhonny Peralta","Tigers","585","8.4 %","17.9 %","0.47",".239",".305",".384",".689",".145","2.6",".275","-2.2","-1.8","-1.2","60","-6.7",".301","86","1738"
"Ichiro Suzuki","- - -","663","3.3 %","9.2 %","0.36",".283",".307",".390",".696",".107","6.5",".300","0.3","1.4","2.3","68","-8.0",".300","90","1101"
"Ben Revere","Twins","553","5.2 %","9.8 %","0.54",".294",".333",".342",".675",".049","7.4",".325","1.9","0.5","3.7","56","-6.9",".300","86","4712"
"Jamey Carroll","Twins","537","9.7 %","12.1 %","0.80",".268",".343",".317",".660",".049","4.1",".306","-0.8","0.3","-0.9","55","-6.7",".299","86","1591"
"Kelly Johnson","Blue Jays","581","10.7 %","27.4 %","0.39",".225",".313",".365",".678",".140","5.1",".292","-1.0","0.4","1.4","59","-7.4",".299","84","2234"
"Zack Cozart","Reds","600","5.2 %","18.8 %","0.27",".246",".288",".399",".687",".153","4.8",".282","2.1","-1.3","0.3","60","-8.1",".298","83","2616"
"Rafael Furcal","Cardinals","531","8.3 %","10.7 %","0.77",".264",".325",".346",".671",".082","5.3",".289","1.7","0.1","0.2","53","-7.2",".298","86","88"
"Colby Rasmus","Blue Jays","625","7.5 %","23.8 %","0.32",".223",".289",".400",".689",".177","4.4",".259","-1.1","1.1","-1.0","62","-8.8",".297","82","9893"
"Michael Young","Rangers","651","5.1 %","10.8 %","0.47",".277",".312",".370",".682",".093","3.2",".299","-1.8","-3.8","-1.1","65","-9.5",".297","79","1286"
"Jesus Montero","Mariners","553","5.2 %","17.9 %","0.29",".260",".298",".386",".685",".126","1.1",".292","-4.5","-1.7","-1.4","54","-8.7",".295","90","5514"
"Gordon Beckham","White Sox","582","6.9 %","15.3 %","0.45",".234",".296",".371",".668",".137","2.8",".254","-0.6","0.5","-1.2","57","-9.5",".295","80","9015"
"Eric Hosmer","Royals","598","9.4 %","15.9 %","0.59",".232",".304",".359",".663",".127","5.2",".255","0.6","0.0","2.2","57","-11.4",".291","80","3516"
"Cameron Maybin","Padres","561","7.8 %","19.6 %","0.40",".243",".306",".349",".656",".107","6.6",".293","4.5","-0.1","1.8","53","-11.1",".290","87","5223"
"J.J. Hardy","Orioles","713","5.3 %","14.9 %","0.36",".238",".282",".389",".671",".151","2.3",".253","0.4","-2.2","-0.6","67","-14.2",".290","78","3797"
"Justin Smoak","Mariners","535","9.2 %","20.7 %","0.44",".217",".290",".364",".654",".147","1.6",".242","-5.3","0.1","-0.3","49","-11.6",".288","85","9054"
"Brennan Boesch","Tigers","503","5.2 %","20.7 %","0.25",".240",".286",".372",".659",".132","4.0",".284","0.7","0.3","-0.5","46","-11.0",".288","77","914"
"Mike Aviles","Red Sox","546","4.2 %","14.1 %","0.30",".250",".282",".381",".663",".131","4.1",".269","2.0","1.1","-0.1","50","-12.0",".288","75","5986"
"Darwin Barney","Cubs","588","5.6 %","9.9 %","0.57",".254",".299",".354",".653",".100","5.2",".273","4.4","0.2","0.2","54","-13.0",".287","75","2430"
"Jeff Francoeur","Royals","603","5.6 %","19.7 %","0.29",".235",".287",".378",".665",".143","3.2",".272","-0.8","-0.8","-2.5","55","-14.3",".285","76","4792"
"Yunel Escobar","Blue Jays","608","5.8 %","11.5 %","0.50",".253",".300",".344",".644",".091","3.3",".273","2.0","-2.8","-0.1","54","-15.1",".284","73","4191"
"Alexei Ramirez","White Sox","621","2.6 %","12.4 %","0.21",".265",".287",".364",".651",".099","5.2",".290","3.7","-1.1","0.6","55","-16.3",".282","72","5133"
"Jemile Weeks","Athletics","511","9.8 %","13.7 %","0.71",".221",".305",".304",".609",".083","6.8",".256","0.6","0.7","0.6","42","-16.2",".276","73","2498"
"Dustin Ackley","Mariners","668","8.8 %","18.6 %","0.48",".226",".294",".328",".622",".102","5.1",".265","3.3","2.4","0.7","54","-22.1",".274","75","10099"
"Drew Stubbs","Reds","544","7.7 %","30.5 %","0.25",".213",".277",".333",".610",".120","7.0",".290","4.1","2.1","2.7","43","-19.1",".271","65","9328"
