"Name","Team","WPA","-WPA","+WPA","RE24","REW","pLI","phLI","PH","WPA/LI","Clutch","playerid"
"Matt Wieters","Orioles","-0.48","-10.19","9.71","-1.80","-0.16","0.99","2.48","9","-0.59","0.10","4298"
"Nick Markakis","Orioles","-0.51","-11.22","10.71","-11.28","-1.22","0.98","1.20","1","-1.27","0.74","5930"
"Eric Young","- - -","-0.55","-10.84","10.29","-8.41","-0.82","1.03","0.97","19","-0.68","0.14","7158"
"J.J. Hardy","Orioles","-0.63","-11.77","11.14","-3.99","-0.33","1.01","","0","0.09","-0.72","3797"
"Dan Uggla","Braves","-0.64","-8.68","8.04","-7.22","-0.76","0.95","1.69","2","0.14","-0.81","3442"
"Leonys Martin","Rangers","-0.78","-9.59","8.81","0.05","-0.01","1.04","1.46","18","-0.46","-0.29","11846"
"Nolan Arenado","Rockies","-0.80","-9.10","8.29","-7.80","-1.00","0.94","0.58","3","-0.44","-0.42","9777"
"Gerardo Parra","Diamondbacks","-0.82","-11.91","11.09","-6.77","-0.70","1.05","1.58","4","-0.86","0.07","8553"
"Brandon Crawford","Giants","-0.91","-9.43","8.52","-6.00","-0.64","1.02","0.48","4","-0.45","-0.43","5343"
"Matt Dominguez","Astros","-0.96","-11.40","10.44","-2.03","-0.17","1.02","0.01","2","-0.99","0.04","4903"
"A.J. Pierzynski","Rangers","-0.96","-10.60","9.63","-3.08","-0.27","1.06","1.62","11","-0.76","-0.15","746"
"Asdrubal Cabrera","Indians","-1.08","-10.48","9.40","-3.89","-0.45","1.02","1.68","3","0.08","-1.14","4962"
"Jedd Gyorko","Padres","-1.17","-10.41","9.24","-6.19","-0.63","1.04","4.57","2","0.48","-1.61","10816"
"Paul Konerko","White Sox","-1.62","-10.26","8.64","-9.68","-1.00","1.09","","0","-1.52","0.02","242"
"Jose Altuve","Astros","-1.65","-11.80","10.14","-15.32","-1.56","0.99","","0","-1.49","-0.18","5417"
"Mitch Moreland","Rangers","-1.66","-9.41","7.74","-2.98","-0.30","0.95","1.23","7","0.40","-2.16","3086"
"Alexei Ramirez","White Sox","-1.87","-13.09","11.23","-8.87","-0.99","1.07","","0","-1.31","-0.44","5133"
"Zack Cozart","Reds","-1.93","-10.63","8.70","-17.13","-1.79","0.96","1.62","4","-0.17","-1.84","2616"
"Starlin Castro","Cubs","-2.42","-12.67","10.25","-22.22","-2.42","0.96","1.51","2","-2.04","-0.47","4579"
"Alcides Escobar","Royals","-2.43","-12.63","10.21","-24.31","-2.56","1.11","1.67","1","-2.98","0.78","6310"
"Mike Moustakas","Royals","-2.59","-10.36","7.77","-19.38","-2.10","1.08","0.85","3","-1.42","-0.97","4892"
"Darwin Barney","Cubs","-2.92","-10.91","7.99","-32.93","-3.59","1.03","0.52","1","-3.06","0.24","2430"
"Adeiny Hechavarria","Marlins","-3.73","-12.58","8.85","-30.02","-3.31","1.11","","0","-3.88","0.52","10459"
