Name,Team,W,L,G,GS,CG,IP,H,HR,BB,SO,R,SV,BS,BK,ER,HBP,HLD,IBB,ShO,TBF,WP,HR/9,BB/9,K/9,K/BB,K-BB%,GB%,HR/FB,LOB%,ERA,BABIP,FIP,WHIP,WPA,WAR
Patrick Corbin,Diamondbacks,14,8,32,32,3,208.1,189,19,54,178,81,0,0,0,79,9,0,1,0,860,13,0.82,2.33,7.69,3.3,14.4,46.7,10.1,75.9,3.41,0.28300000000000003,3.43,1.17,2.14,3.5
Jon Lester,Red Sox,15,8,33,33,1,213.1,209,19,67,177,94,0,0,0,89,7,0,0,1,903,5,0.8,2.83,7.47,2.64,12.2,45.0,8.3,73.7,3.75,0.3,3.59,1.29,0.41,3.5
Ubaldo Jimenez,Indians,13,9,32,32,0,182.2,163,16,80,194,75,0,0,0,67,3,0,0,0,777,8,0.79,3.94,9.56,2.43,14.7,43.9,9.0,76.5,3.3,0.304,3.43,1.33,1.05,3.4
Zack Greinke,Dodgers,15,4,28,28,1,177.2,152,13,46,148,54,0,0,0,52,7,0,1,1,717,5,0.66,2.33,7.5,3.22,14.2,45.6,8.6,80.8,2.63,0.276,3.23,1.11,2.96,3.4
Stephen Strasburg,Nationals,8,9,30,30,1,183.0,136,16,56,191,71,0,0,3,61,12,0,1,1,731,7,0.79,2.75,9.39,3.41,18.5,51.5,11.1,73.2,3.0,0.263,3.21,1.05,1.26,3.3
Ricky Nolasco,Dodgers,13,11,34,33,0,199.1,195,17,46,165,90,0,0,0,82,10,0,1,0,834,5,0.77,2.08,7.45,3.59,14.3,43.0,8.7,70.9,3.7,0.299,3.34,1.21,-1.17,3.2
Gio Gonzalez,Nationals,11,8,32,32,1,195.2,169,17,76,192,79,0,0,1,73,2,0,1,1,819,4,0.78,3.5,8.83,2.53,14.2,43.9,9.7,75.3,3.36,0.28600000000000003,3.41,1.25,1.24,3.2
C.J. Wilson,Angels,17,7,33,33,0,212.1,200,15,85,188,93,0,0,2,80,8,0,3,0,913,14,0.64,3.6,7.97,2.21,11.3,44.4,7.2,73.5,3.39,0.3,3.51,1.34,-0.18,3.2
Eric Stults,Padres,11,13,33,33,2,203.2,219,18,40,131,97,0,0,1,89,2,0,2,0,857,2,0.8,1.77,5.79,3.28,10.6,40.4,6.9,69.6,3.93,0.302,3.53,1.27,-0.79,3.1
Andy Pettitte,Yankees,11,11,30,30,1,185.1,198,17,48,128,85,0,0,0,77,4,0,1,0,784,6,0.83,2.33,6.22,2.67,10.2,46.0,9.1,72.9,3.74,0.308,3.7,1.33,0.42,3.1
Rick Porcello,Tigers,13,8,32,29,1,177.0,185,18,42,142,87,0,0,1,85,3,0,4,0,736,6,0.92,2.14,7.22,3.38,13.6,55.3,14.1,69.8,4.32,0.315,3.53,1.28,0.02,2.9
Travis Wood,Cubs,9,12,32,32,0,200.0,163,18,66,144,73,0,0,0,69,8,0,2,0,821,6,0.81,2.97,6.48,2.18,9.5,33.2,6.9,77.4,3.11,0.248,3.89,1.15,1.86,2.7
Jeff Samardzija,Cubs,8,13,33,33,2,213.2,210,25,78,214,109,0,0,0,103,8,0,3,1,914,11,1.05,3.29,9.01,2.74,14.9,48.2,13.3,71.7,4.34,0.314,3.77,1.35,-0.66,2.7
Bud Norris,Orioles,10,12,32,30,0,176.2,196,17,67,147,89,0,0,0,82,5,0,0,0,773,4,0.87,3.41,7.49,2.19,10.4,40.2,8.1,73.3,4.18,0.33299999999999996,3.86,1.49,-0.87,2.7
Andrew Cashner,Padres,10,9,31,26,1,175.0,151,12,47,128,68,0,0,0,60,4,1,3,1,707,5,0.62,2.42,6.58,2.72,11.5,52.5,8.1,72.4,3.09,0.26899999999999996,3.35,1.13,1.02,2.6
Kris Medlen,Braves,15,12,32,31,0,197.0,194,18,47,157,77,0,0,0,68,8,0,1,0,820,2,0.82,2.15,7.17,3.34,13.4,45.3,9.9,76.9,3.11,0.298,3.48,1.22,0.91,2.6
Jorge de la Rosa,Rockies,16,6,30,30,0,167.2,170,11,62,112,70,0,0,0,65,5,0,5,0,714,5,0.59,3.33,6.01,1.81,7.0,47.3,7.7,75.4,3.49,0.303,3.76,1.38,1.74,2.6
CC Sabathia,Yankees,14,13,32,32,2,211.0,224,28,65,175,122,0,0,1,112,4,0,5,0,908,7,1.19,2.77,7.46,2.69,12.1,44.7,13.0,67.4,4.78,0.308,4.1,1.37,-2.59,2.6
Julio Teheran,Braves,14,8,30,30,0,185.2,173,22,45,170,69,0,0,0,66,13,0,4,0,774,2,1.07,2.18,8.24,3.78,16.2,37.8,10.1,80.9,3.2,0.28800000000000003,3.69,1.17,1.07,2.5
Ervin Santana,Royals,9,10,32,32,0,211.0,190,26,51,161,85,0,0,0,76,6,0,3,0,859,6,1.11,2.18,6.87,3.16,12.8,46.2,12.4,76.9,3.24,0.267,3.93,1.14,1.39,2.5
Shelby Miller,Cardinals,15,9,31,31,1,173.1,152,20,57,169,65,0,0,0,59,5,0,0,1,722,2,1.04,2.96,8.77,2.96,15.5,38.4,10.1,80.1,3.06,0.28,3.67,1.21,1.09,2.4
John Lackey,Red Sox,10,13,29,29,2,189.1,179,26,40,161,80,0,0,0,74,6,0,0,0,778,4,1.24,1.9,7.65,4.03,15.6,46.8,13.3,76.9,3.52,0.281,3.86,1.16,1.31,2.4
Kyle Lohse,Brewers,11,10,32,32,2,198.2,196,26,36,125,78,0,0,0,74,3,0,1,1,806,1,1.18,1.63,5.66,3.47,11.0,40.2,10.8,79.1,3.35,0.276,4.08,1.17,1.27,2.3
Mark Buehrle,Blue Jays,12,10,33,33,1,203.2,223,24,51,139,100,0,0,0,94,9,0,3,1,876,2,1.06,2.25,6.14,2.73,10.1,45.3,10.6,73.4,4.15,0.305,4.1,1.35,-0.44,2.3
Felix Doubront,Red Sox,11,6,29,27,0,162.1,161,13,71,139,84,0,0,0,78,5,0,0,0,705,8,0.72,3.94,7.71,1.96,9.7,45.6,7.8,69.9,4.32,0.31,3.78,1.43,-0.53,2.2
Yovani Gallardo,Brewers,12,10,31,31,0,180.2,180,18,66,144,92,0,0,0,84,3,0,1,0,773,5,0.9,3.29,7.17,2.18,10.1,49.2,11.9,70.2,4.18,0.299,3.89,1.36,-0.67,2.2
Scott Feldman,Orioles,12,12,30,30,2,181.2,159,19,56,132,87,0,0,1,78,9,0,1,1,758,7,0.94,2.77,6.54,2.36,10.0,49.6,11.0,69.4,3.86,0.258,4.03,1.18,0.23,2.0
Mike Leake,Reds,14,7,31,31,0,192.1,193,21,48,122,78,0,0,0,72,6,0,4,0,801,2,0.98,2.25,5.71,2.54,9.2,48.7,11.5,77.7,3.37,0.285,4.04,1.25,1.27,2.0
Kyle Kendrick,Phillies,10,13,30,30,2,182.0,207,18,47,110,104,0,0,1,95,7,0,4,1,800,3,0.89,2.32,5.44,2.34,7.9,49.4,9.5,66.6,4.7,0.306,4.01,1.4,-1.34,2.0
Edwin Jackson,Cubs,8,18,31,31,0,175.1,197,16,59,135,110,0,0,0,97,5,0,7,0,777,14,0.82,3.03,6.93,2.29,9.8,51.3,9.9,63.3,4.98,0.322,3.79,1.46,-4.06,2.0
Chris Tillman,Orioles,16,7,33,33,1,206.1,184,33,68,179,87,0,0,1,85,3,0,2,0,845,6,1.44,2.97,7.81,2.63,13.1,38.6,14.2,80.5,3.71,0.26899999999999996,4.42,1.22,1.76,1.9
Dillon Gee,Mets,12,11,32,32,2,199.0,208,24,47,142,84,0,0,0,80,7,0,0,0,841,4,1.09,2.13,6.42,3.02,11.3,42.6,10.1,77.9,3.62,0.29600000000000004,4.0,1.28,-0.42,1.9
Wade Miley,Diamondbacks,10,10,33,33,0,202.2,201,21,66,147,88,0,0,0,80,4,0,4,0,847,13,0.93,2.93,6.53,2.23,9.6,52.0,12.5,75.8,3.55,0.29600000000000004,3.98,1.32,-0.06,1.8
Tim Lincecum,Giants,10,14,32,32,1,197.2,184,21,76,193,102,0,0,2,96,7,0,8,1,841,11,0.96,3.46,8.79,2.54,13.9,45.3,12.1,69.4,4.37,0.3,3.74,1.32,-1.97,1.8
R.A. Dickey,Blue Jays,14,13,34,34,3,224.2,207,35,71,177,113,0,0,1,105,10,0,0,1,943,7,1.4,2.84,7.09,2.49,11.2,40.3,12.7,73.2,4.21,0.265,4.58,1.24,-1.87,1.7
Miguel Gonzalez,Orioles,11,8,30,28,0,171.1,157,24,53,120,81,0,0,0,72,3,0,3,0,712,4,1.26,2.78,6.3,2.26,9.4,38.9,11.4,73.6,3.78,0.26,4.45,1.23,0.21,1.6
Dan Haren,Nationals,10,14,31,30,0,169.2,179,28,31,151,92,1,0,1,88,7,0,0,0,717,8,1.49,1.64,8.01,4.87,16.7,36.0,13.0,70.3,4.67,0.302,4.09,1.24,-0.61,1.6
Jeremy Hellickson,Rays,12,10,32,31,0,174.0,185,24,50,135,103,0,0,2,100,4,0,0,0,737,7,1.24,2.59,6.98,2.7,11.5,39.6,10.9,66.2,5.17,0.307,4.22,1.35,-1.72,1.5
Matt Cain,Giants,8,10,30,30,0,184.1,158,23,55,158,85,0,0,0,82,5,0,3,0,760,1,1.12,2.69,7.71,2.87,13.6,37.7,10.8,71.6,4.0,0.26,3.93,1.16,-0.44,1.5
Wily Peralta,Brewers,11,15,32,32,2,183.1,187,19,73,129,107,0,0,0,89,7,0,3,1,802,12,0.93,3.58,6.33,1.77,7.0,51.0,11.9,66.6,4.37,0.293,4.3,1.42,-1.07,1.4
A.J. Griffin,Athletics,14,10,32,32,1,200.0,171,36,54,171,91,0,0,0,85,4,0,2,1,823,7,1.62,2.43,7.69,3.17,14.2,32.1,12.5,77.3,3.82,0.242,4.55,1.12,-0.37,1.4
Jeff Locke,Pirates,10,7,30,30,0,166.1,146,11,84,125,69,0,0,2,65,6,0,4,0,711,8,0.6,4.55,6.76,1.49,5.8,53.2,8.9,75.7,3.52,0.278,4.03,1.38,1.0,1.3
Jarrod Parker,Athletics,12,8,32,32,1,197.0,178,25,63,134,92,0,0,0,87,7,0,2,0,818,7,1.14,2.88,6.12,2.13,8.7,41.2,10.5,73.2,3.97,0.26,4.4,1.22,1.04,1.2
Kevin Correia,Twins,9,13,31,31,0,185.1,218,24,45,101,89,0,0,0,86,2,0,1,0,792,2,1.17,2.19,4.9,2.24,7.1,44.0,11.7,76.1,4.18,0.313,4.4,1.42,-0.79,1.2
Bronson Arroyo,Reds,14,12,32,32,2,202.0,199,32,34,124,88,0,0,2,85,7,0,2,1,823,1,1.43,1.51,5.52,3.65,10.9,44.4,14.0,77.9,3.79,0.267,4.49,1.15,0.06,1.2
Edinson Volquez,Dodgers,9,12,33,32,0,170.1,193,19,77,142,114,0,0,0,108,3,0,2,0,777,16,1.0,4.07,7.5,1.84,8.4,47.6,11.9,64.5,5.71,0.325,4.24,1.59,-2.85,0.9
Ian Kennedy,Padres,7,10,31,31,0,181.1,180,27,73,163,108,0,0,1,99,12,0,1,0,794,10,1.34,3.62,8.09,2.23,11.3,38.2,13.2,69.1,4.91,0.295,4.59,1.4,-3.02,0.6
Ryan Dempster,Red Sox,8,9,32,29,0,171.1,170,26,79,157,97,0,0,1,87,6,0,1,0,754,9,1.37,4.15,8.25,1.99,10.3,40.8,13.8,72.3,4.57,0.29600000000000004,4.68,1.45,-0.63,0.5
Jeremy Guthrie,Royals,15,12,33,33,3,211.2,236,30,59,111,99,0,0,0,95,8,0,1,2,905,7,1.28,2.51,4.72,1.88,5.8,42.9,12.1,78.2,4.04,0.29600000000000004,4.79,1.39,-0.29,0.5
Joe Saunders,Mariners,11,16,32,32,2,183.0,232,25,61,107,117,0,0,0,107,4,0,5,0,820,5,1.23,3.0,5.26,1.75,5.6,51.2,14.5,68.7,5.26,0.332,4.72,1.6,-2.68,0.3
Jerome Williams,Angels,9,10,37,25,0,169.1,181,23,55,107,93,0,0,0,86,4,0,2,0,728,5,1.22,2.92,5.69,1.95,7.1,47.1,13.1,70.7,4.57,0.293,4.6,1.39,-1.36,0.1
