"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Ryan Zimmerman","Nationals","142","525","603","161","104","32","0","25","85","85","69","6","98","4","5","0","16","4","1",".307","4220"
"Ryan Braun","Brewers","157","619","685","188","117","45","1","25","101","103","56","1","105","6","3","0","17","14","3",".304","3410"
"Victor Martinez","Red Sox","127","493","538","149","96","32","1","20","64","79","40","5","52","0","5","0","17","1","0",".302","393"
"Starlin Castro","Cubs","125","463","506","139","100","31","5","3","53","41","29","7","71","6","4","4","14","10","8",".300","4579"
"Hanley Ramirez","Marlins","142","543","619","163","112","28","2","21","92","76","64","12","93","7","5","0","14","32","10",".300","8001"
"Vladimir Guerrero","Rangers","152","593","643","178","121","27","1","29","83","115","35","5","60","9","6","0","19","4","5",".300","778"
"Shin-Soo Choo","Indians","144","550","646","165","110","31","2","22","81","90","83","11","118","11","2","0","11","22","7",".300","3174"
"Delmon Young","Twins","153","570","613","170","102","46","1","21","77","112","28","5","81","6","9","0","16","5","4",".298","2140"
"Placido Polanco","Phillies","132","554","602","165","130","27","2","6","76","52","32","1","47","7","8","1","14","5","0",".298","1176"
"Adrian Gonzalez","Padres","160","591","693","176","112","33","0","31","87","101","93","35","114","2","4","2","15","0","0",".298","1908"
"Nick Markakis","Orioles","160","629","709","187","127","45","3","12","79","60","73","9","93","2","5","0","18","7","2",".297","5930"
"Scott Podsednik","- - -","134","539","595","160","133","14","7","6","63","51","40","1","83","0","6","10","10","35","15",".297","1095"
"Jayson Werth","Phillies","156","554","652","164","89","46","2","27","106","85","82","6","147","7","9","0","11","13","3",".296","1327"
"Evan Longoria","Rays","151","574","661","169","96","46","5","22","96","104","72","12","124","5","10","0","15","15","5",".294","9368"
"Marlon Byrd","Cubs","152","580","630","170","117","39","2","12","84","66","31","1","98","17","2","0","12","5","1",".293","950"
"Austin Jackson","Tigers","151","618","675","181","133","34","10","4","103","41","47","4","170","4","3","3","5","27","6",".293","9848"
"Andre Ethier","Dodgers","139","517","585","151","94","33","1","23","71","82","59","11","102","3","6","0","11","2","1",".292","6265"
"Angel Pagan","Mets","151","579","633","168","119","31","7","11","80","69","44","5","97","1","3","6","9","37","9",".290","2918"
"Aubrey Huff","Giants","157","569","668","165","99","35","5","26","100","86","83","5","91","9","7","0","17","7","0",".290","1213"
"Nick Swisher","Yankees","150","566","635","163","98","33","3","29","91","89","58","0","139","6","2","3","13","1","2",".288","4599"
"Jeff Keppinger","Astros","137","514","575","148","107","34","1","6","62","59","51","1","36","1","4","5","15","4","1",".288","3856"
"Dan Uggla","Marlins","159","589","674","169","105","31","0","33","100","105","78","2","149","2","5","0","10","4","1",".287","3442"
"Andrew McCutchen","Pirates","154","570","653","163","107","35","5","16","94","56","70","1","89","5","7","1","6","33","10",".286","9847"
"Casey McGehee","Brewers","157","610","670","174","112","38","1","23","70","104","50","5","102","2","8","0","18","1","1",".285","6086"
"Scott Rolen","Reds","133","471","537","134","77","34","3","20","66","83","50","3","82","8","8","0","12","1","2",".285","970"
"Luke Scott","Orioles","131","447","517","127","70","29","1","27","70","72","59","4","98","4","7","0","9","2","0",".284","3469"
"Adam Jones","Orioles","149","581","621","165","116","25","5","19","76","69","23","1","119","13","2","2","17","7","7",".284","6368"
"Alex Rios","White Sox","147","567","617","161","108","29","3","21","89","88","38","4","93","7","5","0","21","34","14",".284","2090"
"Rajai Davis","Athletics","143","525","561","149","113","28","3","5","66","52","26","0","78","4","5","1","10","50","11",".284","3708"
"Kelly Johnson","Diamondbacks","154","585","671","166","99","36","5","26","93","71","79","1","148","2","2","3","12","13","7",".284","2234"
"Michael Young","Rangers","157","656","718","186","126","36","3","21","99","91","50","4","115","1","11","0","21","4","2",".284","1286"
"Corey Hart","Brewers","145","558","614","158","89","34","4","31","91","102","45","2","140","6","5","0","14","7","6",".283","1945"
"David Wright","Mets","157","587","670","166","98","36","3","29","87","103","69","9","161","2","12","0","12","19","11",".283","3787"
"Jose Reyes","Mets","133","563","603","159","109","29","10","11","83","54","31","4","63","2","3","4","8","30","10",".282","1736"
"Alexei Ramirez","White Sox","156","585","626","165","116","29","2","18","83","70","27","2","82","2","5","7","12","13","8",".282","5133"
"Hunter Pence","Astros","156","614","658","173","116","29","3","25","93","91","41","2","105","0","3","0","11","18","9",".282","8252"
"Torii Hunter","Angels","152","573","646","161","102","36","0","23","76","90","61","6","106","7","5","0","22","9","12",".281","731"
"Jay Bruce","Reds","148","509","573","143","90","23","5","25","80","70","58","5","136","1","5","0","12","5","4",".281","9892"
"Howie Kendrick","Angels","158","616","658","172","117","41","4","10","67","75","28","2","94","5","5","4","16","14","4",".279","4229"
"Stephen Drew","Diamondbacks","151","565","633","157","97","33","12","15","83","61","62","2","108","3","1","2","8","10","5",".278","4251"
"Jason Heyward","Braves","142","520","623","144","92","29","5","18","83","72","91","2","128","10","2","0","13","11","6",".277","4940"
"Brett Gardner","Yankees","150","477","569","132","100","20","7","5","97","47","79","1","101","5","3","5","6","47","9",".277","9927"
"Ryan Howard","Phillies","143","550","620","152","93","23","5","31","87","108","59","11","157","8","3","0","14","1","1",".276","2154"
"Colby Rasmus","Cardinals","144","464","534","128","74","28","3","23","85","66","63","9","148","1","4","2","5","12","8",".276","9893"
"Marco Scutaro","Red Sox","150","632","695","174","125","38","0","11","92","56","53","1","71","3","3","4","13","5","4",".275","1555"
"Chase Utley","Phillies","115","425","511","117","79","20","2","16","75","65","63","3","63","18","5","0","4","13","2",".275","1679"
"Juan Pierre","White Sox","160","651","734","179","157","18","3","1","96","47","45","0","47","21","2","15","8","68","18",".275","443"
"Brandon Phillips","Reds","155","626","687","172","116","33","5","18","100","59","46","1","83","8","1","6","14","16","12",".275","791"
"Raul Ibanez","Phillies","155","561","636","154","96","37","5","16","75","83","68","11","108","0","7","0","15","4","3",".275","607"
"Hideki Matsui","Angels","145","482","558","132","86","24","1","21","55","84","67","6","98","1","4","0","10","0","1",".274","1659"
"Daric Barton","Athletics","159","556","686","152","104","33","5","10","79","57","110","2","102","3","5","12","8","7","3",".273","5928"
"Vernon Wells","Blue Jays","157","590","646","161","83","44","3","31","79","88","50","5","84","3","3","0","18","6","4",".273","1326"
"Gaby Sanchez","Marlins","151","572","643","156","97","37","3","19","72","85","57","2","101","5","6","3","14","5","0",".273","3361"
"Justin Upton","Diamondbacks","133","495","571","135","88","27","3","17","73","69","64","5","152","4","7","1","20","18","8",".273","5222"
"Michael Cuddyer","Twins","157","609","675","165","109","37","5","14","93","81","58","7","93","4","4","0","26","7","3",".271","1534"
"Johnny Damon","Tigers","145","539","613","146","97","36","5","8","81","51","69","2","90","2","1","2","5","11","1",".271","185"
"David Ortiz","Red Sox","145","518","606","140","71","36","1","32","86","102","82","14","145","2","4","0","12","0","1",".270","745"
"Alex Rodriguez","Yankees","137","522","595","141","80","29","2","30","74","125","59","1","98","3","11","0","7","4","3",".270","1274"
"A.J. Pierzynski","White Sox","128","474","503","128","90","29","0","9","43","56","15","2","39","6","2","6","17","3","4",".270","746"
"Derek Jeter","Yankees","157","663","739","179","136","30","3","10","111","67","63","4","106","9","3","1","22","18","5",".270","826"
"Ryan Theriot","- - -","150","586","640","158","139","15","2","2","72","29","41","3","74","4","2","7","13","20","9",".270","3811"
"Brian McCann","Braves","143","479","566","129","83","25","0","21","63","77","74","10","98","9","4","0","12","5","2",".269","4810"
"Miguel Tejada","- - -","156","636","681","171","130","26","0","15","71","71","30","3","67","11","3","1","16","2","0",".269","941"
"Rickie Weeks Jr.","Brewers","160","651","754","175","110","32","4","29","112","83","76","0","184","25","2","0","5","11","4",".269","1849"
"Cody Ross","- - -","153","525","569","141","96","28","3","14","71","65","37","4","121","5","2","0","9","9","2",".269","1760"
"Ian Desmond","Nationals","154","525","574","141","100","27","4","10","59","65","28","3","109","5","7","9","9","17","5",".269","6885"
"Andres Torres","Giants","139","507","570","136","69","43","8","16","84","63","56","2","128","2","0","5","10","26","7",".268","1488"
"Pablo Sandoval","Giants","152","563","616","151","101","34","3","13","61","63","47","12","81","1","5","0","26","3","2",".268","5409"
"Orlando Hudson","Twins","126","497","559","133","98","24","5","6","80","37","50","0","87","4","3","5","14","10","3",".268","1307"
"James Loney","Dodgers","161","588","648","157","104","41","2","10","67","88","52","9","95","4","4","0","14","10","5",".267","4556"
"Jonny Gomes","Reds","148","511","571","136","91","24","3","18","77","86","39","3","123","12","9","0","4","5","3",".266","1845"
"Michael Bourn","Astros","141","535","605","142","109","25","6","2","84","38","59","5","109","3","2","6","6","52","12",".265","6387"
"Elvis Andrus","Rangers","148","588","674","156","138","15","3","0","88","35","64","0","96","5","0","17","6","32","15",".265","8709"
"Alberto Callaspo","- - -","146","562","601","149","110","27","2","10","61","56","31","3","42","1","6","1","22","5","3",".265","3336"
"Skip Schumaker","Cardinals","137","476","529","126","102","18","1","5","66","42","43","2","64","4","4","2","7","5","3",".265","3704"
"Chase Headley","Padres","161","610","674","161","118","29","3","11","77","58","56","3","139","3","4","1","11","17","5",".264","4720"
"Denard Span","Twins","153","629","705","166","129","24","10","3","85","58","60","0","74","4","2","10","12","26","4",".264","8347"
"Ike Davis","Mets","147","523","601","138","85","33","1","19","73","71","72","6","138","1","5","0","13","3","2",".264","8433"
"Orlando Cabrera","Reds","123","494","537","130","93","33","0","4","64","42","28","0","53","3","7","5","11","11","4",".263","766"
"Yadier Molina","Cardinals","136","465","521","122","97","19","0","6","34","62","42","6","51","7","5","2","19","8","4",".262","7007"
"Prince Fielder","Brewers","161","578","714","151","94","25","0","32","94","83","114","17","138","21","1","0","12","1","0",".261","4613"
"Adam LaRoche","Diamondbacks","151","560","615","146","82","37","2","25","75","100","48","4","172","3","4","0","8","0","1",".261","1904"
"Jose Bautista","Blue Jays","161","569","683","148","56","35","3","54","109","124","100","2","116","10","4","0","10","9","2",".260","1887"
"Adam Dunn","Nationals","158","558","648","145","69","36","2","38","85","103","77","10","199","9","4","0","10","0","1",".260","319"
"Dexter Fowler","Rockies","132","439","505","114","74","20","14","6","73","36","57","0","104","2","0","7","5","13","8",".260","4062"
"Derrek Lee","- - -","148","547","626","142","88","35","0","19","80","80","73","1","134","2","4","0","23","1","3",".260","525"
"Chone Figgins","Mariners","161","602","702","156","132","21","2","1","62","35","74","0","114","3","6","17","20","42","15",".259","1580"
"Yuniesky Betancourt","Royals","151","556","588","144","97","29","2","16","60","78","23","1","64","1","4","4","13","2","3",".259","8585"
"Shane Victorino","Phillies","147","587","648","152","98","26","10","18","84","69","53","5","79","7","1","0","7","34","6",".259","1677"
"Alfonso Soriano","Cubs","147","496","548","128","61","40","3","24","67","79","45","3","123","3","3","1","12","5","1",".258","847"
"Jose Guillen","- - -","148","524","577","135","92","22","2","19","55","77","32","1","113","14","6","0","17","1","0",".258","57"
"Chris Young","Diamondbacks","156","584","664","150","90","33","0","27","94","91","74","0","145","2","3","1","10","28","7",".257","3882"
"Brennan Boesch","Tigers","133","464","512","119","76","26","3","14","49","67","40","5","99","5","3","0","5","7","1",".256","914"
"Jorge Cantu","- - -","127","472","515","121","80","29","1","11","50","56","29","1","95","6","7","1","15","0","0",".256","2521"
"Mark Teixeira","Yankees","158","601","712","154","85","36","0","33","113","108","93","6","122","13","5","0","15","0","1",".256","1281"
"Yunel Escobar","- - -","135","497","567","127","104","19","0","4","60","35","56","1","57","5","0","9","18","6","2",".256","4191"
"Melky Cabrera","Braves","147","458","509","117","83","27","3","4","50","42","42","11","64","1","3","5","8","7","1",".255","4022"
"J.D. Drew","Red Sox","139","478","546","122","74","24","2","22","69","68","60","3","105","4","4","0","12","3","1",".255","1152"
"Drew Stubbs","Reds","150","514","583","131","84","19","6","22","91","77","55","2","168","5","6","3","6","30","6",".255","9328"
"Bobby Abreu","Angels","154","573","667","146","84","41","1","20","88","78","87","3","132","2","5","0","13","24","10",".255","945"
"Jason Bartlett","Rays","135","468","532","119","85","27","3","4","71","47","45","1","83","5","3","11","6","11","6",".254","8219"
"Nyjer Morgan","Nationals","136","509","577","129","105","17","7","0","60","24","40","1","88","10","3","15","2","34","17",".253","4885"
"Erick Aybar","Angels","138","534","589","135","108","18","4","5","69","29","35","1","81","7","2","11","7","22","8",".253","4082"
"Ryan Ludwick","- - -","136","490","553","123","77","27","2","17","63","69","48","0","121","8","5","0","13","0","4",".251","1260"
"Alex Gonzalez","- - -","157","595","640","149","81","42","3","23","74","88","31","2","118","7","4","3","16","1","2",".250","520"
"Cliff Pennington","Athletics","156","508","576","127","87","26","8","6","64","46","50","0","96","3","3","12","7","29","5",".250","3395"
"Matt Kemp","Dodgers","162","602","668","150","91","25","6","28","82","89","53","4","170","4","9","0","14","19","15",".249","5631"
"Jason Kubel","Twins","143","518","582","129","82","23","3","21","68","92","56","5","116","3","5","0","16","0","1",".249","2161"
"Jeff Francoeur","- - -","139","454","503","113","80","18","2","13","52","65","30","8","81","8","11","0","9","8","3",".249","4792"
"Jhonny Peralta","- - -","148","551","615","137","90","30","2","15","60","81","53","2","103","1","10","0","11","1","0",".249","1738"
"Ty Wigginton","Orioles","154","581","649","144","92","29","1","22","63","76","50","3","116","8","9","1","23","0","1",".248","1491"
"Juan Uribe","Giants","148","521","575","129","79","24","2","24","64","85","45","6","92","4","5","0","20","1","2",".248","454"
"Casey Blake","Dodgers","146","509","571","126","80","28","1","17","56","64","48","3","138","8","3","3","8","0","4",".248","719"
"Brandon Inge","Tigers","144","514","580","127","81","28","5","13","47","70","54","4","134","5","7","0","12","4","3",".247","470"
"Kevin Kouzmanoff","Athletics","143","551","586","136","87","32","1","16","59","71","24","2","96","6","5","0","20","2","1",".247","5995"
"Curtis Granderson","Yankees","136","466","528","115","67","17","7","24","76","67","53","3","116","2","3","4","3","12","2",".247","4747"
"Garrett Jones","Pirates","158","592","654","146","90","34","1","21","64","86","53","2","123","1","8","0","18","7","3",".247","2714"
"Carlos Lee","Astros","157","605","649","149","95","29","1","24","67","89","37","1","59","3","4","0","20","3","3",".246","243"
"Franklin Gutierrez","Mariners","152","568","629","139","99","25","3","12","61","64","50","5","137","1","8","2","10","25","3",".245","3255"
"Lyle Overbay","Blue Jays","154","534","608","130","71","37","2","20","75","67","67","7","131","3","3","0","9","1","0",".243","1617"
"Carlos Quentin","White Sox","131","453","527","110","57","25","2","26","73","87","50","3","83","20","4","0","16","2","2",".243","6274"
"Kurt Suzuki","Athletics","131","495","544","120","87","18","2","13","55","71","33","3","49","12","4","0","22","3","2",".242","8259"
"Aramis Ramirez","Cubs","124","465","507","112","65","21","1","25","61","83","34","3","90","3","5","0","10","0","0",".241","1002"
"Jose Lopez","Mariners","150","593","622","142","103","29","0","10","49","58","23","1","66","3","3","0","20","3","2",".239","3114"
"Ben Zobrist","Rays","151","541","655","129","89","28","2","10","77","75","92","1","107","3","12","7","10","24","3",".238","7435"
"Mike Napoli","Angels","140","453","510","108","57","24","1","26","60","68","42","2","137","11","4","0","15","4","2",".238","3057"
"Adam Lind","Blue Jays","150","569","613","135","77","32","3","23","57","72","38","3","144","3","3","0","10","0","0",".237","8027"
"Melvin Upton Jr.","Rays","154","536","610","127","67","38","4","18","89","62","67","1","164","2","4","1","13","42","9",".237","5015"
"Alcides Escobar","Brewers","145","506","552","119","91","14","10","4","57","41","36","7","70","3","3","4","8","10","4",".235","6310"
"Cesar Izturis","Orioles","150","473","513","109","94","13","1","1","42","28","25","1","53","6","2","7","11","11","5",".230","656"
"Aaron Hill","Blue Jays","138","528","580","108","60","22","0","26","70","68","41","2","85","8","2","1","8","2","2",".205","6104"
"Mark Reynolds","Diamondbacks","145","499","596","99","48","17","2","32","79","85","83","7","211","9","5","0","8","7","4",".198","7619"
"Carlos Pena","Rays","144","484","582","95","49","18","0","28","64","84","87","4","158","7","4","0","2","5","1",".196","934"
