"Name","Team","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","WPA/LI","Clutch","SD","MD","playerid"
"Joe Blanton","Phillies","-0.99","-12.75","11.76","-16.40","-1.61","0.92","","0.85","1.04","29","-0.98","-0.08","0","1","4849"
"Chris Volstad","Marlins","-1.32","-13.53","12.21","-7.93","-0.80","0.97","","0.87","1.45","28","-0.52","-0.84","0","0","9901"
"Paul Maholm","Pirates","-1.37","-15.45","14.08","-29.22","-3.03","0.99","","0.87","1.03","31","-2.54","1.16","0","0","8678"
"Rick Porcello","Tigers","-1.43","-13.28","11.85","-14.84","-1.47","1.00","","0.87","1.01","27","-0.06","-1.36","0","0","2717"
"Kyle Kendrick","Phillies","-1.46","-13.57","12.11","-12.10","-1.27","0.91","","0.83","1.03","31","-0.97","-0.64","0","0","6230"
"Jeremy Bonderman","Tigers","-1.78","-13.69","11.91","-21.72","-2.21","0.92","1.10","0.87","0.87","30","-1.23","-0.70","0","0","1667"
"A.J. Burnett","Yankees","-1.89","-15.56","13.67","-20.97","-2.07","0.95","","0.87","0.87","32","-3.37","1.37","0","0","512"
"Dave Bush","Brewers","-2.04","-13.78","11.74","-23.72","-2.47","0.93","4.58","0.99","1.14","32","-2.68","0.49","1","0","4635"
"Justin Masterson","Indians","-2.05","-16.00","13.95","-17.82","-1.86","1.04","2.29","0.95","1.16","33","-1.22","-0.75","1","2","2038"
"Kyle Davies","Royals","-2.14","-15.53","13.39","-22.08","-2.17","0.97","","0.88","1.22","31","-2.06","-0.14","0","0","3642"
"James Shields","Rays","-2.43","-17.14","14.72","-30.43","-3.12","0.95","","0.90","0.88","34","-3.44","0.88","1","0","7059"
"Kevin Millwood","Orioles","-2.96","-16.24","13.28","-23.28","-2.29","0.95","","0.88","0.91","30","-1.22","-1.89","0","0","106"
"Rodrigo Lopez","Diamondbacks","-3.04","-17.29","14.25","-23.69","-2.55","0.95","","0.87","0.98","33","-2.81","-0.40","0","0","150"
