"Name","Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Andres Torres","Giants","570","9.8 %","22.5 %","0.44",".268",".343",".479",".823",".211","7.5",".331","4.1","-0.5","2.0","82","17.0",".358","125","1488"
"Hideki Matsui","Angels","558","12.0 %","17.6 %","0.68",".274",".361",".459",".820",".185","1.4",".302","-4.7","0.1","-0.9","81","16.4",".358","126","1659"
"Carlos Quentin","White Sox","527","9.5 %","15.7 %","0.60",".243",".342",".479",".821",".236","3.5",".241","2.8","-1.9","-0.8","76","15.5",".358","118","6274"
"Torii Hunter","Angels","646","9.4 %","16.4 %","0.58",".281",".354",".464",".819",".183","2.5",".307","-0.6","-2.8","-3.5","93","18.5",".357","126","731"
"Stephen Drew","Diamondbacks","633","9.8 %","17.1 %","0.57",".278",".352",".458",".810",".181","6.0",".321","0.7","1.3","-0.5","90","17.3",".355","113","4251"
"Delmon Young","Twins","613","4.6 %","13.2 %","0.35",".298",".333",".493",".826",".195","3.0",".312","-1.6","-0.1","-1.0","87","16.3",".354","120","2140"
"Martin Prado","Braves","651","6.1 %","13.2 %","0.47",".307",".350",".459",".809",".152","4.3",".335","4.8","0.3","-0.7","92","16.9",".353","118","3312"
"Nick Markakis","Orioles","709","10.3 %","13.1 %","0.78",".297",".370",".436",".805",".138","3.6",".331","-0.9","-1.2","0.0","99","18.0",".353","116","5930"
"Alfonso Soriano","Cubs","548","8.2 %","22.4 %","0.37",".258",".322",".496",".818",".238","4.4",".295","0.6","0.1","0.3","77","13.7",".352","114","847"
"Chris Young","Diamondbacks","664","11.1 %","21.8 %","0.51",".257",".341",".452",".793",".195","4.8",".296","2.7","1.2","2.3","91","15.2",".350","109","3882"
"Justin Upton","Diamondbacks","571","11.2 %","26.6 %","0.42",".273",".356",".442",".799",".170","5.2",".354","2.6","-1.8","-0.1","79","13.0",".349","109","5222"
"Bobby Abreu","Angels","667","13.0 %","19.8 %","0.66",".255",".352",".435",".787",".180","4.7",".296","-0.4","-0.1","0.2","91","14.1",".347","119","945"
"Casey McGehee","Brewers","670","7.5 %","15.2 %","0.49",".285",".337",".464",".801",".179","1.7",".306","-0.4","-0.3","-0.7","91","14.0",".347","113","6086"
"J.D. Drew","Red Sox","546","11.0 %","19.2 %","0.57",".255",".341",".452",".793",".197","3.3",".282","0.8","-0.8","-0.2","74","11.3",".347","110","1152"
"Ike Davis","Mets","601","12.0 %","23.0 %","0.52",".264",".351",".440",".791",".176","2.8",".321","0.0","-0.7","-0.7","81","12.1",".346","116","8433"
"Brett Gardner","Yankees","569","13.9 %","17.8 %","0.78",".277",".383",".379",".762",".103","8.1",".340","4.3","1.4","5.2","77","11.4",".346","112","9927"
