"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Shin-Soo Choo","Rangers","149","555","653","153","96","32","3","22","94","82","76","1","147","15","5","2","7","4","2",".276","3174"
"Kris Bryant","Cubs","151","559","650","154","92","31","5","26","87","99","77","0","199","9","5","0","7","13","4",".275","15429"
"Adrian Gonzalez","Dodgers","156","571","643","157","96","33","0","28","76","90","62","10","107","6","3","0","21","0","1",".275","1908"
"Jhonny Peralta","Cardinals","155","579","640","159","115","26","1","17","64","71","50","6","111","5","6","0","23","1","4",".275","1738"
"Jose Reyes","- - -","116","481","519","132","98","25","2","7","57","53","26","0","62","0","3","9","6","24","6",".274","1736"
"Melky Cabrera","White Sox","158","629","683","172","122","36","2","12","70","77","40","2","88","2","10","2","18","3","0",".273","4022"
"David Ortiz","Red Sox","146","528","614","144","70","37","0","37","73","108","77","16","95","0","9","0","16","0","1",".273","745"
"Josh Reddick","Athletics","149","526","582","143","94","25","4","20","67","77","49","1","65","0","2","1","7","10","2",".272","3892"
"Matt Carpenter","Cardinals","154","574","665","156","81","44","3","28","101","84","81","5","151","6","4","0","5","4","3",".272","8090"
"Carlos Gonzalez","Rockies","153","554","608","150","83","25","2","40","87","97","46","6","133","1","6","1","11","2","0",".271","7287"
"Yadier Molina","Cardinals","136","488","530","132","103","23","2","4","34","61","32","3","59","0","9","1","16","3","1",".270","7007"
"Yangervis Solarte","Padres","152","526","571","142","91","33","4","14","63","63","34","0","56","6","3","2","15","1","0",".270","5352"
"Evan Longoria","Rays","160","604","670","163","106","35","1","21","74","73","51","8","132","6","9","0","11","3","1",".270","9368"
"Erick Aybar","Angels","156","597","638","161","127","30","1","3","74","44","25","1","73","4","5","7","12","15","6",".270","4082"
"Adam Jones","Orioles","137","546","581","147","92","25","3","27","74","82","24","3","102","8","3","0","21","3","1",".269","6368"
"Neil Walker","Pirates","151","543","603","146","95","32","3","16","69","71","44","5","110","8","8","0","9","4","1",".269","7539"
"Cameron Maybin","Braves","141","505","555","135","105","18","2","10","65","59","45","1","102","1","3","1","16","23","6",".267","5223"
"Austin Jackson","- - -","136","491","527","131","94","25","3","9","56","48","29","0","126","3","1","3","5","17","10",".267","9848"
"Kyle Seager","Mariners","161","623","686","166","103","37","0","26","85","74","54","6","98","5","4","0","17","6","6",".266","9785"
"Andrelton Simmons","Braves","147","535","583","142","113","23","2","4","60","44","39","6","48","6","2","1","19","5","3",".265","10847"
"Asdrubal Cabrera","Rays","143","505","551","134","86","28","5","15","66","58","36","4","107","3","6","1","14","6","3",".265","4962"
"Joe Mauer","Twins","158","592","666","157","111","34","2","10","69","66","67","12","112","1","5","1","22","2","1",".265","1857"
"Matt Kemp","Padres","154","596","648","158","101","31","3","23","80","100","39","0","147","5","8","0","17","12","2",".265","5631"
"Starlin Castro","Cubs","151","547","578","145","109","23","2","11","52","69","21","6","91","5","4","1","18","5","5",".265","4579"
"Didi Gregorius","Yankees","155","525","578","139","104","24","2","9","57","56","33","0","85","11","6","3","4","5","3",".265","6012"
"Kevin Kiermaier","Rays","151","505","535","133","86","25","12","10","62","40","24","0","95","2","2","2","7","18","5",".263","11038"
"Freddy Galvis","Phillies","151","559","603","147","121","14","5","7","63","50","30","1","103","3","4","7","11","10","1",".263","6609"
"Wilmer Flores","Mets","137","483","510","127","89","22","0","16","55","59","19","2","63","4","2","2","12","0","1",".263","5827"
"Kolten Wong","Cardinals","150","557","613","146","103","28","4","11","71","61","36","2","95","15","5","0","10","15","8",".262","12532"
"Mark Trumbo","- - -","142","508","545","133","85","23","3","22","62","64","36","1","132","0","1","0","12","0","0",".262","6876"
"Chris Davis","Orioles","160","573","670","150","72","31","0","47","100","117","84","6","208","8","5","0","6","2","3",".262","9272"
"Angel Pagan","Giants","133","512","551","134","107","21","3","3","55","37","32","0","93","1","6","0","12","12","4",".262","2918"
"Stephen Vogt","Athletics","136","445","511","116","74","21","3","18","58","71","56","6","97","2","8","0","9","0","2",".261","5000"
"Salvador Perez","Royals","142","531","553","138","92","25","0","21","52","70","13","4","82","4","5","0","23","1","0",".260","7304"
"Brett Lawrie","Athletics","149","562","602","146","98","29","3","16","64","60","28","1","144","5","4","3","8","5","2",".260","5247"
"Brett Gardner","Yankees","151","571","656","148","103","26","3","16","94","66","68","1","135","6","3","8","8","20","5",".259","9927"
"Chase Headley","Yankees","156","580","642","150","109","29","1","11","74","62","51","0","135","7","4","0","17","0","2",".259","4720"
"Curtis Granderson","Mets","157","580","682","150","89","33","2","26","98","70","91","3","151","7","4","0","3","11","6",".259","4747"
"Elvis Andrus","Rangers","160","596","661","154","111","34","2","7","69","62","46","1","78","2","9","8","14","25","9",".258","8709"
"Marcus Semien","Athletics","155","556","601","143","98","23","7","15","65","45","42","1","132","1","1","1","16","11","5",".257","12533"
"Jean Segura","Brewers","142","560","584","144","117","16","5","6","57","50","13","2","93","6","2","3","14","25","6",".257","5933"
"Avisail Garcia","White Sox","148","553","601","142","110","17","2","13","66","59","36","3","141","8","4","0","13","7","7",".257","5760"
"Alcides Escobar","Royals","148","612","662","157","129","20","5","3","76","47","26","1","75","8","5","11","10","17","5",".257","6310"
"Brandon Crawford","Giants","143","507","561","130","72","33","4","21","65","84","39","9","119","11","4","0","18","6","4",".256","5343"
"Gregory Polanco","Pirates","153","593","652","152","102","35","6","9","83","52","55","6","121","1","2","1","5","27","10",".256","12907"
"Kole Calhoun","Angels","159","630","686","161","110","23","2","26","78","83","45","1","164","5","4","2","6","4","1",".256","11200"
"Todd Frazier","Reds","157","619","678","158","79","43","1","35","82","89","44","3","137","7","7","1","19","13","8",".255","785"
"Nick Castellanos","Tigers","154","549","595","140","86","33","6","15","42","73","39","1","152","1","6","0","21","0","3",".255","11737"
"Anthony Gose","Tigers","140","485","535","123","86","24","8","5","73","26","45","0","145","3","0","2","11","23","11",".254","5097"
"Billy Butler","Athletics","151","538","601","135","91","28","1","15","63","65","52","4","101","7","4","0","26","0","0",".251","7399"
"Justin Upton","Padres","150","542","620","136","81","26","3","26","85","81","68","5","159","4","5","0","10","19","5",".251","5222"
"Derek Norris","Padres","147","515","557","129","80","33","2","14","65","62","35","1","131","6","1","0","5","4","1",".250","6867"
"Alex Rodriguez","Yankees","151","523","620","131","75","22","1","33","83","86","84","5","145","6","7","0","17","4","0",".250","1274"
"Jose Bautista","Blue Jays","153","543","666","136","64","29","3","40","108","114","110","2","106","5","8","0","19","8","2",".250","1887"
"Dexter Fowler","Cubs","156","596","690","149","95","29","8","17","102","46","84","1","154","5","3","2","5","20","7",".250","4062"
"Chris Coghlan","Cubs","148","440","503","110","63","25","6","16","64","41","58","6","94","3","1","1","8","11","2",".250","6878"
"Alexei Ramirez","White Sox","154","583","622","145","102","33","0","10","54","62","31","2","68","1","6","1","18","17","7",".249","5133"
"Marlon Byrd","- - -","135","506","544","125","72","25","5","23","58","73","29","2","145","4","5","0","10","2","1",".247","950"
"Aramis Ramirez","- - -","137","475","516","117","68","31","1","17","43","75","31","3","68","5","5","0","23","1","0",".246","1002"
"Evan Gattis","Astros","153","566","604","139","81","20","11","27","66","88","30","3","119","3","5","0","13","0","1",".246","11003"
"Pablo Sandoval","Red Sox","126","470","505","115","79","25","1","10","43","47","25","1","73","7","2","1","14","0","0",".245","5409"
"Trevor Plouffe","Twins","152","573","632","140","79","35","4","22","74","86","50","0","124","4","4","1","28","2","1",".244","7462"
"Albert Pujols","Angels","157","602","661","147","85","22","0","40","85","95","50","10","72","6","3","0","15","5","3",".244","1177"
"Lucas Duda","Mets","135","471","554","115","55","33","0","27","67","73","66","7","138","14","3","0","12","0","2",".244","2502"
"Addison Russell","Cubs","142","475","523","115","72","29","1","13","60","54","42","2","149","3","2","1","8","4","3",".242","14106"
"Russell Martin","Blue Jays","129","441","507","106","58","23","2","23","76","77","53","1","106","8","5","0","22","4","5",".240","4616"
"Torii Hunter","Twins","139","521","567","125","81","22","0","22","67","81","35","1","105","6","5","0","14","2","5",".240","731"
"Jace Peterson","Braves","152","528","597","126","92","23","5","6","55","52","56","4","120","3","3","7","5","12","10",".239","12325"
"Brian Dozier","Twins","157","628","704","148","77","39","4","28","101","77","61","2","148","7","8","0","10","12","4",".236","9810"
"Ian Desmond","Nationals","156","583","641","136","88","27","2","19","69","62","45","0","187","3","4","6","9","13","5",".233","6885"
"Brian McCann","Yankees","135","465","535","108","66","15","1","26","68","94","52","3","97","11","7","0","7","0","0",".232","4810"
"Carlos Santana","Indians","154","550","666","127","77","29","2","19","72","85","108","8","122","3","5","0","20","11","3",".231","2396"
"Wilson Ramos","Nationals","128","475","504","109","78","16","0","15","41","68","21","2","101","0","8","0","16","0","0",".229","1433"
"Ryan Howard","Phillies","129","467","503","107","54","29","1","23","53","77","27","2","138","5","3","0","11","0","0",".229","2154"
"Michael Taylor","Nationals","138","472","511","108","77","15","2","14","49","63","35","9","158","1","2","1","5","16","3",".229","11489"
"Chris Owings","Diamondbacks","147","515","552","117","81","27","5","4","59","43","26","3","144","1","3","7","9","16","4",".227","10030"
"Brandon Moss","- - -","145","469","526","106","61","24","2","19","47","58","49","4","148","5","3","0","12","0","1",".226","4467"
"Jay Bruce","Reds","157","580","649","131","66","35","4","26","72","87","58","8","145","2","9","0","10","9","5",".226","9892"
"Logan Morrison","Mariners","146","457","511","103","68","15","3","17","47","54","47","5","81","4","2","1","7","8","4",".225","9205"
"Jimmy Rollins","Dodgers","144","517","563","116","76","24","3","13","71","41","44","0","86","0","1","1","12","12","8",".224","971"
"Joc Pederson","Dodgers","151","480","585","101","55","19","1","26","67","54","92","6","170","9","2","2","5","4","7",".210","11899"
