"Name","Team","WPA","-WPA","+WPA","RE24","REW","pLI","phLI","PH","WPA/LI","Clutch","playerid"
"Adam Eaton","White Sox","2.42","-11.12","13.54","16.32","1.67","1.02","1.50","2","1.80","0.57","11205"
"Michael Brantley","Indians","2.35","-9.46","11.81","30.23","3.14","0.99","0.65","2","1.79","0.58","4106"
"Alex Rodriguez","Yankees","2.35","-10.35","12.70","28.51","2.96","0.99","1.33","12","3.36","-0.98","1274"
"Yoenis Cespedes","- - -","2.34","-11.17","13.51","35.51","3.66","0.95","2.65","3","3.26","-0.81","13110"
"David Ortiz","Red Sox","2.34","-10.44","12.78","25.84","2.67","0.98","1.27","3","3.56","-1.16","745"
"Brandon Crawford","Giants","2.23","-9.70","11.93","19.17","2.25","1.00","1.95","5","2.04","0.20","5343"
"Jason Heyward","Cardinals","2.21","-10.00","12.22","18.71","2.14","1.05","1.90","8","2.60","-0.50","4940"
"Daniel Murphy","Mets","2.19","-8.56","10.75","17.77","1.92","0.97","1.82","8","1.20","1.05","4316"
"Nolan Arenado","Rockies","2.19","-12.11","14.30","28.36","2.77","0.98","0.44","1","3.16","-0.92","9777"
"Jason Kipnis","Indians","2.17","-9.30","11.46","24.75","2.64","0.93","0.65","3","2.55","-0.21","9776"
"Adam Lind","Brewers","2.16","-9.04","11.20","27.17","2.73","0.96","2.40","14","1.83","0.41","8027"
"Shin-Soo Choo","Rangers","2.12","-9.22","11.34","36.96","3.70","0.92","1.46","4","2.50","-0.19","3174"
"Jose Abreu","White Sox","2.00","-11.55","13.55","38.76","4.02","1.03","","0","2.51","-0.57","15676"
"Justin Upton","Padres","1.99","-10.71","12.70","22.50","2.56","1.00","2.05","4","3.75","-1.76","5222"
"Kole Calhoun","Angels","1.95","-10.94","12.90","10.85","1.33","0.96","1.05","2","0.74","1.30","11200"
"Robinson Cano","Mariners","1.91","-11.96","13.88","17.76","1.90","1.03","1.05","1","1.74","0.11","3269"
"Matt Kemp","Padres","1.89","-11.46","13.36","23.25","2.52","0.98","2.07","2","1.75","0.19","5631"
"Mookie Betts","Red Sox","1.88","-10.58","12.46","29.00","2.87","0.97","2.15","1","2.60","-0.67","13611"
"Dee Gordon","Marlins","1.80","-11.01","12.81","12.31","1.43","1.00","0.70","1","1.14","0.65","8203"
"Jose Altuve","Astros","1.80","-13.21","15.00","15.13","1.66","1.10","","0","1.69","-0.06","5417"
"Xander Bogaerts","Red Sox","1.79","-10.45","12.24","9.14","0.87","0.97","","0","-0.20","2.05","12161"
"Ben Zobrist","- - -","1.67","-8.73","10.40","19.39","2.09","0.97","1.19","4","1.11","0.61","7435"
"Joe Mauer","Twins","1.66","-9.83","11.49","12.89","1.39","0.91","1.24","3","0.30","1.52","1857"
"Lucas Duda","Mets","1.63","-9.52","11.15","15.56","1.80","1.04","1.14","8","2.34","-0.76","2502"
"Yunel Escobar","Nationals","1.44","-9.77","11.21","11.69","1.15","1.00","1.13","2","0.62","0.82","4191"
"Gregory Polanco","Pirates","1.43","-10.83","12.27","4.46","0.53","1.04","1.54","9","0.39","0.99","12907"
"Ryan Braun","Brewers","1.42","-8.87","10.28","28.51","2.94","0.91","2.32","8","1.75","-0.19","3410"
"Yangervis Solarte","Padres","1.40","-9.47","10.87","10.97","1.36","0.95","1.62","23","0.74","0.72","5352"
"Starling Marte","Pirates","1.40","-11.35","12.74","21.20","2.24","1.02","1.09","2","2.33","-0.96","9241"
"Adrian Beltre","Rangers","1.35","-9.92","11.27","7.51","0.59","0.96","","0","0.82","0.59","639"
"Josh Reddick","Athletics","1.32","-10.10","11.42","23.15","2.45","1.02","2.10","13","2.30","-1.01","3892"
"Stephen Vogt","Athletics","1.26","-8.95","10.21","15.85","1.65","1.06","2.00","21","0.68","0.51","5000"
"Francisco Cervelli","Pirates","1.24","-8.13","9.37","7.82","0.96","1.03","2.19","5","0.67","0.53","5275"
"Kolten Wong","Cardinals","1.20","-11.01","12.21","0.81","0.12","1.04","1.00","7","-0.04","1.19","12532"
"Logan Forsythe","Rays","1.18","-11.27","12.45","3.26","0.34","1.12","1.98","4","0.85","0.21","7185"
"Brandon Belt","Giants","1.18","-8.95","10.13","21.07","2.43","0.96","2.08","6","3.11","-1.89","10264"
"Brian McCann","Yankees","1.15","-9.81","10.95","18.67","1.98","1.08","2.10","13","0.38","0.68","4810"
"Manny Machado","Orioles","1.11","-11.87","12.99","21.58","2.25","0.92","","0","3.14","-1.93","11493"
"J.D. Martinez","Tigers","1.08","-11.51","12.59","28.84","3.03","0.98","0.08","1","3.05","-1.95","6184"
"Prince Fielder","Rangers","1.06","-10.40","11.46","20.18","2.04","0.94","4.72","1","1.46","-0.32","4613"
"Dexter Fowler","Cubs","1.00","-11.40","12.40","7.15","0.65","0.97","1.00","6","1.74","-0.71","4062"
"Torii Hunter","Twins","0.94","-9.42","10.37","8.96","0.92","0.93","1.84","4","-0.59","1.60","731"
"Kevin Kiermaier","Rays","0.82","-10.24","11.07","1.94","0.24","1.10","1.16","9","0.56","0.18","11038"
"Ender Inciarte","Diamondbacks","0.81","-9.32","10.13","10.67","1.19","0.98","0.70","11","1.14","-0.31","4922"
"Christian Yelich","Marlins","0.79","-8.59","9.39","7.08","0.79","0.98","0.60","3","1.10","-0.28","11477"
"Charlie Blackmon","Rockies","0.79","-11.50","12.28","10.43","0.98","0.95","1.36","4","0.59","0.23","7859"
"Brett Gardner","Yankees","0.78","-10.11","10.89","20.83","2.12","0.95","1.72","5","0.85","-0.03","9927"
"Michael Taylor","Nationals","0.67","-8.26","8.93","2.00","0.12","0.96","0.89","6","-1.11","1.81","11489"
"Albert Pujols","Angels","0.67","-11.57","12.23","9.88","1.06","0.98","","0","2.31","-1.63","1177"
"Nick Markakis","Braves","0.64","-10.36","10.99","13.04","1.35","0.93","","0","1.35","-0.67","5930"
"Ben Revere","- - -","0.59","-10.15","10.73","8.83","1.01","0.97","0.63","8","0.71","-0.10","4712"
"Billy Burns","Athletics","0.58","-10.01","10.59","5.15","0.60","1.10","1.25","4","-0.04","0.57","12701"
"Mike Moustakas","Royals","0.55","-10.70","11.25","21.16","2.20","0.99","2.54","4","2.24","-1.68","4892"
"Derek Norris","Padres","0.48","-9.44","9.92","7.08","0.86","0.98","1.54","14","0.01","0.48","6867"
"Neil Walker","Pirates","0.47","-10.02","10.49","10.44","1.01","1.00","1.45","15","0.96","-0.50","7539"
"Carlos Beltran","Yankees","0.42","-9.60","10.01","0.12","0.02","1.01","2.21","4","0.87","-0.46","589"
"Evan Longoria","Rays","0.39","-12.02","12.40","7.62","0.71","1.07","1.85","1","0.77","-0.40","9368"
"Brian Dozier","Twins","0.37","-12.14","12.50","0.49","0.05","0.96","","0","-0.01","0.39","9810"
"Ian Kinsler","Tigers","0.33","-11.80","12.13","-1.80","-0.22","1.01","0.73","1","0.37","-0.04","6195"
"Austin Jackson","- - -","0.33","-9.04","9.37","-0.70","-0.08","1.00","0.83","16","-0.99","1.32","9848"
"Joc Pederson","Dodgers","0.31","-9.05","9.36","5.58","0.55","0.90","1.09","9","1.64","-1.30","11899"
"Chris Coghlan","Cubs","0.23","-8.17","8.39","4.43","0.43","0.96","1.10","26","0.41","-0.17","6878"
"DJ LeMahieu","Rockies","0.20","-10.58","10.78","2.07","0.33","0.98","2.18","1","0.17","0.03","9874"
"Jhonny Peralta","Cardinals","0.16","-12.68","12.85","-1.89","-0.13","1.11","1.22","6","0.58","-0.43","1738"
"Trevor Plouffe","Twins","0.14","-11.53","11.67","9.68","1.05","0.99","","0","-0.14","0.29","7462"
"Brett Lawrie","Athletics","-0.01","-10.49","10.48","-1.15","-0.12","1.06","1.25","1","-0.76","0.75","5247"
"Brandon Phillips","Reds","-0.07","-11.12","11.05","5.39","0.66","1.03","1.44","7","0.31","-0.38","791"
"Logan Morrison","Mariners","-0.16","-9.14","8.98","-0.25","-0.07","1.05","0.94","11","-0.62","0.47","9205"
"Todd Frazier","Reds","-0.17","-13.81","13.64","3.34","0.30","1.11","1.75","2","1.26","-1.41","785"
"Troy Tulowitzki","- - -","-0.22","-9.30","9.09","-0.55","-0.16","0.96","2.35","7","0.22","-0.44","3531"
"Jose Reyes","- - -","-0.29","-8.97","8.68","-1.33","-0.21","0.99","","0","-0.72","0.42","1736"
"Odubel Herrera","Phillies","-0.30","-9.09","8.79","6.68","0.63","0.95","1.27","16","0.57","-0.88","11476"
"Carlos Santana","Indians","-0.31","-11.05","10.74","5.40","0.60","0.97","0.44","1","0.37","-0.69","2396"
"Avisail Garcia","White Sox","-0.36","-11.37","11.01","-15.06","-1.55","1.08","2.20","2","-1.64","1.31","5760"
"Ryan Howard","Phillies","-0.37","-10.03","9.66","2.47","0.29","1.06","1.52","11","-0.10","-0.25","2154"
"Russell Martin","Blue Jays","-0.39","-8.75","8.36","11.43","1.18","0.91","2.91","9","0.50","-0.93","4616"
"Wilmer Flores","Mets","-0.40","-9.92","9.51","-4.39","-0.58","1.05","1.74","4","0.01","-0.40","5827"
"Kyle Seager","Mariners","-0.43","-13.13","12.70","4.34","0.44","1.04","0.44","1","0.81","-1.22","9785"
"Adam Jones","Orioles","-0.47","-10.77","10.30","5.09","0.45","1.00","","0","0.71","-1.18","6368"
"Salvador Perez","Royals","-0.57","-9.61","9.05","-9.54","-0.98","0.92","1.83","1","0.01","-0.63","7304"
"Evan Gattis","Astros","-0.58","-11.99","11.42","3.83","0.34","1.05","1.61","6","1.02","-1.57","11003"
"Angel Pagan","Giants","-0.62","-9.34","8.73","-16.92","-1.87","0.98","2.25","10","-1.88","1.26","2918"
"Nick Castellanos","Tigers","-0.64","-10.26","9.62","-4.53","-0.48","0.93","1.03","3","-0.98","0.29","11737"
"Marlon Byrd","- - -","-0.65","-11.01","10.35","4.63","0.66","1.12","2.18","4","0.91","-1.49","950"
"Kevin Pillar","Blue Jays","-0.66","-9.81","9.15","-5.77","-0.57","0.88","0.49","1","-0.86","0.11","12434"
"Freddy Galvis","Phillies","-0.66","-10.85","10.19","-10.40","-1.03","1.02","0.67","2","-1.32","0.67","6609"
"Cameron Maybin","Braves","-0.69","-10.01","9.32","1.04","0.20","0.97","0.48","2","0.05","-0.76","5223"
"Anthony Gose","Tigers","-0.73","-9.45","8.72","-13.68","-1.44","0.96","1.74","3","-0.75","-0.01","5097"
"Elvis Andrus","Rangers","-0.76","-11.27","10.51","-16.35","-1.66","0.95","","0","-1.38","0.58","8709"
"Chase Headley","Yankees","-0.88","-11.59","10.71","-4.91","-0.50","0.99","2.64","5","-1.14","0.25","4720"
"Mark Trumbo","- - -","-0.92","-10.47","9.55","-2.45","-0.26","1.02","1.44","10","0.56","-1.46","6876"
"Gerardo Parra","- - -","-0.98","-10.15","9.17","3.10","0.34","0.97","1.52","21","0.17","-1.18","8553"
"Jace Peterson","Braves","-0.98","-10.44","9.46","-8.17","-0.75","1.03","0.87","11","-1.95","0.99","12325"
"Asdrubal Cabrera","Rays","-0.98","-11.10","10.11","-11.99","-1.23","1.08","2.65","8","-0.29","-0.62","4962"
"Starlin Castro","Cubs","-1.08","-11.49","10.41","-11.27","-1.09","1.08","1.27","14","-0.53","-0.48","4579"
"Brock Holt","Red Sox","-1.18","-8.28","7.11","3.66","0.34","0.93","1.50","6","0.28","-1.54","9345"
"Addison Russell","Cubs","-1.21","-9.76","8.55","-10.15","-1.16","0.98","1.63","1","-0.68","-0.55","14106"
"Pablo Sandoval","Red Sox","-1.33","-8.47","7.14","-15.50","-1.63","0.94","2.30","4","-1.77","0.36","5409"
"Wilson Ramos","Nationals","-1.44","-9.65","8.21","-14.50","-1.50","1.00","2.75","3","-0.97","-0.46","1433"
"Aramis Ramirez","- - -","-1.45","-9.93","8.48","-1.21","-0.17","1.02","1.90","11","-0.25","-1.16","1002"
"Melky Cabrera","White Sox","-1.47","-12.87","11.40","-2.16","-0.21","1.07","","0","-0.97","-0.41","4022"
"Andrelton Simmons","Braves","-1.48","-10.45","8.97","-16.97","-1.73","1.02","0.30","1","-1.13","-0.32","10847"
"Billy Butler","Athletics","-1.49","-11.17","9.68","4.03","0.56","1.00","1.32","8","-0.34","-1.14","7399"
"Brandon Moss","- - -","-1.67","-10.33","8.66","-24.25","-2.53","1.04","0.98","19","-1.06","-0.54","4467"
"Ian Desmond","Nationals","-1.77","-12.25","10.49","-5.23","-0.52","1.03","1.42","1","-0.28","-1.43","6885"
"Erick Aybar","Angels","-1.78","-10.69","8.91","-10.38","-1.12","0.97","2.00","2","-1.67","-0.16","4082"
"Yadier Molina","Cardinals","-2.19","-11.48","9.29","-11.50","-1.24","1.13","1.94","3","-1.67","-0.27","7007"
"Alexei Ramirez","White Sox","-2.40","-12.92","10.52","-17.19","-1.76","1.11","0.30","2","-2.05","-0.11","5133"
"Jimmy Rollins","Dodgers","-2.46","-10.50","8.04","-26.42","-2.90","0.99","1.57","13","-1.65","-0.85","971"
"Alcides Escobar","Royals","-2.88","-11.56","8.67","-27.09","-2.84","0.93","","0","-3.08","-0.01","6310"
"Jay Bruce","Reds","-3.25","-13.65","10.41","-14.39","-1.61","1.10","1.07","5","-1.22","-1.72","9892"
"Didi Gregorius","Yankees","-3.25","-10.18","6.94","-8.83","-0.97","0.96","1.35","4","-1.66","-1.73","6012"
"Jean Segura","Brewers","-3.28","-11.08","7.81","-21.45","-2.19","0.95","1.25","3","-2.53","-0.92","5933"
"Chris Owings","Diamondbacks","-3.56","-10.94","7.38","-26.05","-2.78","1.02","0.61","10","-2.82","-0.67","10030"
"Marcus Semien","Athletics","-4.13","-13.24","9.11","-25.26","-2.70","1.09","1.86","8","-1.24","-2.55","12533"
