Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,BB%,K%,BB/K,BABIP,HBP,SF,SH,GDP,SB,CS,Def,ISO,wOBA,wRAA,AVG,OBP,SLG,OPS,WAR,wRC+,WPA
Anthony Rizzo,Cubs,160,586,701,163,91,38,3,31,94,101,78,9,105,11.1,15.0,0.74,0.289,30,7,0,9,17,6,-8.9,0.23399999999999999,0.384,39.6,0.278,0.387,0.512,0.899,5.4,145,7.15
Kevin Kiermaier,Rays,151,505,535,133,86,25,12,10,62,40,24,0,95,4.5,17.8,0.25,0.306,2,2,2,7,18,5,32.0,0.156,0.309,-1.7,0.263,0.298,0.42,0.718,5.4,97,0.82
Matt Carpenter,Cardinals,154,574,665,156,81,44,3,28,101,84,81,5,151,12.2,22.7,0.54,0.321,6,4,0,5,4,3,-3.5,0.233,0.37200000000000005,31.4,0.272,0.365,0.505,0.871,5.2,139,5.29
Curtis Granderson,Mets,157,580,682,150,89,33,2,26,98,70,91,3,151,13.3,22.1,0.6,0.305,7,4,0,3,11,6,-0.7,0.198,0.35700000000000004,23.7,0.259,0.364,0.457,0.821,5.1,131,3.94
J.D. Martinez,Tigers,158,596,657,168,95,33,2,38,93,102,53,7,178,8.1,27.1,0.3,0.33899999999999997,5,3,0,11,3,2,-0.1,0.253,0.37200000000000005,31.0,0.282,0.344,0.535,0.879,5.0,136,1.08
Jason Kipnis,Indians,141,565,641,171,112,43,7,9,86,52,57,6,107,8.9,16.7,0.53,0.35600000000000004,9,6,4,5,12,8,4.5,0.149,0.355,21.3,0.303,0.37200000000000005,0.451,0.823,4.9,124,2.17
Mookie Betts,Red Sox,145,597,654,174,106,42,8,18,92,77,46,1,82,7.0,12.5,0.56,0.31,2,6,3,2,21,6,1.3,0.188,0.35100000000000003,20.0,0.29100000000000004,0.341,0.479,0.82,4.9,120,1.88
Dee Gordon,Marlins,145,615,653,205,169,24,8,4,88,46,25,2,91,3.8,13.9,0.27,0.38299999999999995,2,5,6,6,58,20,8.6,0.085,0.337,12.3,0.33299999999999996,0.359,0.418,0.7759999999999999,4.8,116,1.8
Nelson Cruz,Mariners,152,590,655,178,111,22,1,44,90,93,59,9,164,9.0,25.0,0.36,0.35,5,1,0,6,3,2,-17.6,0.264,0.396,43.3,0.302,0.369,0.5660000000000001,0.9359999999999999,4.8,158,4.1
Adrian Beltre,Rangers,143,567,619,163,109,32,4,18,83,83,41,4,65,6.6,10.5,0.63,0.295,3,8,0,18,1,0,13.8,0.166,0.337,11.8,0.287,0.33399999999999996,0.45299999999999996,0.7879999999999999,4.7,109,1.35
Matt Duffy,Giants,149,573,612,169,123,28,6,12,77,77,30,0,96,4.9,15.7,0.31,0.336,5,2,2,22,12,0,11.5,0.133,0.331,8.8,0.295,0.33399999999999996,0.428,0.762,4.7,113,2.48
Nolan Arenado,Rockies,157,616,665,177,88,43,4,42,97,130,34,13,110,5.1,16.5,0.31,0.284,4,11,0,17,2,5,7.6,0.287,0.371,30.8,0.287,0.32299999999999995,0.575,0.898,4.7,121,2.19
Jose Altuve,Astros,154,638,689,200,141,40,4,15,86,66,33,8,67,4.8,9.7,0.49,0.32899999999999996,9,6,3,17,38,13,5.4,0.146,0.34700000000000003,18.7,0.313,0.353,0.45899999999999996,0.812,4.6,124,1.8
Edwin Encarnacion,Blue Jays,146,528,624,146,76,31,0,39,94,111,77,5,98,12.3,15.7,0.79,0.267,9,10,0,14,3,2,-11.7,0.28,0.392,39.0,0.27699999999999997,0.37200000000000005,0.557,0.929,4.5,150,3.46
Todd Frazier,Reds,157,619,678,158,79,43,1,35,82,89,44,3,137,6.5,20.2,0.32,0.271,7,7,1,19,13,8,9.6,0.242,0.342,15.7,0.255,0.309,0.498,0.8059999999999999,4.5,116,-0.17
Jose Bautista,Blue Jays,153,543,666,136,64,29,3,40,108,114,110,2,106,16.5,15.9,1.04,0.237,5,8,0,19,8,2,-18.9,0.285,0.389,40.1,0.25,0.377,0.536,0.9129999999999999,4.5,148,3.71
Brandon Crawford,Giants,143,507,561,130,72,33,4,21,65,84,39,9,119,7.0,21.2,0.33,0.294,11,4,0,18,6,4,17.1,0.205,0.332,8.3,0.256,0.321,0.462,0.782,4.5,113,2.23
Xander Bogaerts,Red Sox,156,613,654,196,151,35,3,7,84,81,32,1,101,4.9,15.4,0.32,0.37200000000000005,3,3,3,16,10,2,8.0,0.10099999999999999,0.33799999999999997,12.9,0.32,0.355,0.42100000000000004,0.7759999999999999,4.4,111,1.79
Kevin Pillar,Blue Jays,159,586,628,163,118,31,2,12,76,56,28,1,85,4.5,13.5,0.33,0.306,5,5,4,9,25,4,16.6,0.121,0.31,-1.7,0.278,0.314,0.39899999999999997,0.713,4.3,94,-0.66
Miguel Cabrera,Tigers,119,429,511,145,98,28,1,18,64,76,77,15,82,15.1,16.0,0.94,0.384,3,2,0,19,1,1,-9.2,0.196,0.413,40.9,0.33799999999999997,0.44,0.534,0.9740000000000001,4.3,164,4.46
Ian Kinsler,Tigers,154,624,675,185,132,35,7,11,94,73,43,0,80,6.4,11.9,0.54,0.32299999999999995,3,5,0,13,10,6,8.4,0.131,0.335,11.5,0.29600000000000004,0.342,0.428,0.77,4.1,110,0.33
Evan Longoria,Rays,160,604,670,163,106,35,1,21,74,73,51,8,132,7.6,19.7,0.39,0.309,6,9,0,11,3,1,8.1,0.166,0.327,7.1,0.27,0.32799999999999996,0.435,0.764,4.1,109,0.39
Brandon Belt,Giants,137,492,556,138,82,33,5,18,73,68,56,2,147,10.1,26.4,0.38,0.363,4,4,0,3,9,3,-1.2,0.19699999999999998,0.359,20.3,0.28,0.35600000000000004,0.478,0.8340000000000001,4.1,132,1.18
Logan Forsythe,Rays,153,540,615,152,100,33,2,17,69,68,55,2,111,8.9,18.0,0.5,0.32299999999999995,14,6,0,12,9,4,1.8,0.163,0.35,17.9,0.281,0.359,0.444,0.804,4.0,125,1.18
Odubel Herrera,Phillies,147,495,537,147,106,30,3,8,64,41,28,0,129,5.2,24.0,0.22,0.387,8,1,5,6,16,8,11.7,0.121,0.33299999999999996,8.6,0.297,0.344,0.418,0.762,3.9,111,-0.3
Kyle Seager,Mariners,161,623,686,166,103,37,0,26,85,74,54,6,98,7.9,14.3,0.55,0.278,5,4,0,17,6,6,5.0,0.185,0.335,11.7,0.266,0.32799999999999996,0.451,0.779,3.9,115,-0.43
Adam Eaton,White Sox,153,610,689,175,124,28,9,14,98,56,58,2,131,8.4,19.0,0.44,0.345,14,2,5,5,18,8,-8.8,0.14400000000000002,0.34600000000000003,18.2,0.287,0.361,0.431,0.792,3.8,121,2.42
Adam Jones,Orioles,137,546,581,147,92,25,3,27,74,82,24,3,102,4.1,17.6,0.24,0.28600000000000003,8,3,0,21,3,1,8.8,0.205,0.33399999999999996,9.7,0.26899999999999996,0.308,0.474,0.782,3.7,111,-0.47
Mike Moustakas,Royals,147,549,614,156,99,34,1,22,73,82,43,1,76,7.0,12.4,0.57,0.294,13,5,4,14,1,2,3.7,0.18600000000000003,0.353,19.6,0.284,0.348,0.47,0.8170000000000001,3.7,123,0.55
Francisco Cervelli,Pirates,130,451,510,133,104,17,5,7,56,43,46,1,94,9.0,18.4,0.49,0.359,8,1,4,12,1,1,9.3,0.106,0.341,11.2,0.295,0.37,0.401,0.7709999999999999,3.7,117,1.24
Kole Calhoun,Angels,159,630,686,161,110,23,2,26,78,83,45,1,164,6.6,23.9,0.27,0.304,5,4,2,6,4,1,6.6,0.16699999999999998,0.317,2.1,0.256,0.308,0.42200000000000004,0.731,3.7,103,1.95
David Peralta,Diamondbacks,149,462,517,144,91,26,10,17,61,78,44,2,107,8.5,20.7,0.41,0.368,4,7,0,7,9,4,-7.7,0.21,0.38,27.5,0.312,0.371,0.522,0.893,3.7,137,3.25
Michael Brantley,Indians,137,529,596,164,104,45,0,15,68,84,60,8,51,10.1,8.6,1.18,0.318,2,5,0,14,15,1,-9.1,0.17,0.368,26.0,0.31,0.379,0.48,0.8590000000000001,3.6,133,2.35
Shin-Soo Choo,Rangers,149,555,653,153,96,32,3,22,94,82,76,1,147,11.6,22.5,0.52,0.335,15,5,2,7,4,2,-10.5,0.187,0.365,27.0,0.276,0.375,0.46299999999999997,0.838,3.6,128,2.12
Justin Upton,Padres,150,542,620,136,81,26,3,26,85,81,68,5,159,11.0,25.6,0.43,0.304,4,5,0,10,19,5,-4.6,0.203,0.34,13.2,0.251,0.336,0.45399999999999996,0.79,3.5,119,1.99
Russell Martin,Blue Jays,129,441,507,106,58,23,2,23,76,77,53,1,106,10.5,20.9,0.5,0.262,8,5,0,22,4,5,12.2,0.218,0.34,10.9,0.24,0.32899999999999996,0.45799999999999996,0.787,3.5,115,-0.39
Eric Hosmer,Royals,158,599,667,178,122,33,5,18,98,93,61,6,108,9.1,16.2,0.56,0.336,3,3,1,16,7,3,-11.0,0.162,0.355,22.0,0.297,0.363,0.45899999999999996,0.8220000000000001,3.5,124,3.91
Starling Marte,Pirates,153,579,633,166,115,30,2,19,84,81,27,3,123,4.3,19.4,0.22,0.33299999999999996,19,5,3,14,30,10,2.8,0.157,0.337,12.2,0.287,0.337,0.444,0.78,3.4,115,1.4
Martin Prado,Marlins,129,500,551,144,111,22,2,9,52,63,37,4,68,6.7,12.3,0.54,0.313,5,8,1,9,1,0,12.5,0.106,0.318,2.0,0.28800000000000003,0.33799999999999997,0.39399999999999996,0.732,3.3,102,2.59
Brian Dozier,Twins,157,628,704,148,77,39,4,28,101,77,61,2,148,8.7,21.0,0.41,0.261,7,8,0,10,12,4,3.7,0.209,0.32299999999999995,5.4,0.23600000000000002,0.307,0.444,0.7509999999999999,3.3,102,0.37
Chris Coghlan,Cubs,148,440,503,110,63,25,6,16,64,41,58,6,94,11.5,18.7,0.62,0.284,3,1,1,8,11,2,4.2,0.193,0.337,9.7,0.25,0.341,0.44299999999999995,0.784,3.2,113,0.23
Ender Inciarte,Diamondbacks,132,524,561,159,121,27,5,6,73,45,26,0,58,4.6,10.3,0.45,0.32899999999999996,4,5,2,8,21,10,10.0,0.105,0.325,5.2,0.303,0.33799999999999997,0.408,0.747,3.2,100,0.81
Jose Abreu,White Sox,154,613,668,178,111,34,3,30,88,101,39,11,140,5.8,21.0,0.28,0.33299999999999996,15,1,0,16,0,0,-14.8,0.212,0.361,25.6,0.29,0.34700000000000003,0.502,0.85,3.2,131,2.0
Dexter Fowler,Cubs,156,596,690,149,95,29,8,17,102,46,84,1,154,12.2,22.3,0.55,0.308,5,3,2,5,20,7,0.6,0.161,0.33299999999999996,10.8,0.25,0.34600000000000003,0.41100000000000003,0.757,3.2,109,1.0
Andrelton Simmons,Braves,147,535,583,142,113,23,2,4,60,44,39,6,48,6.7,8.2,0.81,0.285,6,2,1,19,5,3,23.9,0.073,0.29,-11.0,0.265,0.321,0.33799999999999997,0.66,3.2,81,-1.48
Didi Gregorius,Yankees,155,525,578,139,104,24,2,9,57,56,33,0,85,5.7,14.7,0.39,0.297,11,6,3,4,5,3,14.2,0.105,0.303,-4.8,0.265,0.318,0.37,0.688,3.1,89,-3.25
Adrian Gonzalez,Dodgers,156,571,643,157,96,33,0,28,76,90,62,10,107,9.6,16.6,0.58,0.294,6,3,0,21,0,1,-7.5,0.205,0.354,21.1,0.275,0.35,0.48,0.83,3.0,129,3.74
Lucas Duda,Mets,135,471,554,115,55,33,0,27,67,73,66,7,138,11.9,24.9,0.48,0.285,14,3,0,12,0,2,-10.0,0.242,0.359,20.2,0.244,0.35200000000000004,0.486,0.838,3.0,132,1.63
Brian McCann,Yankees,135,465,535,108,66,15,1,26,68,94,52,3,97,9.7,18.1,0.54,0.235,11,7,0,7,0,0,10.2,0.204,0.327,5.8,0.23199999999999998,0.32,0.43700000000000006,0.7559999999999999,3.0,106,1.15
Ryan Braun,Brewers,140,506,568,144,89,27,3,25,87,84,54,4,115,9.5,20.2,0.47,0.322,4,3,0,20,24,4,-12.2,0.213,0.366,23.9,0.285,0.35600000000000004,0.498,0.8540000000000001,2.9,131,1.42
Addison Russell,Cubs,142,475,523,115,72,29,1,13,60,54,42,2,149,8.0,28.5,0.28,0.324,3,2,1,8,4,3,17.1,0.147,0.304,-4.0,0.242,0.307,0.389,0.696,2.9,90,-1.21
David Ortiz,Red Sox,146,528,614,144,70,37,0,37,73,108,77,16,95,12.5,15.5,0.81,0.264,0,9,0,16,0,1,-15.2,0.28,0.379,32.1,0.273,0.36,0.5529999999999999,0.9129999999999999,2.9,139,2.34
Josh Reddick,Athletics,149,526,582,143,94,25,4,20,67,77,49,1,65,8.4,11.2,0.75,0.278,0,2,1,7,10,2,-8.0,0.177,0.33799999999999997,11.7,0.272,0.33299999999999996,0.449,0.7809999999999999,2.9,116,1.32
Joc Pederson,Dodgers,151,480,585,101,55,19,1,26,67,54,92,6,170,15.7,29.1,0.54,0.262,9,2,2,5,4,7,-1.8,0.20600000000000002,0.335,10.1,0.21,0.34600000000000003,0.41700000000000004,0.763,2.9,116,0.31
Brandon Phillips,Reds,148,588,623,173,140,19,2,12,69,70,27,1,68,4.3,10.9,0.4,0.315,4,3,1,13,23,3,4.1,0.1,0.315,1.1,0.294,0.32799999999999996,0.395,0.723,2.7,97,-0.07
Alex Rodriguez,Yankees,151,523,620,131,75,22,1,33,83,86,84,5,145,13.5,23.4,0.58,0.278,6,7,0,17,4,0,-15.2,0.235,0.361,23.7,0.25,0.35600000000000004,0.486,0.8420000000000001,2.7,129,2.35
Brett Gardner,Yankees,151,571,656,148,103,26,3,16,94,66,68,1,135,10.4,20.6,0.5,0.312,6,3,8,8,20,5,-7.0,0.14,0.327,7.2,0.259,0.34299999999999997,0.39899999999999997,0.742,2.6,106,0.78
Carlos Gonzalez,Rockies,153,554,608,150,83,25,2,40,87,97,46,6,133,7.6,21.9,0.35,0.284,1,6,1,11,2,0,-8.1,0.26899999999999996,0.364,24.5,0.271,0.325,0.54,0.8640000000000001,2.5,116,3.72
Daniel Murphy,Mets,130,499,538,140,86,38,2,14,56,73,31,10,38,5.8,7.1,0.82,0.278,2,6,0,15,2,2,1.0,0.168,0.325,5.0,0.281,0.322,0.449,0.77,2.5,109,2.19
Brock Holt,Red Sox,129,454,509,127,92,27,6,2,56,45,46,0,97,9.0,19.1,0.47,0.35,3,2,4,7,8,1,2.5,0.099,0.322,3.4,0.28,0.349,0.379,0.727,2.5,99,-1.18
Christian Yelich,Marlins,126,476,525,143,104,30,2,7,63,44,47,2,101,9.0,19.2,0.47,0.37,2,0,0,13,16,5,-7.3,0.11599999999999999,0.34299999999999997,12.4,0.3,0.366,0.41600000000000004,0.782,2.4,120,0.79
Derek Norris,Padres,147,515,557,129,80,33,2,14,65,62,35,1,131,6.3,23.5,0.27,0.31,6,1,0,5,4,1,7.7,0.153,0.309,-2.0,0.25,0.305,0.40399999999999997,0.7090000000000001,2.4,98,0.48
Troy Tulowitzki,Rockies,128,486,534,136,92,27,0,17,77,70,38,5,114,7.1,21.3,0.33,0.331,6,4,0,17,1,0,9.1,0.16,0.335,9.2,0.28,0.337,0.44,0.777,2.4,101,-0.22
Trevor Plouffe,Twins,152,573,632,140,79,35,4,22,74,86,50,0,124,7.9,19.6,0.4,0.27399999999999997,4,4,1,28,2,1,3.5,0.19,0.321,4.0,0.244,0.307,0.435,0.742,2.4,100,0.14
Kolten Wong,Cardinals,150,557,613,146,103,28,4,11,71,61,36,2,95,5.9,15.5,0.38,0.29600000000000004,15,5,0,10,15,8,2.6,0.124,0.31,-1.8,0.262,0.321,0.386,0.7070000000000001,2.4,96,1.2
Adam Lind,Brewers,149,502,572,139,87,32,0,20,72,87,66,11,100,11.5,17.5,0.66,0.309,1,3,0,7,0,0,-6.3,0.183,0.35100000000000003,17.0,0.27699999999999997,0.36,0.46,0.82,2.3,120,2.16
Austin Jackson,White Sox,136,491,527,131,94,25,3,9,56,48,29,0,126,5.5,23.9,0.23,0.342,3,1,3,5,17,10,8.3,0.11800000000000001,0.305,-3.6,0.267,0.311,0.385,0.696,2.3,94,0.33
Billy Burns,Athletics,125,520,555,153,121,18,9,5,70,42,26,1,81,4.7,14.6,0.32,0.33899999999999997,6,2,1,5,26,8,-3.4,0.098,0.317,1.7,0.294,0.33399999999999996,0.392,0.726,2.3,102,0.58
Charlie Blackmon,Rockies,157,614,682,176,119,31,9,17,93,58,46,2,112,6.7,16.4,0.41,0.325,13,4,5,4,43,13,-5.7,0.163,0.345,17.3,0.287,0.34700000000000003,0.45,0.797,2.3,103,0.79
Neil Walker,Pirates,151,543,603,146,95,32,3,16,69,71,44,5,110,7.3,18.2,0.4,0.306,8,8,0,9,4,1,-4.7,0.158,0.325,5.6,0.26899999999999996,0.32799999999999996,0.42700000000000005,0.7559999999999999,2.2,106,0.47
Stephen Vogt,Athletics,136,445,511,116,74,21,3,18,58,71,56,6,97,11.0,19.0,0.58,0.29,2,8,0,9,0,2,0.4,0.182,0.335,9.0,0.261,0.341,0.44299999999999995,0.7829999999999999,2.2,114,1.26
Mitch Moreland,Rangers,132,471,515,131,81,27,0,23,51,85,32,2,112,6.2,21.7,0.29,0.317,7,5,0,9,1,0,-4.9,0.204,0.348,14.2,0.278,0.33,0.48200000000000004,0.812,2.2,117,3.55
Asdrubal Cabrera,Rays,143,505,551,134,86,28,5,15,66,58,36,4,107,6.5,19.4,0.34,0.306,3,6,1,14,6,3,-0.5,0.16399999999999998,0.319,2.4,0.265,0.315,0.43,0.7440000000000001,2.1,104,-0.98
Carlos Santana,Indians,154,550,666,127,77,29,2,19,72,85,108,8,122,16.2,18.3,0.89,0.261,3,5,0,20,11,3,-8.3,0.16399999999999998,0.331,9.3,0.231,0.35700000000000004,0.395,0.752,2.1,107,-0.31
Gregory Polanco,Pirates,153,593,652,152,102,35,6,9,83,52,55,6,121,8.4,18.6,0.45,0.308,1,2,1,5,27,10,0.3,0.125,0.304,-4.6,0.256,0.32,0.381,0.701,2.1,92,1.43
Robinson Cano,Mariners,156,624,674,179,123,34,1,21,82,79,43,5,107,6.4,15.9,0.4,0.316,3,4,0,26,2,6,-6.3,0.159,0.335,11.9,0.287,0.33399999999999996,0.446,0.779,2.1,116,1.91
Yunel Escobar,Nationals,139,535,591,168,133,25,1,9,75,56,45,0,70,7.6,11.8,0.64,0.34700000000000003,8,2,1,24,2,2,-6.1,0.10099999999999999,0.348,16.5,0.314,0.375,0.415,0.79,2.1,120,1.44
Kendrys Morales,Royals,158,569,639,165,100,41,2,22,81,106,58,4,103,9.1,16.1,0.56,0.319,8,4,0,24,0,0,-16.2,0.195,0.364,25.9,0.29,0.36200000000000004,0.485,0.847,2.0,131,2.72
DJ LeMahieu,Rockies,150,564,620,170,138,21,5,6,85,61,50,4,107,8.1,17.3,0.47,0.36200000000000004,1,2,3,20,23,3,2.8,0.087,0.327,7.0,0.301,0.358,0.38799999999999996,0.746,2.0,91,0.2
Ben Zobrist,Cubs,126,467,535,129,77,36,3,13,76,56,62,3,56,11.6,10.5,1.11,0.28800000000000003,1,5,0,8,3,4,-11.5,0.17300000000000001,0.349,15.5,0.276,0.359,0.45,0.809,2.0,122,1.67
Carlos Beltran,Yankees,133,478,531,132,78,34,1,19,57,67,45,2,85,8.5,16.0,0.53,0.297,2,6,0,12,0,0,-10.4,0.195,0.34600000000000003,14.1,0.276,0.337,0.47100000000000003,0.8079999999999999,1.9,119,0.42
Ben Revere,Blue Jays,152,592,634,181,150,22,7,2,84,45,32,0,64,5.0,10.1,0.5,0.33799999999999997,2,3,5,5,31,7,-8.7,0.071,0.316,1.2,0.306,0.342,0.377,0.7190000000000001,1.9,98,0.59
Albert Pujols,Angels,157,602,661,147,85,22,0,40,85,95,50,10,72,7.6,10.9,0.69,0.217,6,3,0,15,5,3,-10.2,0.23600000000000002,0.33299999999999996,10.6,0.244,0.307,0.48,0.787,1.8,114,0.67
Wilmer Flores,Mets,137,483,510,127,89,22,0,16,55,59,19,2,63,3.7,12.4,0.3,0.273,4,2,2,12,0,1,4.3,0.145,0.304,-3.9,0.263,0.295,0.408,0.703,1.8,95,-0.4
Jhonny Peralta,Cardinals,155,579,640,159,115,26,1,17,64,71,50,6,111,7.8,17.3,0.45,0.311,5,6,0,23,1,4,-0.8,0.136,0.32299999999999995,4.8,0.275,0.33399999999999996,0.41100000000000003,0.745,1.8,105,0.16
Prince Fielder,Rangers,158,613,693,187,136,28,0,23,78,98,64,14,88,9.2,12.7,0.73,0.32299999999999995,11,5,0,21,0,0,-20.0,0.158,0.36,26.1,0.305,0.37799999999999995,0.46299999999999997,0.841,1.7,125,1.06
Ian Desmond,Nationals,156,583,641,136,88,27,2,19,69,62,45,0,187,7.0,29.2,0.24,0.307,3,4,6,9,13,5,3.3,0.151,0.294,-9.6,0.233,0.29,0.384,0.674,1.7,83,-1.77
Elvis Andrus,Rangers,160,596,661,154,111,34,2,7,69,62,46,1,78,7.0,11.8,0.59,0.28300000000000003,2,9,8,14,25,9,7.1,0.099,0.292,-11.1,0.258,0.309,0.35700000000000004,0.667,1.7,78,-0.76
Marcus Semien,Athletics,155,556,601,143,98,23,7,15,65,45,42,1,132,7.0,22.0,0.32,0.312,1,1,1,16,11,5,-3.3,0.147,0.311,-1.1,0.257,0.31,0.405,0.715,1.6,97,-4.13
Yangervis Solarte,Padres,152,526,571,142,91,33,4,14,63,63,34,0,56,6.0,9.8,0.61,0.27899999999999997,6,3,2,15,1,0,-3.9,0.158,0.324,5.1,0.27,0.32,0.428,0.748,1.6,109,1.4
Salvador Perez,Royals,142,531,553,138,92,25,0,21,52,70,13,4,82,2.4,14.8,0.16,0.27,4,5,0,23,1,0,12.0,0.166,0.3,-5.7,0.26,0.28,0.426,0.706,1.6,87,-0.57
Chase Headley,Yankees,156,580,642,150,109,29,1,11,74,62,51,0,135,7.9,21.0,0.38,0.317,7,4,0,17,0,2,-0.8,0.11,0.307,-3.4,0.259,0.324,0.369,0.693,1.5,92,-0.88
Alcides Escobar,Royals,148,612,662,157,129,20,5,3,76,47,26,1,75,3.9,11.3,0.35,0.28600000000000003,8,5,11,10,17,5,13.9,0.064,0.271,-22.6,0.257,0.293,0.32,0.614,1.5,66,-2.88
Nick Markakis,Braves,156,612,686,181,139,38,1,3,73,53,70,11,83,10.2,12.1,0.84,0.33799999999999997,3,1,0,17,2,1,-10.8,0.08,0.327,7.5,0.29600000000000004,0.37,0.376,0.746,1.5,106,0.64
Yadier Molina,Cardinals,136,488,530,132,103,23,2,4,34,61,32,3,59,6.0,11.1,0.54,0.295,0,9,1,16,3,1,10.7,0.08,0.287,-11.1,0.27,0.31,0.35,0.66,1.4,81,-2.19
Freddy Galvis,Phillies,151,559,603,147,121,14,5,7,63,50,30,1,103,5.0,17.1,0.29,0.309,3,4,7,11,10,1,5.9,0.081,0.28300000000000003,-14.3,0.263,0.302,0.34299999999999997,0.645,1.3,76,-0.66
Mark Trumbo,Diamondbacks,142,508,545,133,85,23,3,22,62,64,36,1,132,6.6,24.2,0.27,0.313,0,1,0,12,0,0,-9.7,0.187,0.327,6.1,0.262,0.31,0.449,0.759,1.1,107,-0.92
Marlon Byrd,Reds,135,506,544,125,72,25,5,23,58,73,29,2,145,5.3,26.7,0.2,0.297,4,5,0,10,2,1,-7.8,0.20600000000000002,0.317,1.6,0.247,0.29,0.45299999999999996,0.743,1.0,100,-0.65
Jace Peterson,Braves,152,528,597,126,92,23,5,6,55,52,56,4,120,9.4,20.1,0.47,0.29600000000000004,3,3,7,5,12,10,4.2,0.09699999999999999,0.287,-12.5,0.239,0.314,0.335,0.649,1.0,79,-0.98
Michael Taylor,Nationals,138,472,511,108,77,15,2,14,49,63,35,9,158,6.8,30.9,0.22,0.311,1,2,1,5,16,3,12.3,0.129,0.27399999999999997,-15.9,0.22899999999999998,0.282,0.358,0.64,1.0,69,0.67
Cameron Maybin,Braves,141,505,555,135,105,18,2,10,65,59,45,1,102,8.1,18.4,0.44,0.316,1,3,1,16,23,6,-5.3,0.10300000000000001,0.307,-2.7,0.267,0.327,0.37,0.6970000000000001,0.9,93,-0.69
Erick Aybar,Angels,156,597,638,161,127,30,1,3,74,44,25,1,73,3.9,11.4,0.34,0.3,4,5,7,12,15,6,-0.4,0.069,0.28,-16.7,0.27,0.301,0.33799999999999997,0.639,0.8,78,-1.78
