"Name","Team","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","WPA/LI","Clutch","SD","MD","playerid"
"Jason Marquis","Cubs","-0.40","-15.88","15.48","-4.70","-0.46","1.07","","0.87","1.17","33","-0.81","0.44","0","1","105"
"Chad Gaudin","Athletics","-0.45","-15.90","15.45","-5.65","-0.57","1.01","","0.87","1.25","33","-0.37","-0.08","0","0","1783"
"Jeremy Bonderman","Tigers","-0.50","-12.94","12.44","-8.06","-0.77","0.92","","0.87","1.03","28","-0.10","-0.45","0","0","1667"
"Jamie Moyer","Phillies","-0.76","-16.57","15.81","-7.09","-0.69","1.01","","0.87","1.17","32","-0.99","0.24","0","0","1091"
"Paul Byrd","Indians","-0.85","-14.81","13.97","-10.31","-1.04","0.93","","0.88","1.44","29","-0.76","-0.15","0","0","594"
"Dave Bush","Brewers","-0.92","-15.41","14.49","-11.04","-1.09","0.99","","0.96","1.11","31","-1.33","0.40","2","0","4635"
"Jeff Suppan","Brewers","-0.98","-16.28","15.29","-6.15","-0.65","0.97","","0.87","1.06","33","-0.95","-0.06","0","0","633"
"Paul Maholm","Pirates","-1.05","-14.14","13.09","-13.63","-1.34","0.98","","0.88","0.93","27","-0.66","-0.41","0","0","8678"
"Matt Chico","Nationals","-1.09","-13.96","12.87","-11.61","-1.20","1.02","","0.87","1.33","31","-0.95","-0.13","0","0","6068"
"Boof Bonser","Twins","-1.20","-14.47","13.27","-12.37","-1.23","1.00","","0.86","0.99","31","-1.62","0.43","0","1","2159"
"Matt Belisle","Reds","-1.44","-14.52","13.09","-11.71","-1.16","0.96","","0.86","0.99","29","-0.53","-0.97","0","0","1837"
"Woody Williams","Astros","-1.62","-16.30","14.68","-12.08","-1.17","1.00","0.48","0.86","0.95","33","-1.78","0.18","0","1","1190"
"Kevin Millwood","Rangers","-1.66","-15.63","13.97","-14.29","-1.41","1.03","","0.87","0.87","31","-1.28","-0.33","0","0","106"
"Matt Morris","- - -","-1.98","-17.66","15.67","-15.23","-1.53","1.04","","0.88","1.16","29","-1.49","-0.42","0","0","1172"
"Daniel Cabrera","Orioles","-2.16","-17.61","15.45","-15.63","-1.52","1.02","","0.88","1.01","33","-1.74","-0.39","0","0","1931"
"Dontrelle Willis","Marlins","-2.18","-17.71","15.53","-20.58","-1.96","0.97","","0.85","1.00","35","-2.83","0.58","0","0","1703"
"Jose Contreras","White Sox","-2.79","-16.47","13.68","-22.88","-2.12","0.95","","0.90","1.29","28","-1.62","-1.30","0","1","1660"
"Kip Wells","Cardinals","-2.89","-14.85","11.96","-31.71","-3.15","0.98","","0.84","0.84","30","-2.70","-0.26","3","1","1012"
"Scott Olsen","Marlins","-3.93","-16.47","12.55","-45.48","-4.46","0.92","","0.87","0.86","33","-3.96","-0.29","0","0","4529"
