"Name","Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","playerid"
"Brian Bannister","Royals","12","9","3.87","27","27","1","0","0","0","0","165.0","683","156","76","71","15","44","1","6","4","0","77","5718"
"Tom Gorzelanny","Pirates","14","10","3.88","32","32","1","1","0","0","0","201.2","874","214","90","87","18","68","3","11","5","1","135","6244"
"Derek Lowe","Dodgers","12","14","3.88","33","32","3","0","0","1","0","199.1","831","194","100","86","20","59","2","1","3","1","147","199"
"John Maine","Mets","15","10","3.91","32","32","1","1","0","0","0","191.0","810","168","90","83","23","75","3","5","2","0","180","4773"
"Rich Hill","Cubs","11","8","3.92","32","32","0","0","0","0","0","195.0","812","170","89","85","27","63","3","12","1","1","183","4806"
"Felix Hernandez","Mariners","14","7","3.92","30","30","1","1","0","0","0","190.1","808","209","88","83","20","53","4","3","7","1","165","4772"
"Joe Blanton","Athletics","14","10","3.95","34","34","3","1","0","0","0","230.0","950","240","106","101","16","40","4","4","3","1","140","4849"
"Carlos Zambrano","Cubs","18","13","3.95","34","34","1","0","0","0","0","216.1","925","187","100","95","23","101","4","14","3","0","177","305"
"Andy Pettitte","Yankees","15","9","4.05","36","34","0","0","0","1","0","215.1","916","238","106","97","16","69","1","1","3","0","141","840"
"Dustin McGowan","Blue Jays","12","10","4.08","27","27","2","1","0","0","0","169.2","705","146","80","77","14","61","3","2","13","0","144","8600"
"Aaron Cook","Rockies","8","7","4.12","25","25","2","0","0","0","0","166.0","698","178","87","76","15","44","6","6","0","0","61","1571"
"Greg Maddux","Padres","14","11","4.14","34","34","1","0","0","0","0","198.0","830","221","92","91","14","25","3","6","5","0","104","104"
"Carlos Silva","Twins","13","14","4.19","33","33","2","1","0","0","0","202.0","848","229","99","94","20","36","2","4","4","1","89","973"
"Jeff Francis","Rockies","17","9","4.22","34","34","1","1","0","0","0","215.1","922","234","103","101","25","63","7","7","1","1","165","4684"
"Bronson Arroyo","Reds","9","15","4.23","34","34","1","0","0","0","0","210.2","921","232","109","99","28","63","6","13","4","0","156","978"
"Jon Garland","White Sox","10","13","4.23","32","32","2","1","0","0","0","208.1","883","219","114","98","19","57","3","4","1","0","98","232"
"Doug Davis","Diamondbacks","13","12","4.25","33","33","0","0","0","0","0","192.2","862","211","100","91","21","95","7","5","10","1","144","1244"
"Miguel Batista","Mariners","16","11","4.29","33","32","0","0","0","0","0","193.0","860","209","101","92","18","85","3","8","15","2","133","46"
"Jarrod Washburn","Mariners","10","15","4.32","32","32","1","1","0","0","0","193.2","839","201","102","93","23","67","5","8","2","1","114","40"
"Daisuke Matsuzaka","Red Sox","15","12","4.40","32","32","1","0","0","0","0","204.2","874","191","100","100","25","80","1","13","5","0","201","7775"
"Chad Gaudin","Athletics","11","13","4.42","34","34","1","0","0","0","0","199.1","886","205","108","98","21","100","8","8","3","1","154","1783"
"Tom Glavine","Mets","13","8","4.45","34","34","1","1","0","0","0","200.1","855","219","102","99","23","64","2","4","2","0","89","90"
"Barry Zito","Giants","11","13","4.53","34","33","0","0","0","0","0","196.2","850","182","105","99","24","83","4","4","5","0","131","944"
"Wandy Rodriguez","Astros","9","13","4.58","31","31","1","1","0","0","0","182.2","782","179","102","93","22","62","2","5","3","0","158","2586"
"Paul Byrd","Indians","15","8","4.59","31","31","2","2","0","0","0","192.1","835","239","107","98","27","28","3","6","5","0","88","594"
"Jason Marquis","Cubs","12","9","4.60","34","33","1","1","0","0","0","191.2","846","190","111","98","22","76","6","13","3","0","109","105"
"Jeff Suppan","Brewers","12","12","4.62","34","34","1","0","0","0","0","206.2","919","243","113","106","18","68","10","11","7","0","114","633"
"Kyle Lohse","- - -","9","12","4.62","34","32","2","1","0","0","0","192.2","829","207","109","99","22","57","3","12","3","0","122","739"
"Matt Chico","Nationals","7","9","4.63","31","31","0","0","0","0","0","167.0","747","183","96","86","26","74","3","5","7","0","94","6068"
"Nate Robertson","Tigers","9","13","4.76","30","30","0","0","0","0","0","177.2","781","199","98","94","22","63","2","3","5","1","119","1620"
"Tim Wakefield","Red Sox","17","12","4.76","31","31","0","0","0","0","0","189.0","800","191","104","100","22","64","1","4","10","0","110","219"
"Matt Morris","- - -","10","11","4.89","32","32","3","0","0","0","0","198.2","884","240","123","108","18","61","4","9","4","0","102","1172"
"Livan Hernandez","Diamondbacks","11","11","4.93","33","33","1","0","0","0","0","204.1","913","247","116","112","34","79","1","6","3","2","90","1116"
"Braden Looper","Cardinals","12","12","4.94","31","30","0","0","0","0","0","175.0","746","183","100","96","22","51","2","4","0","3","87","526"
"Josh Fogg","Rockies","10","9","4.94","30","29","0","0","0","0","0","165.2","745","194","99","91","23","59","7","13","3","0","94","989"
"Jeremy Bonderman","Tigers","11","9","5.01","28","28","0","0","0","0","0","174.1","753","193","105","97","23","48","6","4","12","1","145","1667"
"Jamie Moyer","Phillies","14","12","5.01","33","33","1","0","0","0","0","199.1","867","222","118","111","30","66","3","5","2","0","133","1091"
"Paul Maholm","Pirates","10","15","5.02","29","29","2","1","0","0","0","177.2","765","204","110","99","22","49","3","6","5","0","105","8678"
"Boof Bonser","Twins","8","12","5.10","31","30","0","0","0","0","0","173.0","772","199","108","98","27","65","4","5","3","1","136","2159"
"Dave Bush","Brewers","12","10","5.12","33","31","0","0","0","0","0","186.1","810","217","110","106","27","44","1","11","3","0","134","4635"
"Kevin Millwood","Rangers","10","14","5.16","31","31","0","0","0","0","0","172.2","788","213","111","99","19","67","2","8","4","0","123","106"
"Dontrelle Willis","Marlins","10","15","5.17","35","35","0","0","0","0","0","205.1","942","241","131","118","29","87","4","14","9","1","146","1703"
"Woody Williams","Astros","8","15","5.27","33","31","0","0","0","0","0","188.0","833","216","114","110","35","53","5","12","1","2","101","1190"
"Matt Belisle","Reds","8","9","5.32","30","30","1","0","0","0","0","177.2","771","212","111","105","26","43","4","7","6","1","125","1837"
"Daniel Cabrera","Orioles","9","18","5.55","34","34","1","0","0","0","0","204.1","922","207","133","126","25","108","6","15","7","2","166","1931"
"Jose Contreras","White Sox","10","17","5.57","32","30","2","2","0","0","0","189.0","858","232","134","117","21","62","1","15","3","0","113","1660"
"Kip Wells","Cardinals","7","17","5.70","34","26","0","0","0","0","0","162.2","750","186","116","103","19","78","9","9","8","1","122","1012"
"Scott Olsen","Marlins","10","15","5.81","33","33","0","0","0","0","0","176.2","826","226","134","114","29","85","4","1","8","0","133","4529"
