"Name","Team","WPA","-WPA","+WPA","RE24","REW","pLI","phLI","PH","WPA/LI","Clutch","playerid"
"Nick Swisher","Athletics","1.67","-10.62","12.29","17.18","1.68","1.03","2.61","1","1.73","-0.10","4599"
"Brian Roberts","Orioles","1.65","-12.66","14.31","18.34","1.79","1.07","1.87","4","0.98","0.55","166"
"Paul Konerko","White Sox","1.62","-10.73","12.35","6.61","0.60","1.03","","0","1.11","0.47","242"
"Luis Castillo","- - -","1.51","-9.12","10.63","12.05","1.21","0.94","","0","0.59","1.01","513"
"Alex Rios","Blue Jays","1.48","-12.20","13.67","17.70","1.74","0.97","1.25","2","2.29","-0.77","2090"
"Hideki Matsui","Yankees","1.46","-9.94","11.40","23.59","2.31","0.94","","0","2.46","-0.91","1659"
"Shane Victorino","Phillies","1.32","-7.96","9.28","17.32","1.70","0.95","1.59","19","1.58","-0.20","1677"
"Ryan Garko","Indians","1.25","-9.98","11.22","6.29","0.63","1.04","1.92","11","0.91","0.29","6319"
"Mike Lowell","Red Sox","1.22","-11.05","12.27","31.92","2.93","1.00","2.92","3","1.38","-0.17","527"
"Casey Kotchman","Angels","1.21","-8.16","9.38","12.13","1.18","0.97","1.36","15","1.30","-0.05","1930"
"Kelly Johnson","Braves","1.18","-9.83","11.02","25.77","2.52","0.96","1.41","16","2.11","-0.88","2234"
"Orlando Hudson","Diamondbacks","1.17","-9.68","10.85","14.25","1.32","0.96","4.00","2","0.85","0.37","1307"
"Dmitri Young","Nationals","1.09","-9.24","10.34","15.90","1.67","1.04","2.65","13","1.43","-0.37","505"
"Eric Byrnes","Diamondbacks","1.07","-11.98","13.05","5.77","0.53","0.98","","0","0.50","0.59","905"
"Josh Willingham","Marlins","1.06","-10.49","11.56","23.17","2.32","1.01","2.15","4","1.04","0.01","2103"
"Jose Vidro","Mariners","0.99","-9.52","10.51","10.50","1.03","0.96","2.67","10","0.91","0.13","802"
"Randy Winn","Giants","0.98","-11.00","11.98","12.75","1.18","1.07","1.15","7","0.59","0.33","1235"
"Orlando Cabrera","Angels","0.98","-11.62","12.60","15.57","1.53","0.98","","0","0.61","0.39","766"
"Torii Hunter","Twins","0.97","-12.66","13.63","16.17","1.59","1.04","2.64","2","0.99","-0.06","731"
"Ken Griffey Jr.","Reds","0.89","-10.86","11.75","17.50","1.70","0.98","1.87","9","2.43","-1.52","327"
"Gary Sheffield","Tigers","0.89","-9.38","10.27","18.98","1.85","0.95","2.03","2","1.77","-0.84","114"
"Mark Loretta","Astros","0.87","-8.41","9.28","-4.89","-0.51","0.99","1.95","16","-0.60","1.48","1383"
"J.D. Drew","Red Sox","0.84","-9.25","10.09","8.88","0.77","1.02","1.89","11","0.85","-0.04","1152"
"Brandon Phillips","Reds","0.81","-12.89","13.70","3.26","0.33","1.04","2.48","3","0.87","-0.10","791"
"Adam LaRoche","Pirates","0.81","-11.13","11.93","10.04","1.02","1.01","0.89","1","1.01","-0.21","1904"
"Ian Kinsler","Rangers","0.79","-9.69","10.48","8.36","0.76","1.01","2.35","1","-0.03","0.81","6195"
"Kevin Youkilis","Red Sox","0.78","-10.30","11.09","26.72","2.61","1.02","4.96","4","1.81","-1.04","1935"
"Ryan Zimmerman","Nationals","0.78","-12.86","13.64","2.73","0.24","1.00","","0","0.32","0.45","4220"
"J.J. Hardy","Brewers","0.76","-10.64","11.40","10.68","1.09","0.93","0.70","2","-0.12","0.93","3797"
"Alfonso Soriano","Cubs","0.73","-10.96","11.68","4.91","0.52","0.95","1.72","1","1.53","-0.77","847"
"Jose Guillen","Mariners","0.71","-10.97","11.68","11.78","1.09","0.98","1.34","1","1.67","-0.94","57"
"Yuniesky Betancourt","Mariners","0.70","-9.68","10.38","-3.82","-0.34","0.98","0.77","3","-0.61","1.33","8585"
"Dustin Pedroia","Red Sox","0.69","-8.88","9.58","14.12","1.32","0.94","1.18","3","0.59","0.15","8370"
"Jose Reyes","Mets","0.69","-13.11","13.80","6.87","0.73","1.01","","0","0.94","-0.26","1736"
"Curtis Granderson","Tigers","0.64","-11.08","11.72","25.07","2.41","0.94","1.58","6","3.20","-2.52","4747"
"Kevin Kouzmanoff","Padres","0.61","-8.84","9.45","9.55","1.13","0.99","1.89","12","0.44","0.18","5995"
"Austin Kearns","Nationals","0.60","-12.05","12.66","14.99","1.52","1.08","0.93","2","0.86","-0.30","332"
"Michael Cuddyer","Twins","0.58","-11.35","11.92","10.55","1.07","1.04","","0","0.26","0.29","1534"
"Justin Morneau","Twins","0.54","-12.39","12.93","11.90","1.10","1.06","","0","0.72","-0.21","1737"
"Kenny Lofton","- - -","0.53","-9.08","9.61","7.19","0.70","1.00","2.51","11","0.89","-0.36","246"
"Edwin Encarnacion","Reds","0.52","-10.08","10.61","17.98","1.72","1.05","0.93","3","0.59","-0.09","2151"
"Mike Cameron","Padres","0.50","-11.67","12.17","11.80","1.33","1.03","0.75","2","0.52","-0.04","1070"
"Brian Giles","Padres","0.42","-9.20","9.62","7.41","0.67","0.97","1.45","1","0.31","0.12","990"
"Andre Ethier","Dodgers","0.40","-8.89","9.28","6.56","0.58","1.00","1.60","12","0.38","0.01","6265"
"Mark DeRosa","Cubs","0.37","-9.97","10.35","11.04","1.06","1.00","2.23","5","0.16","0.22","1392"
"Ryan Church","Nationals","0.34","-9.43","9.77","10.30","1.05","1.05","1.38","15","1.18","-0.86","2106"
"Ty Wigginton","- - -","0.30","-10.83","11.13","-9.64","-0.94","1.03","1.65","3","-0.02","0.31","1491"
"Khalil Greene","Padres","0.24","-12.12","12.36","16.13","1.57","1.04","","0","1.30","-1.06","1826"
"Rickie Weeks Jr.","Brewers","0.22","-7.97","8.20","2.31","0.20","0.94","1.54","4","1.60","-1.37","1849"
"David DeJesus","Royals","0.18","-11.40","11.59","7.14","0.70","0.94","1.51","1","0.01","0.19","1825"
"Manny Ramirez","Red Sox","0.17","-10.33","10.50","13.80","1.29","1.01","1.73","2","2.19","-2.02","210"
"Bobby Abreu","Yankees","0.12","-11.57","11.69","14.67","1.45","0.95","1.82","4","1.38","-1.25","945"
"Robinson Cano","Yankees","0.08","-11.31","11.39","10.27","0.98","0.95","0.97","3","0.92","-0.83","3269"
"Aubrey Huff","Orioles","-0.02","-11.47","11.45","3.32","0.30","1.09","2.38","8","0.48","-0.50","1213"
"Casey Blake","Indians","-0.04","-11.81","11.76","-6.89","-0.66","1.00","2.23","7","0.51","-0.55","719"
"Jeff Francoeur","Braves","-0.04","-12.13","12.08","11.01","1.09","0.99","","0","-0.61","0.57","4792"
"Ronnie Belliard","Nationals","-0.06","-10.14","10.08","3.24","0.39","1.07","2.43","19","-0.08","0.03","677"
"Jhonny Peralta","Indians","-0.09","-11.53","11.44","-2.15","-0.17","1.04","2.14","2","-0.53","0.45","1738"
"Brian McCann","Braves","-0.10","-10.28","10.18","-0.75","-0.04","1.03","2.14","8","-1.01","0.92","4810"
"Jason Varitek","Red Sox","-0.11","-9.83","9.72","-5.35","-0.50","1.08","1.40","9","0.26","-0.37","217"
"Johnny Damon","Yankees","-0.13","-9.42","9.29","10.59","1.08","0.92","1.48","12","0.25","-0.39","185"
"Reggie Willits","Angels","-0.15","-8.21","8.06","1.53","0.14","0.94","1.45","8","-0.07","-0.09","5590"
"Jeff Kent","Dodgers","-0.17","-10.53","10.36","13.94","1.34","1.06","3.48","4","1.45","-1.60","1119"
"Jason Bartlett","Twins","-0.20","-9.81","9.61","-1.81","-0.16","1.00","1.24","2","-0.35","0.15","8219"
"Corey Patterson","Orioles","-0.21","-9.11","8.90","-6.11","-0.53","1.03","0.68","2","-0.73","0.53","300"
"Juan Uribe","White Sox","-0.22","-10.06","9.84","-14.72","-1.38","0.97","","0","-1.50","1.27","454"
"Garrett Atkins","Rockies","-0.23","-12.62","12.39","18.18","1.65","1.05","1.89","2","0.94","-1.16","1790"
"Luis Gonzalez","Dodgers","-0.23","-9.83","9.59","4.93","0.50","1.07","1.61","12","0.75","-0.97","55"
"Bill Hall","Brewers","-0.32","-8.59","8.27","-6.21","-0.61","0.93","0.55","12","-0.98","0.64","1605"
"Dan Uggla","Marlins","-0.34","-12.66","12.32","2.34","0.24","0.97","","0","0.63","-0.98","3442"
"Mark Teahen","Royals","-0.34","-10.89","10.55","5.59","0.48","1.01","2.11","4","-0.22","-0.12","4511"
"Mark Ellis","Athletics","-0.36","-12.45","12.09","0.77","0.08","1.07","0.49","1","0.05","-0.39","1443"
"Gary Matthews Jr.","Angels","-0.38","-10.70","10.32","1.58","0.16","1.00","4.28","1","0.16","-0.55","153"
"Akinori Iwamura","Devil Rays","-0.40","-8.91","8.52","-0.86","-0.10","0.92","0.60","1","0.22","-0.65","7781"
"Melky Cabrera","Yankees","-0.41","-10.36","9.95","-9.42","-0.92","0.97","0.66","6","-0.38","-0.05","4022"
"Jose Bautista","Pirates","-0.43","-10.74","10.31","-0.54","-0.11","0.95","1.61","1","0.11","-0.56","1887"
"Tadahito Iguchi","- - -","-0.47","-8.84","8.37","-1.68","-0.18","0.96","1.37","14","-0.20","-0.28","8581"
"Kevin Millar","Orioles","-0.48","-10.41","9.93","9.77","0.93","1.06","2.23","6","0.05","-0.50","529"
"Miguel Tejada","Orioles","-0.54","-11.14","10.60","-0.41","-0.01","1.07","4.37","1","-0.04","-0.46","941"
"Freddy Sanchez","Pirates","-0.54","-11.34","10.80","17.58","1.69","0.98","","0","0.28","-0.84","1624"
"Aaron Hill","Blue Jays","-0.63","-12.39","11.76","1.26","0.11","1.03","1.87","1","-0.09","-0.52","6104"
"Kenji Johjima","Mariners","-0.74","-9.39","8.65","-8.16","-0.80","0.96","2.61","4","-0.42","-0.35","5811"
"Delmon Young","Devil Rays","-0.74","-12.56","11.81","-10.16","-0.98","1.01","","0","-1.39","0.66","2140"
"Coco Crisp","Red Sox","-0.76","-10.20","9.44","-11.03","-1.07","0.98","","0","-1.02","0.24","1572"
"Jason Kendall","- - -","-0.85","-9.13","8.29","-15.21","-1.55","1.00","0.72","5","-1.93","1.09","993"
"Jermaine Dye","White Sox","-0.87","-11.45","10.58","-8.65","-0.84","1.06","","0","-0.12","-0.70","911"
"Stephen Drew","Diamondbacks","-0.90","-10.79","9.89","-18.27","-1.61","0.99","0.86","3","-1.49","0.58","4251"
"Vernon Wells","Blue Jays","-0.91","-11.38","10.47","-5.08","-0.49","0.97","3.38","5","-0.95","0.01","1326"
"Ryan Theriot","Cubs","-0.92","-10.36","9.44","-12.60","-1.27","0.96","1.39","10","-1.29","0.33","3811"
"Jason Bay","Pirates","-0.93","-11.20","10.27","0.01","-0.02","1.03","1.28","2","0.10","-1.00","1717"
"Melvin Mora","Orioles","-0.97","-10.51","9.54","-12.20","-1.13","1.11","1.37","4","-0.76","-0.11","157"
"Rafael Furcal","Dodgers","-1.05","-11.09","10.04","-13.11","-1.18","0.98","","0","-0.93","-0.14","88"
"Chris Young","Diamondbacks","-1.09","-11.52","10.43","-12.60","-1.18","0.94","0.03","1","-0.67","-0.48","3882"
"Brendan Harris","Devil Rays","-1.09","-10.45","9.36","-11.06","-1.08","0.93","0.15","2","-0.45","-0.72","2178"
"Pedro Feliz","Giants","-1.09","-11.68","10.58","-12.59","-1.30","1.05","0.75","6","-1.51","0.46","1112"
"Bengie Molina","Giants","-1.13","-11.48","10.35","0.15","0.14","1.17","2.56","6","-0.88","-0.09","24"
"Julio Lugo","Red Sox","-1.35","-11.91","10.56","-20.16","-2.00","1.03","1.04","1","-2.42","1.12","565"
"Jose Lopez","Mariners","-1.40","-10.29","8.89","-21.40","-2.08","0.97","0.49","1","-2.09","0.64","3114"
"Ray Durham","Giants","-1.42","-10.91","9.49","-17.50","-1.69","1.15","1.87","20","-1.57","0.33","230"
"Juan Pierre","Dodgers","-1.43","-13.10","11.67","-13.29","-1.30","1.02","","0","-1.08","-0.32","443"
"A.J. Pierzynski","White Sox","-1.51","-10.42","8.91","-24.89","-2.35","1.06","1.73","18","-1.68","0.25","746"
"Felipe Lopez","Nationals","-1.51","-12.14","10.63","-16.19","-1.77","1.02","0.74","3","-2.00","0.52","1311"
"Jack Wilson","Pirates","-1.74","-9.07","7.33","1.89","0.21","0.96","0.90","4","0.13","-1.93","1017"
"Brandon Inge","Tigers","-1.77","-10.17","8.40","-10.84","-1.07","0.94","","0","-1.60","-0.27","470"
"Ivan Rodriguez","Tigers","-1.88","-9.85","7.97","-14.73","-1.43","0.98","1.85","4","-1.73","-0.19","1275"
"Alex Gordon","Royals","-2.05","-11.32","9.27","-20.09","-1.91","0.97","1.24","3","-1.45","-0.66","5209"
"Shannon Stewart","Athletics","-2.13","-11.54","9.41","-11.95","-1.24","0.97","2.30","6","-0.46","-1.73","1322"
"Craig Biggio","Astros","-2.15","-10.78","8.62","-23.26","-2.23","1.06","1.91","23","-1.95","-0.08","549"
"Andruw Jones","Braves","-2.34","-13.15","10.81","-7.08","-0.65","1.07","","0","-0.86","-1.33","96"
"Nick Punto","Twins","-2.34","-10.46","8.12","-29.72","-2.94","1.04","3.48","1","-2.94","0.69","1429"
"Tony Pena","Royals","-2.90","-10.09","7.19","-29.33","-2.83","0.96","5.50","1","-2.76","-0.27","2240"
"Omar Vizquel","Giants","-3.09","-11.35","8.27","-28.64","-2.80","1.05","0.45","3","-3.03","0.11","411"
