"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid"
"Adam Wainwright","Cardinals","8.19","2.55","3.21","0.66","21.9 %","6.8 %","15.1 %",".240","1.21",".296","80.4 %","65","75","78","2.63","3.11","-0.49","3.32","3.47","2233"
"Jon Lester","Red Sox","9.96","2.83","3.52","0.89","26.7 %","7.6 %","19.1 %",".240","1.23",".313","76.9 %","73","73","70","3.41","3.15","0.26","3.09","3.15","4930"
"Dan Haren","Diamondbacks","8.75","1.49","5.87","1.06","24.5 %","4.2 %","20.4 %",".221","1.00",".267","77.0 %","71","75","71","3.14","3.23","-0.09","3.02","3.06","1757"
"Joel Pineiro","Cardinals","4.42","1.14","3.89","0.46","12.1 %","3.1 %","9.0 %",".263","1.14",".290","66.9 %","86","79","86","3.49","3.27","0.22","3.64","3.63","1094"
"Ricky Nolasco","Marlins","9.49","2.14","4.43","1.12","24.8 %","5.6 %","19.2 %",".254","1.25",".317","61.0 %","119","80","76","5.06","3.35","1.71","3.23","3.23","3830"
"Ubaldo Jimenez","Rockies","8.17","3.51","2.33","0.54","21.7 %","9.3 %","12.4 %",".223","1.23",".280","73.5 %","75","75","85","3.47","3.36","0.10","3.59","3.76","3374"
"CC Sabathia","Yankees","7.71","2.62","2.94","0.70","21.0 %","7.1 %","13.9 %",".229","1.15",".277","71.4 %","73","74","85","3.37","3.39","-0.03","3.77","3.79","404"
"Wandy Rodriguez","Astros","8.45","2.76","3.06","0.92","22.7 %","7.4 %","15.3 %",".246","1.24",".302","79.4 %","73","83","84","3.02","3.54","-0.52","3.57","3.60","2586"
"Carlos Zambrano","Cubs","8.08","4.15","1.95","0.53","20.7 %","10.6 %","10.1 %",".240","1.38",".300","71.9 %","86","84","99","3.77","3.61","0.16","4.22","4.24","305"
"Josh Beckett","Red Sox","8.43","2.33","3.62","1.06","22.5 %","6.2 %","16.3 %",".241","1.19",".290","71.6 %","82","84","75","3.86","3.63","0.23","3.30","3.40","510"
"Ted Lilly","Cubs","7.68","1.83","4.19","1.12","21.4 %","5.1 %","16.3 %",".226","1.06",".261","77.8 %","71","85","92","3.10","3.65","-0.55","3.91","3.78","833"
"Jair Jurrjens","Braves","6.36","3.14","2.03","0.63","17.2 %","8.5 %","8.7 %",".231","1.21",".268","79.4 %","63","87","101","2.60","3.68","-1.08","4.28","4.43","5556"
"Brett Anderson","Athletics","7.70","2.31","3.33","1.03","20.4 %","6.1 %","14.3 %",".262","1.28",".309","67.0 %","94","85","81","4.06","3.69","0.36","3.56","3.60","8223"
"Jason Hammel","Rockies","6.78","2.14","3.17","0.87","17.3 %","5.5 %","11.8 %",".282","1.39",".326","69.5 %","94","83","89","4.33","3.71","0.62","3.77","3.90","4538"
"Cole Hamels","Phillies","7.81","2.00","3.91","1.12","20.6 %","5.3 %","15.4 %",".269","1.29",".317","72.1 %","102","87","86","4.32","3.72","0.61","3.63","3.66","4972"
"John Lackey","Angels","7.09","2.40","2.96","0.87","18.6 %","6.3 %","12.3 %",".256","1.27",".299","71.2 %","87","85","88","3.83","3.73","0.10","3.87","3.93","1507"
"Roy Oswalt","Astros","6.85","2.08","3.29","0.94","18.2 %","5.6 %","12.7 %",".259","1.24",".298","72.7 %","100","88","90","4.12","3.76","0.36","3.82","3.92","571"
"Gavin Floyd","White Sox","7.60","2.75","2.76","0.98","20.5 %","7.4 %","13.1 %",".242","1.23",".284","69.7 %","88","82","82","4.06","3.77","0.29","3.64","3.83","3886"
"Johan Santana","Mets","7.88","2.48","3.17","1.08","20.8 %","6.6 %","14.3 %",".239","1.21",".280","78.0 %","77","91","96","3.13","3.79","-0.66","4.05","3.90","755"
"Kevin Correia","Padres","6.45","2.91","2.22","0.77","17.1 %","7.7 %","9.4 %",".255","1.30",".294","71.4 %","102","93","98","3.91","3.81","0.10","4.14","4.29","1767"
"Chad Billingsley","Dodgers","8.21","3.94","2.08","0.78","21.8 %","10.5 %","11.3 %",".237","1.32",".292","71.0 %","99","92","94","4.03","3.82","0.21","3.99","4.09","5842"
"Paul Maholm","Pirates","5.50","2.77","1.98","0.65","14.2 %","7.2 %","7.1 %",".287","1.44",".325","69.2 %","107","91","99","4.44","3.83","0.61","4.18","4.33","8678"
"Max Scherzer","Diamondbacks","9.19","3.33","2.76","1.06","23.5 %","8.5 %","15.0 %",".249","1.34",".308","68.7 %","93","90","90","4.12","3.87","0.26","3.82","3.69","3137"
"Ryan Dempster","Cubs","7.74","2.93","2.65","0.99","20.4 %","7.7 %","12.7 %",".254","1.31",".302","73.2 %","84","90","88","3.65","3.87","-0.23","3.76","3.85","517"
"Randy Wells","Cubs","5.66","2.50","2.26","0.76","15.0 %","6.6 %","8.4 %",".257","1.28",".288","76.0 %","70","90","99","3.05","3.88","-0.83","4.18","4.33","4535"
"Matt Cain","Giants","7.07","3.02","2.34","0.91","19.3 %","8.2 %","11.1 %",".227","1.18",".263","81.6 %","70","94","98","2.89","3.89","-0.99","4.16","4.19","4732"
"Jorge de la Rosa","Rockies","9.39","4.04","2.33","0.97","24.2 %","10.4 %","13.8 %",".243","1.38",".308","71.6 %","95","88","87","4.38","3.91","0.47","3.71","3.79","2047"
"Randy Wolf","Dodgers","6.72","2.44","2.76","1.01","18.6 %","6.7 %","11.8 %",".223","1.10",".251","77.3 %","80","95","97","3.23","3.96","-0.72","4.10","4.10","976"
"Yovani Gallardo","Brewers","9.89","4.56","2.17","1.02","25.7 %","11.9 %","13.9 %",".216","1.31",".275","77.9 %","90","93","87","3.73","3.97","-0.24","3.71","3.83","8173"
"Carl Pavano","- - -","6.64","1.76","3.77","1.17","17.2 %","4.6 %","12.7 %",".290","1.37",".329","66.1 %","116","92","88","5.10","4.00","1.11","3.89","3.95","790"
"James Shields","Rays","6.84","2.13","3.21","1.19","18.0 %","5.6 %","12.4 %",".273","1.32",".308","71.2 %","97","93","87","4.14","4.02","0.12","3.85","3.98","7059"
"Jered Weaver","Angels","7.42","2.82","2.64","1.11","19.7 %","7.5 %","12.2 %",".241","1.24",".278","76.2 %","85","93","100","3.75","4.04","-0.29","4.40","4.25","4235"
"Derek Lowe","Braves","5.13","2.91","1.76","0.74","13.0 %","7.4 %","5.6 %",".294","1.52",".327","68.7 %","113","96","98","4.67","4.06","0.61","4.14","4.30","199"
"Jeff Niemann","Rays","6.23","2.94","2.12","0.85","16.3 %","7.7 %","8.6 %",".264","1.35",".301","73.7 %","92","94","101","3.94","4.07","-0.13","4.46","4.47","8591"
"Scott Baker","Twins","7.29","2.16","3.38","1.26","19.6 %","5.8 %","13.8 %",".245","1.19",".276","70.5 %","99","95","94","4.37","4.08","0.29","4.15","4.01","6176"
"Jason Marquis","Rockies","4.79","3.33","1.44","0.62","12.5 %","8.7 %","3.8 %",".260","1.38",".287","70.5 %","87","92","103","4.04","4.10","-0.06","4.37","4.61","105"
"Aaron Harang","Reds","7.87","2.38","3.30","1.33","20.2 %","6.1 %","14.1 %",".284","1.41",".331","75.7 %","98","95","92","4.21","4.14","0.08","3.88","3.87","1451"
"Andy Pettitte","Yankees","6.84","3.51","1.95","0.92","17.8 %","9.1 %","8.6 %",".256","1.38",".295","70.2 %","91","90","98","4.16","4.15","0.02","4.32","4.43","840"
"Matt Garza","Rays","8.38","3.50","2.39","1.11","22.0 %","9.2 %","12.8 %",".230","1.26",".273","75.0 %","93","96","94","3.95","4.17","-0.22","4.14","3.98","3340"
"Jonathan Sanchez","Giants","9.75","4.85","2.01","1.05","24.9 %","12.4 %","12.5 %",".219","1.37",".276","72.6 %","103","101","98","4.24","4.17","0.07","4.14","4.04","7507"
"Zach Duke","Pirates","4.48","2.07","2.16","0.97","11.9 %","5.5 %","6.4 %",".275","1.31",".293","72.6 %","98","101","100","4.06","4.24","-0.18","4.25","4.57","3840"
"Edwin Jackson","Tigers","6.77","2.94","2.30","1.14","18.1 %","7.9 %","10.2 %",".245","1.26",".276","76.7 %","80","96","98","3.62","4.28","-0.67","4.32","4.30","1841"
"Barry Zito","Giants","7.22","3.80","1.90","0.98","18.8 %","9.9 %","8.9 %",".246","1.35",".285","75.0 %","98","104","104","4.03","4.31","-0.27","4.40","4.45","944"
"Scott Feldman","Rangers","5.36","3.08","1.74","0.85","14.3 %","8.2 %","6.1 %",".248","1.28",".273","72.8 %","87","94","100","4.08","4.31","-0.23","4.43","4.61","6283"
"Ricky Romero","Blue Jays","7.13","3.99","1.78","0.91","18.3 %","10.3 %","8.0 %",".282","1.52",".333","75.5 %","96","97","92","4.30","4.33","-0.03","4.05","4.20","3403"
"J.A. Happ","Phillies","6.45","3.04","2.13","1.08","17.4 %","8.2 %","9.2 %",".239","1.23",".266","85.2 %","69","102","104","2.93","4.33","-1.40","4.43","4.39","7410"
"A.J. Burnett","Yankees","8.48","4.22","2.01","1.09","21.8 %","10.8 %","10.9 %",".245","1.40",".295","75.9 %","88","94","96","4.04","4.33","-0.29","4.23","4.18","512"
"Nick Blackburn","Twins","4.29","1.79","2.39","1.09","11.1 %","4.7 %","6.5 %",".286","1.37",".301","72.7 %","92","101","101","4.03","4.37","-0.34","4.48","4.68","4270"
"Mike Pelfrey","Mets","5.22","3.22","1.62","0.88","13.0 %","8.0 %","5.0 %",".284","1.51",".312","66.7 %","124","106","106","5.03","4.39","0.64","4.47","4.62","5203"
"Livan Hernandez","- - -","5.00","3.28","1.52","0.93","12.7 %","8.3 %","4.3 %",".298","1.56",".326","67.3 %","133","106","111","5.44","4.44","1.00","4.72","5.00","1116"
"Joe Blanton","Phillies","7.51","2.72","2.76","1.38","19.5 %","7.1 %","12.4 %",".257","1.32",".291","78.9 %","96","104","95","4.05","4.45","-0.40","4.02","4.00","4849"
"Brad Penny","- - -","5.66","2.65","2.14","1.14","14.5 %","6.8 %","7.7 %",".275","1.40",".300","67.1 %","106","104","103","4.88","4.46","0.42","4.50","4.55","535"
"Mark Buehrle","White Sox","4.43","1.90","2.33","1.14","12.0 %","5.2 %","6.9 %",".269","1.25",".282","74.7 %","83","97","99","3.84","4.46","-0.62","4.37","4.62","225"
"Jon Garland","- - -","4.81","2.69","1.79","1.01","12.4 %","6.9 %","5.4 %",".276","1.40",".296","71.6 %","92","104","108","4.01","4.48","-0.46","4.56","4.76","232"
"Jarrod Washburn","- - -","5.11","2.51","2.04","1.18","13.8 %","6.8 %","7.0 %",".239","1.19",".250","75.4 %","86","105","105","3.78","4.58","-0.80","4.66","4.76","40"
"John Danks","White Sox","6.69","3.28","2.04","1.26","17.8 %","8.7 %","9.1 %",".242","1.28",".267","77.7 %","82","100","99","3.77","4.59","-0.82","4.38","4.39","6329"
"Johnny Cueto","Reds","6.93","3.20","2.16","1.26","17.8 %","8.2 %","9.6 %",".259","1.36",".291","73.6 %","103","108","106","4.41","4.69","-0.28","4.51","4.34","6893"
"John Lannan","Nationals","3.88","2.97","1.31","0.96","10.2 %","7.8 %","2.4 %",".262","1.35",".272","72.7 %","93","110","110","3.88","4.70","-0.81","4.64","4.92","7080"
"Ross Ohlendorf","Pirates","5.55","2.70","2.06","1.27","15.0 %","7.3 %","7.7 %",".248","1.23",".264","76.3 %","95","113","108","3.92","4.72","-0.80","4.56","4.61","8268"
"Rick Porcello","Tigers","4.69","2.74","1.71","1.21","12.4 %","7.2 %","5.1 %",".265","1.34",".277","75.5 %","87","107","97","3.96","4.77","-0.82","4.27","4.48","2717"
"Bronson Arroyo","Reds","5.19","2.66","1.95","1.27","13.8 %","7.0 %","6.7 %",".252","1.27",".265","76.5 %","90","110","106","3.84","4.78","-0.94","4.50","4.64","978"
"Kevin Millwood","Rangers","5.57","3.22","1.73","1.18","14.5 %","8.4 %","6.1 %",".254","1.34",".273","78.6 %","78","105","107","3.67","4.80","-1.13","4.72","4.76","106"
"Doug Davis","Diamondbacks","6.46","4.56","1.42","1.11","16.4 %","11.6 %","4.8 %",".260","1.50",".291","76.0 %","93","112","109","4.12","4.84","-0.72","4.62","4.90","1244"
"Joe Saunders","Angels","4.89","3.10","1.58","1.40","12.6 %","8.0 %","4.6 %",".275","1.43",".286","73.5 %","104","118","107","4.60","5.17","-0.57","4.74","4.86","4366"
"Jeremy Guthrie","Orioles","4.95","2.70","1.83","1.57","12.6 %","6.9 %","5.7 %",".278","1.42",".286","70.9 %","110","115","116","5.04","5.31","-0.27","5.13","5.04","2072"
"Trevor Cahill","Athletics","4.53","3.63","1.25","1.36","11.6 %","9.3 %","2.3 %",".265","1.44",".272","72.6 %","107","123","110","4.63","5.33","-0.70","4.86","5.11","6249"
"Braden Looper","Brewers","4.62","2.96","1.56","1.80","11.6 %","7.4 %","4.2 %",".284","1.49",".284","71.6 %","126","135","113","5.22","5.74","-0.51","4.80","4.94","526"
