"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid"
"Wade Miley","Diamondbacks","8.18","3.35","2.44","1.03","21.1 %","8.7 %","12.5 %",".263","1.40",".317","72.1 %","113","107","95","4.34","3.98","0.36","3.50","3.67","8779"
"Clay Buchholz","Red Sox","6.97","2.85","2.44","0.90","17.9 %","7.3 %","10.6 %",".270","1.39",".315","62.1 %","133","107","107","5.34","4.01","1.33","4.04","4.02","3543"
"Chris Tillman","Orioles","6.51","2.86","2.27","0.91","17.2 %","7.6 %","9.6 %",".236","1.23",".267","76.7 %","86","103","111","3.34","4.01","-0.67","4.20","4.26","5279"
"Roenis Elias","Mariners","7.86","3.52","2.23","0.88","20.6 %","9.2 %","11.4 %",".244","1.31",".294","73.2 %","105","108","104","3.85","4.03","-0.18","3.95","3.96","12673"
"Dan Haren","Dodgers","7.02","1.74","4.03","1.31","18.7 %","4.6 %","14.1 %",".248","1.18",".276","65.7 %","116","113","100","4.02","4.09","-0.07","3.70","3.74","1757"
"Scott Feldman","Astros","5.34","2.50","2.14","0.80","14.0 %","6.5 %","7.5 %",".263","1.30",".291","71.6 %","100","109","111","3.74","4.11","-0.37","4.19","4.33","6283"
"Wily Peralta","Brewers","6.98","2.76","2.52","1.04","18.4 %","7.3 %","11.1 %",".257","1.30",".295","76.1 %","94","107","99","3.53","4.11","-0.58","3.64","3.73","7738"
"Jake Peavy","- - -","7.02","2.80","2.51","1.02","18.5 %","7.4 %","11.2 %",".251","1.28",".289","75.1 %","96","112","111","3.73","4.11","-0.38","4.18","4.11","1051"
"A.J. Burnett","Phillies","8.00","4.04","1.98","0.84","20.3 %","10.3 %","10.1 %",".249","1.41",".302","67.5 %","127","110","107","4.59","4.14","0.45","3.95","4.00","512"
"Edinson Volquez","Pirates","6.54","3.32","1.97","0.79","17.3 %","8.8 %","8.5 %",".229","1.23",".263","77.5 %","86","116","114","3.04","4.15","-1.11","4.20","4.20","3990"
"Jered Weaver","Angels","7.13","2.74","2.60","1.14","19.0 %","7.3 %","11.7 %",".236","1.21",".267","78.3 %","98","114","113","3.59","4.19","-0.61","4.30","4.18","4235"
"Bud Norris","Orioles","7.57","2.83","2.67","1.09","20.2 %","7.6 %","12.7 %",".240","1.22",".279","78.6 %","93","108","105","3.65","4.22","-0.57","3.98","3.86","9492"
"C.J. Wilson","Angels","7.74","4.35","1.78","0.87","19.8 %","11.2 %","8.7 %",".254","1.45",".306","70.5 %","124","117","108","4.51","4.31","0.20","4.11","4.23","3580"
"Jeremy Guthrie","Royals","5.51","2.18","2.53","1.02","14.4 %","5.7 %","8.7 %",".268","1.30",".294","72.4 %","105","115","114","4.13","4.32","-0.19","4.33","4.34","2072"
"R.A. Dickey","Blue Jays","7.22","3.09","2.34","1.09","18.9 %","8.1 %","10.8 %",".231","1.23",".263","73.4 %","96","113","109","3.71","4.32","-0.61","4.14","4.08","1245"
"Alfredo Simon","Reds","5.82","2.57","2.27","1.01","15.5 %","6.9 %","8.7 %",".241","1.21",".265","77.5 %","93","114","110","3.44","4.33","-0.90","4.05","4.17","2155"
"Jorge de la Rosa","Rockies","6.79","3.27","2.07","1.03","18.1 %","8.7 %","9.4 %",".233","1.24",".263","70.8 %","95","109","107","4.10","4.34","-0.24","3.95","4.05","2047"
"Travis Wood","Cubs","7.57","3.94","1.92","1.04","18.7 %","9.7 %","9.0 %",".272","1.53",".320","66.5 %","138","119","122","5.03","4.38","0.65","4.51","4.41","9884"
"Colby Lewis","Rangers","7.03","2.54","2.77","1.32","17.5 %","6.3 %","11.2 %",".299","1.52",".339","69.0 %","130","116","115","5.18","4.46","0.71","4.36","4.22","1259"
"Shelby Miller","Cardinals","6.25","3.59","1.74","1.08","16.6 %","9.6 %","7.1 %",".232","1.27",".256","76.9 %","104","124","121","3.74","4.54","-0.80","4.47","4.60","10197"
"Kyle Kendrick","Phillies","5.47","2.58","2.12","1.13","14.0 %","6.6 %","7.4 %",".269","1.36",".290","70.5 %","127","121","118","4.61","4.57","0.04","4.35","4.45","6230"
"Eric Stults","Padres","5.68","2.30","2.47","1.33","14.6 %","5.9 %","8.7 %",".276","1.38",".296","73.0 %","123","128","113","4.30","4.63","-0.33","4.17","4.33","8011"
"John Danks","White Sox","5.99","3.44","1.74","1.16","15.1 %","8.7 %","6.4 %",".266","1.44",".291","71.9 %","123","122","122","4.74","4.76","-0.02","4.62","4.64","6329"
"Hector Noesi","- - -","6.42","2.92","2.20","1.46","16.8 %","7.6 %","9.1 %",".267","1.37",".290","70.4 %","123","124","113","4.75","4.83","-0.07","4.29","4.34","3292"
"Roberto Hernandez","- - -","5.74","3.99","1.44","1.04","14.5 %","10.1 %","4.4 %",".244","1.39",".266","72.9 %","115","130","123","4.10","4.85","-0.75","4.52","4.67","3273"
"Chris Young","Mariners","5.89","3.27","1.80","1.42","15.7 %","8.7 %","7.0 %",".229","1.23",".238","80.2 %","99","134","137","3.65","5.02","-1.36","5.19","5.24","3196"
