"Name","Team","WPA","-WPA","+WPA","RE24","REW","pLI","phLI","PH","WPA/LI","Clutch","playerid"
"Lucas Duda","Mets","2.39","-10.26","12.65","32.20","3.70","1.05","1.29","10","2.02","0.26","2502"
"Howie Kendrick","Angels","2.25","-10.64","12.89","29.82","3.31","0.99","","0","1.74","0.53","4229"
"Yasiel Puig","Dodgers","2.21","-9.11","11.32","31.46","3.64","0.90","2.20","5","3.02","-0.56","14225"
"Melky Cabrera","Blue Jays","2.20","-9.87","12.07","37.23","3.92","0.96","1.11","1","3.10","-0.80","4022"
"Seth Smith","Padres","2.17","-7.89","10.06","21.12","2.42","1.01","1.67","16","2.31","-0.16","7331"
"Kole Calhoun","Angels","2.15","-8.10","10.25","19.98","2.21","0.96","0.82","10","1.82","0.43","11200"
"Jose Reyes","Blue Jays","2.11","-11.03","13.14","11.32","1.24","1.02","","0","0.97","1.11","1736"
"Chris Carter","Astros","2.10","-9.22","11.33","15.05","1.67","0.94","1.30","7","1.03","1.21","9911"
"Adrian Beltre","Rangers","2.09","-9.48","11.57","29.78","3.10","0.95","","0","3.57","-1.37","639"
"Coco Crisp","Athletics","2.09","-8.49","10.58","12.47","1.44","1.04","2.10","11","0.69","1.31","1572"
"Casey McGehee","Marlins","1.99","-13.32","15.31","4.83","0.56","1.17","0.54","1","0.21","1.48","6086"
"Justin Upton","Braves","1.98","-12.50","14.48","23.89","2.76","1.14","0.90","2","2.88","-1.13","5222"
"Conor Gillaspie","White Sox","1.91","-8.37","10.28","12.46","1.31","1.03","2.59","9","0.41","1.44","9009"
"Marlon Byrd","Phillies","1.88","-12.07","13.95","13.46","1.51","1.13","2.29","5","1.43","0.23","950"
"Kurt Suzuki","Twins","1.68","-7.78","9.46","15.21","1.58","0.99","1.71","11","0.94","0.75","8259"
"Robinson Cano","Mariners","1.67","-9.80","11.46","34.83","3.83","0.96","","0","2.43","-0.69","3269"
"Jimmy Rollins","Phillies","1.59","-10.87","12.46","11.65","1.21","1.08","1.06","6","1.93","-0.45","971"
"Edwin Encarnacion","Blue Jays","1.52","-9.50","11.02","30.80","3.22","1.01","2.63","1","2.47","-0.96","2151"
"Matt Adams","Cardinals","1.52","-9.68","11.20","10.15","0.99","1.04","1.21","10","1.05","0.41","9393"
"Anthony Rendon","Nationals","1.49","-11.28","12.76","30.99","3.55","0.97","5.46","1","3.06","-1.54","12861"
"Khris Davis","Brewers","1.49","-9.10","10.59","5.27","0.53","1.02","1.85","11","1.13","0.33","9112"
"Ian Desmond","Nationals","1.46","-12.13","13.59","18.11","2.02","1.05","","0","1.25","0.14","6885"
"Matt Kemp","Dodgers","1.40","-10.99","12.38","18.25","2.16","1.00","1.84","10","2.97","-1.56","5631"
"Hanley Ramirez","Dodgers","1.37","-8.32","9.69","23.14","2.62","0.97","2.03","7","2.80","-1.38","8001"
"Carlos Gomez","Brewers","1.28","-11.61","12.90","23.57","2.49","1.03","0.02","1","3.25","-2.00","4881"
"Kyle Seager","Mariners","1.27","-11.38","12.65","23.71","2.67","0.99","2.91","1","1.06","0.23","9785"
"Chase Utley","Phillies","1.21","-11.68","12.88","19.29","2.21","1.13","1.25","7","1.36","-0.30","1679"
"Dexter Fowler","Astros","1.16","-7.75","8.92","14.59","1.60","0.99","1.28","2","1.45","-0.28","4062"
"Dee Gordon","Dodgers","1.09","-10.58","11.67","2.62","0.28","0.96","1.08","8","0.76","0.37","8203"
"Ian Kinsler","Tigers","1.09","-12.32","13.40","4.72","0.46","0.94","3.39","1","0.53","0.62","6195"
"Brett Gardner","Yankees","1.04","-10.45","11.49","9.24","0.90","0.97","1.81","3","0.83","0.25","9927"
"Brandon Crawford","Giants","0.99","-8.94","9.94","11.00","1.32","1.04","2.05","6","0.72","0.23","5343"
"Chris Davis","Orioles","0.99","-8.90","9.89","10.08","1.14","1.03","3.43","3","0.12","0.84","9272"
"Ryan Braun","Brewers","0.87","-10.33","11.20","19.34","2.11","0.99","1.47","1","0.78","0.10","3410"
"Ben Zobrist","Rays","0.85","-10.50","11.35","8.38","0.94","1.00","2.13","2","1.56","-0.72","7435"
"Lonnie Chisenhall","Indians","0.83","-9.20","10.03","15.44","1.61","1.06","2.02","14","0.46","0.32","7571"
"Dioner Navarro","Blue Jays","0.77","-8.77","9.54","4.76","0.51","0.99","1.20","18","-0.15","0.93","3179"
"Nori Aoki","Royals","0.74","-9.17","9.91","9.58","1.03","1.02","2.57","3","0.16","0.57","13075"
"Adam Jones","Orioles","0.74","-12.08","12.82","15.16","1.56","1.02","3.19","2","0.94","-0.22","6368"
"Jhonny Peralta","Cardinals","0.73","-10.81","11.54","15.98","1.69","1.03","0.82","5","2.23","-1.52","1738"
"Miguel Montero","Diamondbacks","0.72","-11.00","11.72","2.52","0.28","1.16","2.34","4","0.10","0.51","3364"
"Salvador Perez","Royals","0.69","-10.96","11.65","-11.01","-1.16","1.03","3.01","2","-0.84","1.50","7304"
"Evan Longoria","Rays","0.65","-11.34","11.99","16.28","1.88","1.00","","0","1.37","-0.73","9368"
"Yangervis Solarte","- - -","0.59","-8.75","9.34","1.74","0.15","0.99","2.46","4","0.45","0.15","5352"
"Aramis Ramirez","Brewers","0.56","-9.93","10.49","1.64","0.04","1.03","3.85","2","0.73","-0.19","1002"
"Yan Gomes","Indians","0.56","-10.43","10.98","8.59","0.92","1.13","2.33","4","0.72","-0.23","9627"
"Erick Aybar","Angels","0.53","-10.30","10.83","7.82","0.87","0.96","1.29","2","0.54","0.01","4082"
"Ryan Howard","Phillies","0.50","-12.96","13.46","8.84","0.94","1.16","1.42","7","-0.11","0.55","2154"
"Dayan Viciedo","White Sox","0.50","-11.03","11.53","-4.99","-0.59","1.05","1.77","6","-0.09","0.57","3917"
"David Wright","Mets","0.48","-9.89","10.37","6.09","0.74","0.98","1.61","1","0.33","0.16","3787"
"Marcell Ozuna","Marlins","0.41","-11.38","11.79","16.38","1.79","1.10","1.28","5","0.95","-0.58","10324"
"James Loney","Rays","0.38","-10.94","11.32","2.64","0.35","1.00","2.76","3","0.16","0.23","4556"
"Adam Dunn","- - -","0.37","-8.52","8.89","10.23","1.17","1.00","1.49","12","1.02","-0.65","319"
"Trevor Plouffe","Twins","0.31","-10.69","11.00","17.19","1.82","1.04","3.74","1","0.81","-0.51","7462"
"Brian Dozier","Twins","0.30","-12.49","12.79","11.18","1.14","1.08","","0","0.56","-0.29","9810"
"Starlin Castro","Cubs","0.25","-10.55","10.80","9.35","1.00","1.08","0.89","1","-0.12","0.35","4579"
"Eric Hosmer","Royals","0.25","-8.90","9.15","6.20","0.75","0.96","3.39","1","0.07","0.18","3516"
"Brandon Moss","Athletics","0.22","-10.34","10.57","14.22","1.55","1.02","1.36","12","1.21","-1.00","4467"
"Billy Butler","Royals","0.09","-10.07","10.16","2.37","0.27","0.98","1.35","8","-0.81","0.90","7399"
"Joe Mauer","Twins","0.06","-8.81","8.87","12.48","1.41","1.03","3.36","2","0.12","-0.07","1857"
"Daniel Murphy","Mets","0.05","-10.65","10.70","16.31","1.85","0.97","2.10","1","1.15","-1.10","4316"
"Dustin Ackley","Mariners","0.04","-9.44","9.48","3.40","0.34","0.96","1.61","6","-0.07","0.11","10099"
"Nick Markakis","Orioles","-0.02","-11.72","11.70","-0.08","-0.03","0.97","","0","-0.01","-0.01","5930"
"Alexei Ramirez","White Sox","-0.08","-12.48","12.40","-0.10","-0.04","1.04","1.67","1","-0.56","0.49","5133"
"Chase Headley","- - -","-0.13","-10.06","9.93","0.60","0.14","1.05","1.22","4","0.49","-0.62","4720"
"Domonic Brown","Phillies","-0.24","-9.48","9.24","-0.24","0.08","1.06","1.35","24","-0.96","0.73","3154"
"Shin-Soo Choo","Rangers","-0.30","-8.01","7.71","1.16","0.15","0.91","0.80","3","0.11","-0.45","3174"
"Brian McCann","Yankees","-0.33","-10.38","10.05","-0.36","-0.07","1.07","2.01","14","-0.13","-0.18","4810"
"Pablo Sandoval","Giants","-0.41","-11.84","11.43","14.09","1.78","1.06","2.24","3","1.95","-2.33","5409"
"Alex Rios","Rangers","-0.46","-9.41","8.95","-8.97","-0.85","0.99","4.67","1","-1.06","0.60","2090"
"Billy Hamilton","Reds","-0.49","-11.66","11.17","-3.44","-0.34","1.03","1.28","9","-0.98","0.51","10199"
"David Freese","Angels","-0.57","-9.41","8.85","9.22","1.01","0.99","1.06","6","0.48","-1.06","9549"
"Omar Infante","Royals","-0.60","-9.77","9.18","-6.62","-0.74","0.99","3.39","1","-1.68","1.08","1609"
"Mark Teixeira","Yankees","-0.60","-9.55","8.94","-4.12","-0.45","1.04","2.60","3","0.19","-0.77","1281"
"Austin Jackson","- - -","-0.63","-10.50","9.87","-12.81","-1.43","0.92","","0","-1.46","0.78","9848"
"Desmond Jennings","Rays","-0.75","-9.88","9.13","-3.12","-0.37","1.04","1.81","3","-0.06","-0.65","1965"
"Alcides Escobar","Royals","-0.79","-11.67","10.88","-8.28","-0.84","1.04","","0","-0.78","0.01","6310"
"Charlie Blackmon","Rockies","-0.80","-11.58","10.78","6.08","0.46","1.01","0.91","17","0.42","-1.21","7859"
"Ben Revere","Phillies","-0.86","-11.85","10.99","2.15","0.25","1.09","1.02","16","0.35","-1.13","4712"
"Nick Castellanos","Tigers","-0.87","-9.45","8.58","-7.34","-0.79","0.92","1.83","6","-0.53","-0.42","11737"
"Jason Kipnis","Indians","-0.87","-10.34","9.47","-10.16","-1.16","1.09","1.77","3","-0.90","0.10","9776"
"Torii Hunter","Tigers","-0.89","-10.32","9.42","8.06","0.86","0.94","2.92","7","1.34","-2.29","731"
"Gerardo Parra","- - -","-0.93","-9.96","9.03","-12.87","-1.45","1.04","1.14","12","-0.07","-0.82","8553"
"Aaron Hill","Diamondbacks","-0.95","-10.58","9.63","-11.96","-1.26","1.07","2.42","8","-0.98","0.10","6104"
"Dustin Pedroia","Red Sox","-0.96","-12.05","11.08","-3.24","-0.31","1.15","0.68","1","-0.40","-0.44","8370"
"Jason Castro","Astros","-1.01","-9.92","8.91","-6.64","-0.74","1.06","2.06","3","-0.87","-0.09","8722"
"Jay Bruce","Reds","-1.03","-10.31","9.28","-2.72","-0.20","1.05","1.99","4","-0.44","-0.54","9892"
"Yunel Escobar","Rays","-1.06","-9.63","8.57","-8.15","-0.90","1.05","2.34","2","-0.60","-0.41","4191"
"Martin Prado","- - -","-1.12","-11.27","10.15","0.17","0.07","1.05","1.89","6","0.04","-1.11","3312"
"Garrett Jones","Marlins","-1.20","-10.84","9.64","-7.39","-0.81","1.16","1.89","13","0.00","-1.04","2714"
"Jordy Mercer","Pirates","-1.23","-10.66","9.43","-9.38","-0.93","1.08","2.11","6","0.08","-1.22","6547"
"J.J. Hardy","Orioles","-1.31","-9.61","8.29","-12.05","-1.22","0.98","","0","-0.96","-0.38","3797"
"Asdrubal Cabrera","- - -","-1.36","-11.79","10.43","-5.65","-0.62","1.05","0.90","3","0.19","-1.48","4962"
"Leonys Martin","Rangers","-1.50","-10.08","8.58","-8.65","-0.87","0.99","0.90","9","-0.42","-1.10","11846"
"Adeiny Hechavarria","Marlins","-1.55","-11.12","9.57","-16.28","-1.78","1.08","","0","-1.27","-0.16","10459"
"Jean Segura","Brewers","-1.60","-9.51","7.91","-12.07","-1.39","0.96","2.30","2","-1.49","-0.17","5933"
"Alejandro De Aza","- - -","-1.64","-9.68","8.04","-3.24","-0.37","0.98","1.64","3","-0.93","-0.75","3371"
"Jed Lowrie","Athletics","-1.73","-10.38","8.65","-7.27","-0.80","1.02","2.70","4","-0.24","-1.45","4418"
"Allen Craig","- - -","-1.83","-9.14","7.31","-16.38","-1.77","1.00","0.80","7","-1.64","-0.19","3433"
"DJ LeMahieu","Rockies","-1.84","-10.45","8.62","-15.30","-1.65","1.03","1.86","1","-2.00","0.23","9874"
"Chris Johnson","Braves","-1.86","-12.18","10.31","-13.01","-1.49","1.09","1.34","3","-1.54","-0.17","1191"
"Melvin Upton Jr.","Braves","-1.96","-10.40","8.44","-12.85","-1.47","0.99","0.14","1","-1.17","-0.82","5015"
"Elvis Andrus","Rangers","-2.07","-11.81","9.74","-16.53","-1.71","0.96","2.09","1","-1.70","-0.47","8709"
"Xander Bogaerts","Red Sox","-2.32","-11.57","9.26","-22.30","-2.40","1.07","","0","-1.45","-0.71","12161"
"Derek Jeter","Yankees","-2.36","-11.49","9.13","-17.24","-1.82","1.01","2.46","1","-1.64","-0.69","826"
"Zack Cozart","Reds","-2.66","-10.34","7.67","-25.50","-2.76","1.08","0.20","1","-2.83","0.37","2616"
"Andrelton Simmons","Braves","-2.74","-11.17","8.43","-16.98","-1.89","1.01","","0","-1.97","-0.73","10847"
"Matt Dominguez","Astros","-3.76","-12.11","8.35","-34.63","-3.81","0.99","","0","-2.98","-0.80","4903"
