"Name","Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Jason Giambi","Yankees","579","19.0 %","18.3 %","1.04",".253",".413",".558",".971",".305","2.4",".245","-4.9","1.0","0.2","110","37.1",".407","147","818"
"Nick Johnson","Nationals","628","17.5 %","15.8 %","1.11",".290",".428",".520",".948",".230","3.6",".320","-2.1","0.6","0.4","118","38.9",".404","147","828"
"Joe Mauer","Twins","608","13.0 %","8.9 %","1.46",".347",".429",".507",".936",".159","4.3",".364","3.8","-3.4","0.0","110","33.3",".396","141","1857"
"Paul Konerko","White Sox","643","9.3 %","16.2 %","0.58",".313",".381",".551",".932",".239","2.0",".326","-7.1","-2.0","-0.1","115","34.3",".394","135","242"
"Jason Bay","Pirates","689","14.8 %","22.6 %","0.65",".286",".396",".532",".928",".246","4.5",".330","1.1","0.4","1.0","122","35.8",".392","137","1717"
"Derek Jeter","Yankees","715","9.7 %","14.3 %","0.68",".343",".417",".483",".900",".140","6.2",".391","-0.7","1.6","4.3","127","37.1",".392","138","826"
"Frank Thomas","Athletics","559","14.5 %","14.5 %","1.00",".270",".381",".545",".926",".275","0.9",".247","-7.0","-1.0","-0.2","99","28.7",".392","139","255"
"Carlos Guillen","Tigers","622","11.4 %","14.0 %","0.82",".320",".400",".519",".920",".199","5.7",".351","2.3","-1.1","-0.2","110","31.6",".391","137","1079"
"Justin Morneau","Twins","661","8.0 %","14.1 %","0.57",".321",".375",".559",".934",".238","2.5",".328","-4.2","1.3","-1.0","116","33.0",".390","138","1737"
"Alex Rodriguez","Yankees","674","13.4 %","20.6 %","0.65",".290",".392",".523",".914",".233","4.6",".326","-0.5","-1.3","1.0","118","33.3",".389","136","1274"
"Chase Utley","Phillies","739","8.5 %","17.9 %","0.48",".309",".379",".527",".906",".219","5.8",".343","7.0","2.5","1.0","128","35.5",".388","130","1679"
"Bobby Abreu","- - -","686","18.1 %","20.1 %","0.90",".297",".424",".462",".886",".164","5.2",".366","2.1","2.4","3.0","119","32.8",".388","132","945"
"Vladimir Guerrero","Angels","665","7.5 %","10.2 %","0.74",".329",".382",".552",".934",".222","3.8",".327","-3.6","-0.6","0.6","114","30.8",".386","134","778"
"Grady Sizemore","Indians","751","10.4 %","20.4 %","0.51",".290",".375",".533",".907",".243","7.6",".339","5.1","2.6","1.5","127","33.2",".383","132","2197"
"David Wright","Mets","661","10.0 %","17.1 %","0.58",".311",".381",".531",".912",".220","5.8",".344","1.9","0.4","1.6","112","28.7",".382","132","3787"
"Pat Burrell","Phillies","567","17.3 %","23.1 %","0.75",".258",".388",".502",".890",".245","1.7",".294","-5.1","0.5","-0.2","95","24.2",".381","126","949"
"Aramis Ramirez","Cubs","660","7.6 %","9.5 %","0.79",".291",".352",".561",".912",".269","3.5",".270","-3.5","-0.8","-0.3","111","28.1",".381","125","1002"
"Adam LaRoche","Braves","557","9.9 %","23.0 %","0.43",".285",".354",".561",".915",".276","2.5",".319","-0.7","1.0","-1.1","94","23.6",".381","129","1904"
"J.D. Drew","Dodgers","594","15.0 %","17.8 %","0.84",".283",".393",".498",".891",".215","4.0",".321","1.7","3.1","-1.2","99","24.7",".380","130","1152"
"Vernon Wells","Blue Jays","677","8.0 %","13.3 %","0.60",".303",".357",".542",".899",".239","5.2",".307","0.8","1.2","1.4","113","27.8",".380","128","1326"
"Brad Hawpe","Rockies","575","12.9 %","21.4 %","0.60",".293",".383",".515",".898",".222","4.0",".348","0.5","2.0","-1.4","96","23.4",".379","118","1885"
"Ray Durham","Giants","555","9.2 %","11.0 %","0.84",".293",".360",".538",".898",".245","5.4",".291","-1.0","-0.6","0.3","92","21.8",".378","126","230"
"Robinson Cano","Yankees","508","3.5 %","10.6 %","0.33",".342",".365",".525",".890",".183","3.4",".359","-1.8","-2.3","-0.1","84","19.9",".377","128","3269"
"Reed Johnson","Blue Jays","517","6.4 %","15.7 %","0.41",".319",".390",".479",".869",".161","5.2",".366","0.1","-0.2","0.5","85","20.1",".377","126","1702"
"Alfonso Soriano","Nationals","728","9.2 %","22.0 %","0.42",".277",".351",".560",".911",".283","5.9",".300","0.7","2.7","0.5","119","28.1",".377","129","847"
"Carlos Delgado","Mets","618","12.0 %","19.4 %","0.62",".265",".361",".548",".909",".282","2.1",".269","-2.5","1.3","-0.2","101","23.8",".377","128","1297"
"Todd Helton","Rockies","649","14.0 %","9.9 %","1.42",".302",".404",".476",".880",".174","4.0",".317","-3.3","2.6","-0.5","106","24.9",".376","116","432"
"Andruw Jones","Braves","669","12.3 %","19.0 %","0.65",".262",".363",".531",".894",".269","3.1",".264","2.7","0.6","0.1","109","24.8",".375","124","96"
"Carlos Lee","- - -","695","8.3 %","9.4 %","0.89",".300",".355",".540",".895",".240","4.7",".281","-2.6","-2.7","2.7","113","25.8",".375","123","243"
"Lyle Overbay","Blue Jays","640","8.6 %","15.0 %","0.57",".312",".372",".508",".880",".196","2.8",".342","-3.8","-2.2","-0.6","104","23.5",".375","124","1617"
"Bill Hall","Brewers","608","10.4 %","26.6 %","0.39",".270",".345",".553",".899",".283","4.8",".320","1.9","0.9","-2.5","99","22.3",".374","124","1605"
"Scott Rolen","Cardinals","594","9.4 %","11.6 %","0.81",".296",".369",".518",".887",".223","4.1",".301","2.0","1.2","-0.6","96","21.7",".374","126","970"
"Miguel Tejada","Orioles","709","6.5 %","11.1 %","0.58",".330",".379",".498",".878",".168","3.0",".345","-1.4","-2.4","0.0","115","25.8",".374","125","941"
"Mark Teixeira","Rangers","727","12.2 %","17.6 %","0.70",".282",".371",".514",".886",".232","2.5",".304","-0.3","0.6","0.1","117","26.1",".374","121","1281"
"Jorge Posada","Yankees","545","11.7 %","17.8 %","0.66",".277",".374",".492",".867",".215","3.2",".303","-5.3","0.3","0.4","88","19.5",".373","125","841"
"Victor Martinez","Indians","652","10.9 %","12.0 %","0.91",".316",".391",".465",".856",".149","1.3",".341","-6.4","-3.7","-0.3","103","21.3",".370","123","393"
"Gary Matthews Jr.","Rangers","690","8.4 %","14.3 %","0.59",".313",".371",".495",".866",".182","4.9",".343","0.6","0.5","-1.3","109","22.4",".369","118","153"
"Nick Swisher","Athletics","672","14.4 %","22.6 %","0.64",".254",".372",".493",".864",".239","2.8",".283","0.7","2.3","-0.9","106","21.7",".369","124","4599"
"Nomar Garciaparra","Dodgers","523","8.0 %","5.7 %","1.40",".303",".367",".505",".872",".203","4.1",".288","-5.1","-0.9","0.4","82","16.6",".369","122","190"
"Michael Cuddyer","Twins","635","9.8 %","20.5 %","0.48",".284",".362",".504",".867",".221","5.5",".328","0.1","0.9","1.0","100","19.9",".368","123","1534"
"Troy Glaus","Blue Jays","634","13.6 %","21.1 %","0.64",".252",".355",".513",".868",".261","2.8",".263","3.8","-4.0","-0.5","99","19.2",".367","119","15"
"Adrian Gonzalez","Padres","631","8.2 %","17.9 %","0.46",".304",".362",".500",".862",".196","2.0",".340","-3.2","-2.7","-0.7","97","17.9",".365","126","1908"
"Freddy Sanchez","Pirates","632","4.9 %","8.2 %","0.60",".344",".378",".473",".851",".129","3.2",".364","2.5","0.8","-0.5","97","17.9",".365","119","1624"
"Josh Willingham","Marlins","573","9.4 %","19.0 %","0.50",".277",".356",".496",".852",".219","2.7",".303","-2.0","0.6","0.2","88","15.9",".364","120","2103"
"Adam Dunn","Reds","683","16.4 %","28.4 %","0.58",".234",".365",".490",".855",".257","3.4",".276","-1.3","1.8","1.1","104","18.6",".363","115","319"
"Scott Hatteberg","Reds","539","13.7 %","7.6 %","1.80",".289",".389",".436",".826",".147","1.8",".293","-0.1","-0.8","-0.7","82","14.5",".363","114","916"
"Raul Ibanez","Mariners","699","9.3 %","16.5 %","0.57",".289",".353",".516",".869",".227","3.3",".305","1.5","0.1","-1.6","106","18.3",".362","121","607"
"Johnny Damon","Yankees","671","10.0 %","12.7 %","0.79",".285",".359",".482",".841",".197","6.2",".297","4.4","2.6","0.4","102","17.3",".362","117","185"
"Mike Cameron","Padres","634","11.2 %","22.4 %","0.50",".268",".355",".482",".837",".214","7.0",".321","3.7","1.8","0.8","94","14.7",".359","122","1070"
"Hanley Ramirez","Marlins","700","8.0 %","18.3 %","0.44",".292",".353",".480",".833",".188","8.6",".343","5.8","0.8","3.4","104","16.1",".358","116","8001"
"Jose Reyes","Mets","703","7.5 %","11.5 %","0.65",".300",".354",".487",".841",".187","8.9",".320","2.8","1.1","5.1","104","16.1",".358","116","1736"
"Austin Kearns","- - -","629","12.1 %","21.5 %","0.56",".264",".363",".467",".830",".203","4.1",".308","0.9","-0.5","-0.2","93","14.4",".358","114","332"
"Kevin Youkilis","Red Sox","680","13.4 %","17.6 %","0.76",".279",".381",".429",".810",".149","3.9",".327","0.5","1.2","-0.2","100","14.7",".357","111","1935"
"Richie Sexson","Mariners","663","9.7 %","23.2 %","0.42",".264",".338",".504",".842",".240","1.4",".300","-4.1","-1.5","-0.4","97","13.9",".356","117","709"
"Kevin Millar","Orioles","503","11.7 %","14.7 %","0.80",".272",".374",".437",".811",".165","1.9",".297","-5.6","-1.5","-0.4","74","10.5",".356","113","529"
"Carl Crawford","Devil Rays","653","5.7 %","13.0 %","0.44",".305",".348",".482",".830",".177","8.4",".331","0.8","1.7","7.4","95","12.9",".355","114","1201"
"Magglio Ordonez","Tigers","646","7.0 %","13.5 %","0.52",".298",".350",".477",".827",".179","2.1",".315","-3.3","-0.4","-1.8","94","12.7",".355","113","248"
"Rafael Furcal","Dodgers","736","9.9 %","13.3 %","0.74",".300",".369",".445",".814",".145","7.0",".333","1.8","1.3","1.4","107","14.5",".355","113","88"
"Prince Fielder","Brewers","648","9.1 %","19.3 %","0.47",".271",".347",".483",".831",".213","3.7",".297","-0.5","-1.8","0.3","94","12.2",".354","110","4613"
"Matt Murton","Cubs","508","8.9 %","12.2 %","0.73",".297",".365",".444",".809",".147","4.2",".319","0.7","-2.1","-0.1","73","9.4",".353","107","6307"
"Mark DeRosa","Rangers","572","7.7 %","17.8 %","0.43",".296",".357",".456",".812",".160","3.5",".346","-0.5","-0.4","-1.2","82","10.3",".353","107","1392"
"Conor Jackson","Diamondbacks","556","9.7 %","13.1 %","0.74",".291",".368",".441",".809",".151","2.8",".312","-1.5","-1.2","0.0","80","10.0",".352","105","5997"
"Michael Young","Rangers","748","6.4 %","12.8 %","0.50",".314",".356",".459",".814",".145","3.8",".345","0.3","-4.0","-0.2","107","13.0",".352","107","1286"
"Jacque Jones","Cubs","578","6.1 %","20.1 %","0.30",".285",".334",".499",".833",".214","4.2",".319","-2.3","-2.0","1.2","83","10.0",".352","106","735"
"Torii Hunter","Twins","611","7.4 %","17.7 %","0.42",".278",".336",".490",".826",".212","4.4",".294","1.3","-2.1","-0.4","87","10.6",".352","113","731"
"Ramon Hernandez","Orioles","560","7.7 %","14.1 %","0.54",".275",".343",".479",".822",".204","2.7",".285","-1.4","-0.2","0.0","80","9.7",".352","110","918"
"Ryan Zimmerman","Nationals","682","8.9 %","17.6 %","0.51",".287",".351",".471",".822",".184","4.1",".326","2.6","-1.1","-1.5","97","11.2",".351","112","4220"
"David DeJesus","Royals","552","7.8 %","12.7 %","0.61",".295",".364",".446",".810",".151","5.7",".329","5.4","-0.5","-0.3","78","9.0",".351","110","1825"
"Emil Brown","Royals","601","9.8 %","15.8 %","0.62",".287",".358",".457",".815",".171","3.8",".319","1.3","-0.9","-0.3","85","9.8",".351","110","1197"
"Joe Crede","White Sox","586","4.8 %","9.9 %","0.48",".283",".323",".506",".828",".222","1.7",".268","-1.0","-0.6","-1.1","83","9.1",".350","106","227"
"Dan Uggla","Marlins","683","7.0 %","18.0 %","0.39",".282",".339",".480",".818",".198","5.0",".309","4.2","1.9","-1.7","96","10.5",".350","110","3442"
"Edgar Renteria","Braves","673","9.2 %","13.2 %","0.70",".293",".361",".436",".797",".144","5.1",".324","0.7","-0.4","0.5","95","10.3",".349","108","1178"
"Orlando Hudson","Diamondbacks","650","9.4 %","12.0 %","0.78",".287",".354",".454",".809",".168","5.3",".308","2.4","-2.1","-1.1","91","9.1",".348","102","1307"
"Jamey Carroll","Rockies","534","10.5 %","12.4 %","0.85",".300",".377",".404",".781",".104","5.0",".339","2.2","-0.1","-3.5","74","6.9",".347","97","1591"
"Aubrey Huff","- - -","517","9.7 %","12.4 %","0.78",".267",".344",".469",".813",".203","1.8",".267","1.4","-0.4","-0.2","71","6.4",".346","107","1213"
"Mike Lowell","Red Sox","631","7.4 %","9.7 %","0.77",".284",".339",".475",".814",".190","2.4",".287","-2.8","-1.5","-0.7","87","7.7",".346","103","527"
"Jimmy Rollins","Phillies","758","7.5 %","10.6 %","0.71",".277",".334",".478",".811",".200","7.8",".281","-0.4","0.0","5.2","104","9.2",".346","103","971"
"Nick Markakis","Orioles","542","7.9 %","13.3 %","0.60",".291",".351",".448",".799",".157","3.4",".314","1.5","-1.1","0.2","74","6.5",".345","106","5930"
"Paul Lo Duca","Mets","551","4.4 %","6.9 %","0.63",".318",".355",".428",".783",".109","3.8",".335","-2.5","-1.6","0.4","74","5.1",".342","105","662"
"Brian Giles","Padres","717","14.5 %","8.4 %","1.73",".263",".374",".397",".771",".134","3.3",".272","1.3","-1.2","-0.3","97","6.6",".342","111","990"
"Geoff Jenkins","Brewers","555","10.1 %","23.2 %","0.43",".271",".357",".434",".791",".163","3.1",".333","0.4","0.5","0.1","74","4.8",".342","103","690"
"Chad Tracy","Diamondbacks","662","8.2 %","19.5 %","0.42",".281",".343",".451",".794",".169","3.3",".327","-0.6","1.4","0.3","89","5.5",".341","98","1888"
"Luis Gonzalez","Diamondbacks","668","10.3 %","8.7 %","1.19",".271",".352",".444",".795",".172","2.4",".277","1.5","-0.1","-0.7","89","5.3",".341","98","55"
"Tadahito Iguchi","White Sox","627","9.4 %","17.5 %","0.54",".281",".352",".422",".774",".141","4.0",".322","0.3","1.5","-0.2","83","4.7",".340","99","8581"
"Ryan Freel","Reds","523","10.9 %","18.7 %","0.58",".271",".363",".399",".762",".128","6.0",".330","0.0","0.0","2.4","70","3.9",".340","100","1207"
"Eric Chavez","Athletics","576","14.6 %","17.4 %","0.84",".241",".351",".435",".786",".194","3.5",".257","-2.6","-0.7","0.4","76","4.0",".340","105","906"
"Mike Jacobs","Marlins","520","8.7 %","20.2 %","0.43",".262",".325",".473",".798",".211","3.0",".295","-2.0","-1.7","0.4","69","3.6",".340","104","2231"
"Ichiro Suzuki","Mariners","752","6.5 %","9.4 %","0.69",".322",".370",".416",".786",".094","7.5",".348","0.4","3.1","7.8","99","4.8",".339","106","1101"
"Adrian Beltre","Mariners","681","6.9 %","17.3 %","0.40",".268",".328",".465",".792",".197","4.9",".294","-1.6","0.6","-0.2","90","4.1",".339","106","639"
"Kenji Johjima","Mariners","542","3.7 %","8.5 %","0.43",".291",".332",".451",".783",".160","2.8",".290","-3.0","-0.8","0.0","71","2.9",".338","105","5811"
"Xavier Nady","- - -","512","5.9 %","16.6 %","0.35",".280",".337",".453",".790",".173","2.7",".311","0.6","-0.3","-0.9","67","2.7",".338","102","1658"
"Eric Byrnes","Diamondbacks","606","5.6 %","14.5 %","0.39",".267",".313",".482",".795",".215","6.3",".275","0.5","-0.8","3.5","79","2.9",".337","95","905"
"Kenny Lofton","Dodgers","522","8.6 %","8.0 %","1.07",".301",".360",".403",".763",".102","8.2",".324","1.2","-1.4","4.0","68","2.1",".336","101","246"
"Shawn Green","- - -","588","7.7 %","13.9 %","0.55",".277",".344",".432",".776",".155","3.6",".303","-1.4","-1.3","-1.2","76","2.0",".335","96","651"
"Curtis Granderson","Tigers","679","9.7 %","25.6 %","0.38",".260",".335",".438",".773",".178","5.8",".333","3.0","2.2","-0.8","87","1.9",".335","99","4747"
"Melky Cabrera","Yankees","524","10.7 %","11.3 %","0.95",".280",".360",".391",".752",".111","4.9",".309","1.0","0.8","0.0","66","0.7",".333","98","4022"
"Todd Walker","- - -","504","10.9 %","7.5 %","1.45",".278",".356",".398",".754",".120","2.9",".285","0.7","1.2","-0.2","64","0.3",".332","96","359"
"Dave Roberts","Padres","567","9.0 %","10.8 %","0.84",".293",".360",".393",".752",".100","8.6",".327","0.7","0.3","6.9","71","0.0",".332","104","670"
"Omar Vizquel","Giants","659","8.5 %","7.7 %","1.10",".295",".361",".389",".749",".093","6.9",".316","-1.6","0.9","1.4","82","-0.3",".331","95","411"
"Brandon Inge","Tigers","601","7.2 %","21.3 %","0.34",".253",".313",".463",".776",".210","4.3",".281","1.1","0.6","-0.5","75","-0.4",".331","97","470"
"Tony Graffanino","- - -","511","8.8 %","13.3 %","0.66",".274",".345",".406",".751",".132","4.2",".309","2.8","0.2","-0.9","64","-0.5",".330","96","235"
"A.J. Pierzynski","White Sox","543","4.1 %","13.3 %","0.31",".295",".333",".436",".769",".141","2.2",".318","-1.0","0.4","0.0","68","-0.5",".330","93","746"
"Felipe Lopez","- - -","714","11.3 %","17.6 %","0.64",".274",".358",".381",".739",".107","6.2",".327","4.0","0.6","3.2","89","-0.8",".330","96","1311"
"Ivan Rodriguez","Tigers","580","4.5 %","14.8 %","0.30",".300",".332",".437",".769",".137","4.8",".336","1.9","-0.7","0.1","72","-0.7",".330","96","1275"
"Brian Roberts","Orioles","630","8.7 %","10.5 %","0.83",".286",".347",".410",".757",".124","6.3",".307","0.5","-0.3","3.9","78","-1.0",".330","95","166"
"Craig Monroe","Tigers","585","6.3 %","21.5 %","0.29",".255",".301",".482",".783",".227","3.7",".280","-1.2","-0.1","-0.6","72","-1.3",".329","96","1464"
"Jose Vidro","Nationals","511","8.0 %","9.4 %","0.85",".289",".348",".395",".744",".106","2.4",".308","-1.3","-1.2","0.0","62","-2.3",".326","96","802"
"Shea Hillenbrand","- - -","566","3.7 %","14.1 %","0.26",".277",".313",".451",".764",".174","2.7",".290","-0.1","-3.3","-0.9","68","-2.7",".326","92","196"
"Luis Castillo","Twins","652","8.6 %","8.9 %","0.97",".296",".358",".370",".728",".074","5.9",".324","0.8","-0.1","-0.1","78","-3.4",".325","95","513"
"Melvin Mora","Orioles","705","7.7 %","14.0 %","0.55",".274",".342",".391",".733",".117","4.3",".300","1.7","2.1","1.5","84","-4.6",".324","91","157"
"Marcus Giles","Braves","626","9.9 %","16.8 %","0.59",".262",".341",".387",".729",".125","4.6",".304","1.8","-0.6","-0.4","74","-4.3",".324","91","89"
"Brandon Phillips","Reds","587","6.0 %","15.0 %","0.40",".276",".324",".427",".751",".151","5.4",".300","2.4","-2.2","3.9","70","-4.0",".323","89","791"
"Aaron Hill","Blue Jays","606","6.9 %","10.9 %","0.64",".291",".349",".386",".735",".095","4.0",".319","4.4","-0.4","-0.1","71","-4.6",".323","90","6104"
"Orlando Cabrera","Angels","675","7.6 %","8.6 %","0.88",".282",".335",".404",".738",".122","5.7",".294","2.0","0.7","3.8","79","-5.2",".322","92","766"
"Juan Encarnacion","Cardinals","598","5.0 %","14.4 %","0.35",".278",".317",".443",".760",".165","4.5",".297","2.1","0.6","-1.2","70","-4.7",".322","93","320"
"Nick Punto","Twins","524","9.0 %","13.0 %","0.69",".290",".352",".373",".725",".083","6.7",".332","2.1","0.9","1.0","61","-4.3",".322","93","1429"
"David Bell","- - -","566","8.8 %","12.0 %","0.74",".270",".337",".399",".736",".129","3.7",".292","2.6","-1.0","-0.1","66","-4.7",".322","88","1108"
"Jay Payton","Athletics","588","3.7 %","8.8 %","0.42",".296",".325",".418",".743",".122","4.7",".310","2.9","0.5","-0.4","69","-5.1",".321","93","890"
"Jason Kendall","Athletics","626","8.5 %","8.6 %","0.98",".295",".367",".342",".709",".047","3.6",".323","1.5","-1.6","-0.3","73","-5.5",".321","93","993"
"Mark Grudzielanek","Royals","586","4.8 %","11.8 %","0.41",".297",".331",".409",".740",".111","4.4",".327","1.1","1.4","-0.5","68","-6.0",".319","89","653"
"Garret Anderson","Angels","588","6.5 %","16.2 %","0.40",".280",".323",".433",".756",".153","2.6",".308","-1.6","1.0","0.0","67","-6.4",".319","90","2"
"Ronnie Belliard","- - -","590","6.1 %","13.7 %","0.44",".272",".322",".403",".725",".131","2.2",".299","-1.4","-1.0","-1.1","66","-8.0",".316","88","677"
"Mark Loretta","Red Sox","703","7.0 %","9.0 %","0.78",".285",".345",".361",".706",".076","2.7",".308","-2.3","0.8","0.1","79","-9.6",".316","83","1383"
"Mark Kotsay","Athletics","558","7.9 %","9.9 %","0.80",".275",".332",".386",".719",".112","3.9",".294","-4.7","-1.7","-0.3","62","-7.6",".315","89","1042"
"Josh Barfield","Padres","578","5.2 %","14.0 %","0.37",".280",".318",".423",".741",".143","5.8",".307","2.2","1.5","1.8","65","-8.0",".315","93","3622"
"Juan Pierre","Cubs","750","4.3 %","5.1 %","0.84",".292",".330",".388",".717",".096","7.7",".305","4.7","0.8","2.5","84","-10.5",".315","82","443"
"Chone Figgins","Angels","683","9.5 %","14.6 %","0.65",".267",".336",".376",".712",".109","7.6",".303","6.3","1.7","3.1","76","-9.7",".315","87","1580"
"Hank Blalock","Rangers","646","7.9 %","15.2 %","0.52",".266",".325",".401",".726",".135","3.1",".294","-2.1","0.1","0.0","72","-9.2",".315","82","1419"
"Jason Michaels","Indians","548","7.8 %","18.4 %","0.43",".267",".326",".391",".717",".123","4.5",".315","3.7","1.6","-0.6","61","-7.9",".315","87","1399"
"Randy Winn","Giants","635","7.6 %","9.9 %","0.76",".262",".324",".396",".721",".134","4.8",".276","1.4","0.2","-1.7","70","-9.4",".314","84","1235"
"Jose Lopez","Mariners","655","4.0 %","12.2 %","0.33",".282",".319",".405",".723",".123","5.0",".309","-1.8","0.5","-0.1","72","-9.8",".314","89","3114"
"Craig Biggio","Astros","607","6.6 %","13.8 %","0.48",".246",".306",".422",".727",".175","3.0",".254","-0.2","-1.8","-0.5","67","-9.1",".314","85","549"
"Jeff Conine","- - -","539","7.4 %","12.1 %","0.62",".268",".325",".399",".724",".131","3.6",".289","-0.8","-0.4","-0.5","60","-8.1",".314","84","131"
"David Eckstein","Cardinals","552","5.6 %","7.4 %","0.76",".292",".350",".344",".694",".052","3.5",".313","1.8","0.1","-1.5","61","-8.5",".313","87","10"
"Preston Wilson","- - -","537","5.4 %","22.5 %","0.24",".263",".307",".423",".730",".160","4.8",".314","2.6","-1.9","1.4","59","-8.4",".313","85","545"
"Jeff Francoeur","Braves","686","3.4 %","19.2 %","0.17",".260",".293",".449",".742",".189","3.8",".284","2.9","-1.1","-2.6","75","-10.9",".313","84","4792"
"Adam Kennedy","Angels","503","7.8 %","14.3 %","0.54",".273",".334",".384",".718",".111","5.7",".313","0.9","-1.3","-1.4","55","-8.2",".312","85","19"
"Jhonny Peralta","Indians","632","8.9 %","24.1 %","0.37",".257",".323",".385",".708",".128","3.0",".327","-3.0","-1.2","-0.7","69","-10.6",".312","85","1738"
"Yuniesky Betancourt","Mariners","584","2.9 %","9.2 %","0.31",".289",".310",".403",".713",".115","5.1",".308","0.4","0.3","-1.5","62","-11.1",".309","86","8585"
"Scott Podsednik","White Sox","592","9.1 %","16.2 %","0.56",".261",".330",".353",".684",".092","7.3",".312","3.7","0.4","-0.6","61","-13.6",".305","76","1095"
"Jack Wilson","Pirates","594","5.6 %","10.9 %","0.51",".273",".316",".370",".686",".098","3.2",".295","1.1","-1.7","-0.7","60","-14.9",".302","79","1017"
"Willy Taveras","Astros","587","5.8 %","15.0 %","0.39",".278",".333",".338",".672",".060","7.3",".330","5.8","1.0","2.4","59","-14.7",".302","77","1876"
"Pedro Feliz","Giants","644","5.1 %","17.4 %","0.29",".244",".281",".428",".709",".184","3.7",".263","-0.4","-1.2","-0.4","63","-17.5",".300","75","1112"
"Jose Castillo","Pirates","562","5.7 %","17.4 %","0.33",".253",".299",".382",".682",".129","2.7",".284","1.9","-1.7","-0.7","51","-19.3",".291","72","1866"
"Adam Everett","Astros","566","6.0 %","12.5 %","0.48",".239",".290",".352",".642",".113","5.0",".265","-1.1","2.7","-1.0","45","-25.8",".278","62","1430"
"Ronny Cedeno","Cubs","572","3.0 %","19.1 %","0.16",".245",".271",".339",".610",".094","5.1",".296","0.6","0.7","-2.1","38","-33.5",".263","48","2179"
"Angel Berroa","Royals","503","2.8 %","17.5 %","0.16",".234",".259",".333",".592",".099","3.3",".268","1.2","-3.2","0.0","31","-31.9",".257","48","591"
"Clint Barmes","Rockies","535","4.1 %","13.5 %","0.31",".220",".264",".335",".598",".115","4.9",".241","1.8","3.1","-0.9","33","-34.3",".256","38","1830"
