Name,Yr,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,BB%,K%,BB/K,BABIP,HBP,SF,SH,GDP,SB,CS,Def,ISO,wOBA,wRAA,AVG,OBP,SLG,OPS,WAR,wRC+,WPA,Contract Yrs,Total Salary($),Avg Salary($)
Paul Lo Duca,2007,Mets,119,445,488,121,93,18,1,9,46,54,24,4,33,4.9,6.8,0.73,0.271,6,10,3,18,2,0,6.0,0.106,0.3,-12.9,0.272,0.311,0.37799999999999995,0.6890000000000001,0.1,77.0,-1.55,1.0,5000000.0,5000000.0
Pedro Feliz,2007,Giants,150,557,590,141,91,28,2,20,61,72,29,2,70,4.9,11.9,0.41,0.257,1,3,0,15,2,2,25.7,0.165,0.306,-12.6,0.253,0.29,0.418,0.708,2.3,79.0,-1.09,2.0,8500000.0,4250000.0
Ramon Castro,2007,Mets,52,144,157,41,24,6,0,11,24,31,10,0,39,6.4,24.8,0.26,0.313,1,2,0,1,0,0,0.8,0.271,0.375,5.8,0.285,0.331,0.556,0.887,0.8,126.0,0.09,2.0,4600000.0,2300000.0
Rob Mackowiak,2007,Nationals,113,293,329,77,55,14,2,6,40,38,26,1,71,7.9,21.6,0.37,0.326,8,2,0,7,4,1,-2.5,0.12300000000000001,0.322,-2.4,0.263,0.337,0.386,0.723,0.8,92.0,-1.56,1.0,1500000.0,1500000.0
Rod Barajas,2007,Phillies,48,122,147,28,16,8,0,4,16,10,21,3,24,14.3,16.3,0.88,0.255,2,0,1,5,0,1,3.3,0.16399999999999998,0.32799999999999996,-0.3,0.23,0.35200000000000004,0.39299999999999996,0.745,0.5,91.0,-0.44,1.0,1200000.0,1200000.0
Sean Casey,2007,Tigers,143,453,496,134,99,30,1,4,40,54,39,11,42,7.9,8.5,0.93,0.318,2,2,0,9,2,2,-9.1,0.09699999999999999,0.324,-2.8,0.29600000000000004,0.353,0.39299999999999996,0.746,0.1,93.0,-0.45,1.0,800000.0,800000.0
So Taguchi,2007,Cardinals,130,307,340,89,71,15,0,3,48,30,23,0,32,6.8,9.4,0.72,0.315,6,1,3,10,7,4,-2.4,0.078,0.324,-2.0,0.29,0.35,0.368,0.718,0.4,93.0,-0.11,1.0,1050000.0,1050000.0
Tony Clark,2007,Diamondbacks,113,221,245,55,32,5,1,17,31,51,21,3,59,8.6,24.1,0.36,0.257,0,3,0,8,0,0,-5.4,0.262,0.344,2.7,0.249,0.31,0.511,0.8220000000000001,0.0,98.0,-0.02,1.0,900000.0,900000.0
Torii Hunter,2007,Twins,160,600,650,172,98,45,1,28,94,107,40,10,101,6.2,15.5,0.4,0.303,5,5,0,17,18,9,-0.8,0.218,0.354,12.7,0.287,0.33399999999999996,0.505,0.8390000000000001,3.2,116.0,0.97,5.0,90000000.0,18000000.0
Willie Harris,2007,Braves,117,344,391,93,63,20,8,2,56,32,40,0,71,10.2,18.2,0.56,0.332,3,3,1,3,17,11,2.0,0.122,0.33,-0.3,0.27,0.349,0.392,0.741,1.4,96.0,-0.43,1.0,800000.0,800000.0
Yorvit Torrealba,2007,Rockies,113,396,443,101,70,22,1,8,47,47,34,1,73,7.7,16.5,0.47,0.294,6,1,6,19,2,1,8.0,0.121,0.311,-7.3,0.255,0.32299999999999995,0.376,0.6990000000000001,0.6,75.0,-1.86,2.0,7250000.0,3625000.0
