Name,Yr,index,Team,W,L,G,GS,CG,IP,H,HR,BB,SO,R,SV,BS,BK,ER,HBP,HLD,IBB,ShO,TBF,WP,HR/9,BB/9,K/9,K/BB,K-BB%,GB%,HR/FB,LOB%,ERA,BABIP,FIP,WHIP,WPA,WAR,Contract Yrs,Total Salary($),Avg Salary($)
David Riske,2006,410,Royals,1,2,41,0,0,44.0,40,6,17,28,20,0,1,0,19,3,2,1,0,189,0,1.23,3.48,5.73,1.65,5.8,36.0,10.3,77.5,3.89,0.252,5.01,1.3,-0.14,0.0,1.0,2250000.0,2250000.0
David Wells,2006,172,Padres,3,5,13,13,0,75.1,97,11,12,38,41,0,0,0,37,0,0,0,0,324,0,1.31,1.43,4.54,3.17,8.0,48.9,12.2,72.7,4.42,0.327,4.51,1.45,-0.34,0.9,1.0,3000000.0,3000000.0
Doug Brocail,2006,237,Padres,2,2,25,0,0,28.1,27,1,8,19,16,0,0,0,15,0,0,2,0,119,1,0.32,2.54,6.04,2.38,9.2,40.2,3.4,56.6,4.76,0.28600000000000003,3.11,1.24,-0.09,0.5,1.0,500000.0,500000.0
Gil Meche,2006,87,Mariners,11,8,32,32,1,186.2,183,24,84,156,106,0,0,2,93,8,0,2,0,811,4,1.16,4.05,7.52,1.86,8.9,43.1,11.3,70.0,4.48,0.295,4.63,1.43,-0.59,1.9,5.0,55000000.0,11000000.0
Guillermo Mota,2006,581,Mets,4,3,52,0,0,55.2,55,11,24,46,29,0,0,0,28,0,9,4,0,241,2,1.78,3.88,7.44,1.92,9.1,34.1,13.4,78.6,4.53,0.275,5.36,1.42,-0.34,-0.3,2.0,5000000.0,2500000.0
J.C. Romero,2006,378,Angels,1,2,65,0,0,48.1,57,3,28,31,40,0,1,0,36,1,7,2,0,226,1,0.56,5.21,5.77,1.11,1.3,57.0,6.8,56.2,6.7,0.331,4.47,1.76,-0.64,0.0,1.0,1600000.0,1600000.0
Jamie Walker,2006,236,Tigers,0,1,56,0,0,48.0,47,8,8,37,15,0,0,0,15,0,11,3,0,196,1,1.5,1.5,6.94,4.63,14.8,30.6,11.1,91.3,2.81,0.273,4.27,1.15,0.4,0.5,3.0,12000000.0,4000000.0
Jason Marquis,2006,606,Cardinals,14,16,33,33,0,194.1,221,35,75,96,136,0,0,1,130,16,0,2,0,870,2,1.62,3.47,4.45,1.28,2.4,42.6,13.1,66.9,6.02,0.287,5.9,1.52,-2.09,-0.5,3.0,21000000.0,7000000.0
Jason Schmidt,2006,26,Giants,11,9,32,32,3,213.1,189,21,80,180,94,0,0,1,85,6,0,6,1,894,11,0.89,3.38,7.59,2.25,11.2,37.4,7.9,73.7,3.59,0.27699999999999997,3.95,1.26,2.43,3.8,3.0,47000000.0,15666666.666666664
Jeff Suppan,2006,88,Cardinals,12,7,32,32,0,190.0,207,21,69,104,100,0,0,0,87,8,0,6,0,837,8,0.99,3.27,4.93,1.51,4.2,46.8,10.8,72.3,4.12,0.293,4.7,1.45,0.63,1.9,4.0,42000000.0,10500000.0
