Name,Yr,Team,G,AB,PA,H_b,1B,2B,3B,HR_b,R_b,RBI,BB_b,IBB_b,SO_b,BB%,K%,BB/K,BABIP_b,HBP_b,SF,SH,GDP,SB,CS,Def,ISO,wOBA,wRAA,AVG,OBP,SLG,OPS,WAR,wRC+,WPA,W,L,GS,CG,IP,H_p,HR_p,BB_p,SO_p,R_p,SV,BS,BK,ER,HBP_p,HLD,IBB_p,ShO,TBF,WP,HR/9,BB/9,K/9,K/BB,K-BB%,GB%,HR/FB,LOB%,ERA,BABIP_p,FIP,WHIP,Contract Yrs,Total Salary($),Avg Salary($)
Cliff Floyd,2006,Mets,97,332.0,376.0,81.0,50.0,19.0,1.0,11.0,45.0,44.0,29.0,3.0,58.0,7.7,15.4,0.5,0.263,12.0,3.0,0.0,5.0,6.0,0.0,-8.5,0.163,0.318,-4.4,0.244,0.324,0.407,0.731,0.2,89.0,-0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000000.0,3000000.0
Craig Counsell,2006,Diamondbacks,105,372.0,415.0,95.0,73.0,14.0,4.0,4.0,56.0,30.0,31.0,0.0,47.0,7.5,11.3,0.66,0.28300000000000003,9.0,1.0,2.0,1.0,15.0,8.0,9.8,0.091,0.303,-10.2,0.255,0.327,0.34700000000000003,0.674,0.9,73.0,-1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6000000.0,3000000.0
Craig Wilson,2006,Braves,125,359.0,395.0,90.0,56.0,15.0,2.0,17.0,53.0,49.0,28.0,2.0,122.0,7.1,30.9,0.23,0.329,6.0,2.0,0.0,10.0,1.0,0.0,-16.7,0.195,0.325,-2.0,0.251,0.314,0.446,0.76,-0.7,94.0,-0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000000.0,2000000.0
Damion Easley,2006,Diamondbacks,90,189.0,220.0,44.0,28.0,6.0,1.0,9.0,24.0,28.0,21.0,0.0,30.0,9.5,13.6,0.7,0.23,5.0,2.0,3.0,4.0,1.0,1.0,-4.6,0.185,0.324,-1.5,0.233,0.32299999999999995,0.418,0.741,-0.1,86.0,-0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,850000.0,850000.0
Danys Baez,2006,Orioles,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,-1.16,5.0,6.0,0.0,0.0,59.2,60.0,3.0,17.0,39.0,35.0,9.0,8.0,0.0,30.0,7.0,12.0,3.0,0.0,257.0,3.0,0.45,2.56,5.88,2.29,8.6,39.7,3.8,61.4,4.53,0.298,3.7,1.29,3.0,19000000.0,6333333.333333332
Darin Erstad,2006,Angels,40,95.0,105.0,21.0,12.0,8.0,1.0,0.0,8.0,5.0,6.0,0.0,18.0,5.7,17.1,0.33,0.269,2.0,1.0,1.0,2.0,1.0,1.0,1.6,0.105,0.268,-5.7,0.221,0.279,0.326,0.605,-0.1,56.0,-0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1000000.0,1000000.0
Darren Oliver,2006,Mets,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,4.0,1.0,0.0,0.0,81.0,70.0,13.0,21.0,60.0,33.0,0.0,0.0,0.0,31.0,3.0,3.0,2.0,0.0,333.0,1.0,1.44,2.33,6.67,2.86,11.7,48.6,15.1,80.5,3.44,0.242,4.64,1.12,1.0,1750000.0,1750000.0
Daryle Ward,2006,Cubs,98,130.0,150.0,40.0,23.0,10.0,0.0,7.0,17.0,26.0,15.0,1.0,27.0,10.0,18.0,0.56,0.333,2.0,3.0,0.0,5.0,0.0,1.0,-7.4,0.238,0.39,7.5,0.308,0.38,0.546,0.926,0.3,137.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1050000.0,1050000.0
Dave Roberts,2006,Padres,129,499.0,567.0,146.0,113.0,18.0,13.0,2.0,80.0,44.0,51.0,2.0,61.0,9.0,10.8,0.84,0.327,4.0,5.0,7.0,5.0,49.0,6.0,1.9,0.1,0.332,0.0,0.293,0.36,0.393,0.752,3.1,104.0,-0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,18000000.0,6000000.0
David Riske,2006,Royals,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14,1.0,2.0,0.0,0.0,44.0,40.0,6.0,17.0,28.0,20.0,0.0,1.0,0.0,19.0,3.0,2.0,1.0,0.0,189.0,0.0,1.23,3.48,5.73,1.65,5.8,36.0,10.3,77.5,3.89,0.252,5.01,1.3,1.0,2250000.0,2250000.0
