"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid"
"Tim Wakefield","Red Sox","5.82","2.98","1.95","1.24","15.5 %","8.0 %","7.6 %",".226","1.18",".239","71.9 %","91","115","117","4.13","4.84","-0.72","5.04","4.78","219"
"Edwin Jackson","Rays","5.30","3.78","1.40","1.13","13.6 %","9.7 %","3.9 %",".279","1.51",".302","76.1 %","104","113","115","4.42","4.88","-0.46","4.97","5.09","1841"
"Armando Galarraga","Tigers","6.35","3.07","2.07","1.41","16.9 %","8.2 %","8.7 %",".224","1.19",".236","75.6 %","85","112","102","3.73","4.88","-1.16","4.43","4.43","4222"
"Johnny Cueto","Reds","8.17","3.52","2.32","1.50","20.6 %","8.8 %","11.7 %",".259","1.41",".298","72.5 %","109","110","100","4.81","4.90","-0.09","4.31","4.11","6893"
"Tim Redding","Nationals","5.93","3.21","1.85","1.34","15.2 %","8.2 %","7.0 %",".271","1.43",".294","68.5 %","115","113","109","4.95","4.93","0.02","4.72","4.70","573"
"Dave Bush","Brewers","5.30","2.34","2.27","1.41","14.3 %","6.3 %","8.0 %",".231","1.14",".236","71.5 %","99","114","107","4.18","4.93","-0.75","4.61","4.58","4635"
"Livan Hernandez","- - -","3.35","2.15","1.56","1.25","8.3 %","5.3 %","3.0 %",".336","1.67",".344","64.8 %","138","115","112","6.05","4.94","1.11","4.84","5.12","1116"
"Nate Robertson","Tigers","5.76","3.31","1.74","1.39","14.2 %","8.2 %","6.0 %",".313","1.66",".341","64.3 %","144","115","106","6.35","4.99","1.36","4.61","4.71","1620"
"Scott Olsen","Marlins","5.04","3.08","1.64","1.34","13.2 %","8.1 %","5.2 %",".249","1.31",".258","71.6 %","97","118","113","4.20","5.02","-0.82","4.89","4.99","4529"
"Brian Bannister","Royals","5.57","2.86","1.95","1.43","13.9 %","7.2 %","6.8 %",".288","1.49",".308","63.9 %","130","117","110","5.76","5.03","0.74","4.78","4.76","5718"
"Vicente Padilla","Rangers","6.68","3.42","1.95","1.37","16.8 %","8.6 %","8.2 %",".273","1.46",".303","72.2 %","105","114","108","4.74","5.03","-0.29","4.65","4.50","964"
"Paul Byrd","- - -","4.10","1.70","2.41","1.55","10.8 %","4.5 %","6.3 %",".283","1.32",".285","73.9 %","106","121","111","4.60","5.14","-0.54","4.80","4.94","594"
"Kenny Rogers","Tigers","4.25","3.68","1.15","1.14","10.5 %","9.1 %","1.4 %",".302","1.63",".318","66.6 %","130","120","122","5.70","5.22","0.48","5.30","5.39","1277"
"Jeff Suppan","Brewers","4.56","3.39","1.34","1.52","11.5 %","8.6 %","3.0 %",".292","1.54",".301","71.2 %","117","127","110","4.96","5.51","-0.55","4.73","5.06","633"
"Daniel Cabrera","Orioles","4.75","4.50","1.06","1.20","11.6 %","11.0 %","0.6 %",".279","1.61",".295","72.4 %","118","125","123","5.25","5.61","-0.36","5.31","5.33","1931"
"Brandon Backe","Astros","6.86","4.16","1.65","1.94","16.8 %","10.2 %","6.6 %",".299","1.67",".324","72.7 %","144","135","112","6.05","5.87","0.17","4.83","4.76","1529"
