Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,BB%,K%,BB/K,BABIP,HBP,SF,SH,GDP,SB,CS,Def,ISO,wOBA,wRAA,AVG,OBP,SLG,OPS,WAR,wRC+,WPA
Chris Young,Diamondbacks,160,625,699,155,84,42,7,22,85,85,62,2,165,8.9,23.6,0.38,0.3,1,5,6,10,14,5,2.6,0.195,0.32899999999999996,0.2,0.248,0.315,0.44299999999999995,0.758,2.3,91,-0.82
Casey Blake,Dodgers,152,536,601,147,89,36,1,21,71,81,49,11,120,8.2,20.0,0.41,0.316,11,4,1,12,3,0,-4.0,0.188,0.34700000000000003,9.1,0.27399999999999997,0.345,0.46299999999999997,0.8079999999999999,2.3,111,0.03
Kevin Kouzmanoff,Padres,154,624,668,162,104,31,4,23,71,84,23,3,139,3.4,20.8,0.17,0.297,15,6,0,14,0,0,4.0,0.17300000000000001,0.316,-6.6,0.26,0.299,0.433,0.732,2.2,96,-1.48
Jose Lopez,Mariners,159,644,687,191,132,41,1,17,80,89,27,5,67,3.9,9.8,0.4,0.306,1,9,6,14,6,3,-1.9,0.146,0.32899999999999996,0.3,0.297,0.322,0.44299999999999995,0.764,2.2,102,1.48
Jack Cust,Athletics,148,481,598,111,59,19,0,33,77,77,111,3,197,18.6,32.9,0.56,0.306,2,4,0,7,0,0,-22.6,0.245,0.37200000000000005,21.8,0.231,0.375,0.47600000000000003,0.851,2.1,131,2.28
Luke Scott,Orioles,148,475,536,122,68,29,2,23,67,65,53,10,102,9.9,19.0,0.52,0.28,5,3,0,7,2,2,-1.4,0.215,0.345,7.3,0.257,0.336,0.47200000000000003,0.807,2.1,106,0.15
Rickie Weeks Jr.,Brewers,129,475,560,111,68,22,7,14,89,46,66,0,115,11.8,20.5,0.57,0.27699999999999997,14,4,1,5,19,5,-1.3,0.16399999999999998,0.331,1.4,0.23399999999999999,0.342,0.39799999999999996,0.74,2.0,99,1.57
Stephen Drew,Diamondbacks,152,611,663,178,102,44,11,21,91,67,41,6,109,6.2,16.4,0.38,0.322,1,7,3,5,3,3,-9.2,0.21100000000000002,0.355,14.7,0.29100000000000004,0.33299999999999996,0.502,0.836,1.9,109,2.37
Vladimir Guerrero,Angels,143,541,600,164,103,31,3,27,85,91,51,16,77,8.5,12.8,0.66,0.311,4,4,0,27,5,3,-16.6,0.218,0.374,22.7,0.303,0.365,0.521,0.8859999999999999,1.9,129,2.17
Skip Schumaker,Cardinals,153,540,594,163,128,22,5,8,87,46,47,2,60,7.9,10.1,0.78,0.32799999999999996,2,1,4,19,8,2,-4.0,0.10400000000000001,0.34,5.7,0.302,0.359,0.406,0.765,1.8,106,0.66
Magglio Ordonez,Tigers,146,561,623,178,123,32,2,21,72,103,53,2,76,8.5,12.2,0.7,0.33399999999999996,3,6,0,27,1,5,-17.1,0.17600000000000002,0.37799999999999995,25.4,0.317,0.376,0.494,0.8690000000000001,1.6,130,0.73
Bengie Molina,Giants,145,530,569,155,106,33,0,16,46,95,19,5,38,3.3,6.7,0.5,0.285,9,11,0,23,0,0,11.6,0.153,0.32899999999999996,0.3,0.292,0.322,0.445,0.767,1.6,96,0.31
Jim Thome,White Sox,149,503,602,123,61,28,0,34,93,90,91,9,147,15.1,24.4,0.62,0.273,4,4,0,18,1,0,-15.0,0.258,0.371,21.0,0.245,0.36200000000000004,0.503,0.865,1.6,122,0.39
Bobby Abreu,Yankees,156,609,684,180,117,39,4,20,100,100,73,2,109,10.7,15.9,0.67,0.33299999999999996,1,1,0,14,22,11,-28.6,0.17600000000000002,0.369,23.1,0.29600000000000004,0.371,0.47100000000000003,0.843,1.6,125,2.81
Edwin Encarnacion,Reds,146,506,582,127,71,29,1,26,75,68,61,1,102,10.5,17.5,0.6,0.264,10,5,0,13,1,0,-10.4,0.215,0.35200000000000004,11.2,0.251,0.34,0.466,0.807,1.6,109,0.91
Lyle Overbay,Blue Jays,158,544,630,147,98,32,2,15,74,69,74,3,116,11.7,18.4,0.64,0.316,3,5,1,24,1,2,-7.6,0.149,0.344,8.0,0.27,0.358,0.419,0.777,1.6,108,-1.17
Adam Jones,Orioles,132,477,514,129,92,21,7,9,61,57,23,0,108,4.5,21.0,0.21,0.32899999999999996,7,5,2,12,10,3,7.8,0.13,0.312,-7.0,0.27,0.311,0.4,0.711,1.5,84,-0.6
Kosuke Fukudome,Cubs,150,501,590,129,91,25,3,10,79,58,81,9,104,13.7,17.6,0.78,0.304,1,5,2,7,12,4,-1.1,0.122,0.32799999999999996,-0.3,0.257,0.359,0.379,0.738,1.4,91,0.69
Garret Anderson,Angels,145,557,593,163,118,27,3,15,66,84,29,6,77,4.9,13.0,0.38,0.314,1,6,0,11,7,4,-2.5,0.14,0.327,-0.7,0.293,0.325,0.433,0.758,1.4,98,1.43
Jermaine Dye,White Sox,154,590,645,172,95,41,2,34,96,96,44,3,104,6.8,16.1,0.42,0.302,6,5,0,18,3,2,-26.6,0.249,0.377,26.1,0.292,0.344,0.541,0.885,1.4,127,-0.34
Adam LaRoche,Pirates,136,492,554,133,73,32,3,25,66,85,54,7,122,9.7,22.0,0.44,0.308,2,6,0,9,1,1,-14.1,0.23,0.358,13.6,0.27,0.341,0.5,0.841,1.3,116,1.24
