Name,Team,W,L,G,GS,CG,IP,H,HR,BB,SO,R,SV,BS,BK,ER,HBP,HLD,IBB,ShO,TBF,WP,HR/9,BB/9,K/9,K/BB,K-BB%,GB%,HR/FB,LOB%,ERA,BABIP,FIP,WHIP,WPA,WAR
Ervin Santana,Twins,16,8,33,33,5,211.1,177,31,61,167,85,0,0,1,77,8,0,2,3,864,12,1.32,2.6,7.11,2.74,12.3,41.2,11.8,79.5,3.28,0.245,4.46,1.13,2.75,2.9
Carlos Carrasco,Indians,18,6,32,32,1,200.0,173,21,46,226,73,0,0,0,73,10,0,2,0,798,10,0.95,2.07,10.17,4.91,22.6,45.2,12.4,78.2,3.29,0.307,3.1,1.1,3.42,5.5
Drew Pomeranz,Red Sox,17,6,32,32,0,173.2,166,19,69,174,69,0,0,0,64,4,0,0,0,740,6,0.98,3.58,9.02,2.52,14.2,43.2,11.2,80.0,3.32,0.31,3.84,1.35,2.43,3.1
Justin Verlander,Astros,15,8,33,33,0,206.0,170,27,72,219,80,0,0,0,77,4,0,4,0,849,5,1.18,3.15,9.57,3.04,17.3,33.5,11.5,79.7,3.36,0.271,3.84,1.17,3.21,4.1
Andrew Cashner,Rangers,11,11,28,28,0,166.2,156,15,64,86,75,0,0,1,63,9,0,0,0,704,10,0.81,3.46,4.64,1.34,3.1,48.6,8.6,74.0,3.4,0.266,4.61,1.32,1.58,1.9
Lance Lynn,Cardinals,11,8,33,33,0,186.1,151,27,78,153,80,0,0,0,71,10,0,5,0,776,2,1.3,3.77,7.39,1.96,9.7,44.0,14.2,79.0,3.43,0.244,4.82,1.23,1.86,1.4
Jimmy Nelson,Brewers,12,6,29,29,1,175.1,171,16,48,199,75,0,0,1,68,9,0,1,0,728,6,0.82,2.46,10.21,4.15,20.7,50.3,12.6,74.4,3.49,0.34,3.05,1.25,2.03,4.9
Jake Arrieta,Cubs,14,10,30,30,0,168.1,150,23,55,163,82,0,0,0,66,10,0,3,0,707,14,1.23,2.94,8.71,2.96,15.3,45.1,14.0,72.8,3.53,0.27899999999999997,4.16,1.22,0.81,2.4
Jacob deGrom,Mets,15,10,31,31,1,201.1,180,28,59,239,87,0,0,0,79,2,0,5,0,827,7,1.25,2.64,10.68,4.05,21.8,45.3,16.1,76.3,3.53,0.305,3.5,1.19,1.78,4.4
Aaron Nola,Phillies,12,11,27,27,0,168.0,154,18,49,184,67,0,0,0,66,2,0,2,0,693,1,0.96,2.63,9.86,3.76,19.5,49.8,12.7,76.8,3.54,0.309,3.27,1.21,1.53,4.3
Sonny Gray,Yankees,10,12,27,27,1,162.1,139,19,57,153,79,0,0,0,64,3,0,1,0,678,11,1.05,3.16,8.48,2.68,14.2,52.8,15.1,69.6,3.55,0.26899999999999996,3.9,1.21,-0.25,2.8
Carlos Martinez,Cardinals,12,11,32,32,2,205.0,179,27,71,217,93,0,0,0,83,8,0,3,2,858,9,1.19,3.12,9.53,3.06,17.0,51.3,16.4,74.9,3.64,0.284,3.91,1.22,1.43,3.3
Alex Cobb,Rays,12,10,29,29,0,179.1,175,22,44,128,78,0,0,1,73,6,0,2,0,742,8,1.1,2.21,6.42,2.91,11.3,47.8,13.0,75.7,3.66,0.282,4.16,1.22,2.22,2.4
Jose Urena,Marlins,14,7,34,28,0,169.2,152,26,64,113,77,0,0,1,72,14,0,4,0,724,5,1.38,3.39,5.99,1.77,6.8,43.1,13.1,79.0,3.82,0.249,5.2,1.27,0.49,0.2
Michael Fulmer,Tigers,10,12,25,25,1,164.2,150,13,40,114,80,0,0,1,70,8,0,2,0,676,3,0.71,2.19,6.23,2.85,11.0,49.2,8.8,65.6,3.83,0.273,3.67,1.15,0.67,3.5
Yu Darvish,Dodgers,10,12,31,31,0,186.2,159,27,58,209,83,0,0,1,80,6,0,1,0,766,12,1.3,2.8,10.08,3.6,19.7,40.7,15.1,75.6,3.86,0.28300000000000003,3.83,1.16,0.98,3.5
Jhoulys Chacin,Padres,13,10,32,32,0,180.1,157,19,72,153,82,0,0,1,78,14,0,5,0,765,7,0.95,3.59,7.64,2.13,10.6,49.1,11.4,74.4,3.89,0.272,4.26,1.27,1.2,2.3
Zach Davies,Brewers,17,9,33,33,0,191.1,204,20,55,124,90,0,0,0,83,9,0,3,0,817,2,0.94,2.59,5.83,2.25,8.5,50.2,12.0,74.2,3.9,0.302,4.22,1.35,0.64,2.8
Mike Leake,Mariners,10,13,31,31,0,186.0,201,20,37,130,93,0,0,0,81,9,0,3,0,782,3,0.97,1.79,6.29,3.51,11.9,53.7,13.6,70.3,3.92,0.309,3.9,1.28,0.19,3.1
Patrick Corbin,Diamondbacks,14,13,33,32,0,189.2,208,26,61,178,97,0,0,0,85,3,0,8,0,826,10,1.23,2.89,8.45,2.92,14.2,50.4,15.3,74.3,4.03,0.326,4.08,1.42,0.81,3.0
Chris Archer,Rays,10,12,34,34,0,201.0,193,27,60,249,101,0,0,0,91,5,0,0,0,852,15,1.21,2.69,11.15,4.15,22.2,42.0,14.1,71.3,4.07,0.325,3.4,1.26,-0.52,4.6
Michael Wacha,Cardinals,12,9,30,30,1,165.2,170,17,55,158,82,0,0,0,76,3,0,3,1,701,5,0.92,2.99,8.58,2.87,14.7,48.0,11.6,71.5,4.13,0.327,3.63,1.36,-0.74,3.2
Ivan Nova,Pirates,11,14,31,31,2,187.0,203,29,36,131,96,0,0,0,86,7,0,2,1,785,8,1.4,1.73,6.3,3.64,12.1,45.7,15.8,73.0,4.14,0.299,4.46,1.28,-0.18,1.9
Jose Quintana,Cubs,11,11,32,32,1,188.2,170,23,61,207,92,0,0,1,87,10,0,4,1,790,8,1.1,2.91,9.87,3.39,18.5,44.8,13.2,71.4,4.15,0.301,3.68,1.22,-0.52,3.9
Jason Vargas,Royals,18,11,32,32,1,179.2,181,27,58,134,84,0,0,1,83,5,0,2,1,756,6,1.35,2.91,6.71,2.31,10.1,40.3,12.1,77.6,4.16,0.289,4.67,1.33,1.18,1.6
Trevor Bauer,Indians,17,9,32,31,0,176.1,181,25,60,196,84,0,0,1,82,5,0,0,0,749,3,1.28,3.06,10.0,3.27,18.2,46.4,16.1,76.8,4.19,0.337,3.88,1.37,1.45,3.2
Dylan Bundy,Orioles,13,9,28,28,1,169.2,152,26,51,152,82,0,0,0,80,7,0,0,1,698,0,1.38,2.71,8.06,2.98,14.5,32.8,11.5,73.7,4.24,0.273,4.38,1.2,0.96,2.7
Gerrit Cole,Pirates,12,12,33,33,0,203.0,199,31,55,196,98,0,0,0,96,4,0,1,0,849,7,1.37,2.44,8.69,3.56,16.6,45.8,15.9,74.6,4.26,0.298,4.08,1.25,0.63,3.1
Dan Straily,Marlins,10,9,33,33,0,181.2,176,31,60,170,90,0,0,0,86,5,0,4,0,769,2,1.54,2.97,8.42,2.83,14.3,34.2,13.0,76.4,4.26,0.28800000000000003,4.58,1.3,-0.09,2.0
R.A. Dickey,Braves,10,10,31,31,0,190.0,193,26,67,136,99,0,0,2,90,10,0,3,0,815,13,1.23,3.17,6.44,2.03,8.5,46.9,13.2,73.2,4.26,0.29,4.72,1.37,-0.84,1.6
Jon Lester,Cubs,13,8,32,32,1,180.2,179,26,60,180,101,0,0,0,87,4,0,3,0,763,3,1.3,2.99,8.97,3.0,15.7,46.2,15.8,68.7,4.33,0.31,4.1,1.32,0.07,2.7
German Marquez,Rockies,11,7,29,29,0,162.0,174,25,49,147,82,0,0,0,79,8,0,3,0,701,6,1.39,2.72,8.17,3.0,14.0,45.2,15.4,76.0,4.39,0.316,4.4,1.38,0.92,2.4
Jeff Samardzija,Giants,9,15,32,32,1,207.2,204,30,32,205,107,0,0,0,102,6,0,1,1,847,2,1.3,1.39,8.88,6.41,20.4,41.5,13.8,67.5,4.42,0.303,3.61,1.14,-0.05,3.8
Julio Teheran,Braves,11,13,32,32,0,188.1,186,31,72,151,103,0,0,0,94,7,0,3,0,812,6,1.48,3.44,7.22,2.1,9.7,40.0,13.7,73.1,4.49,0.281,4.95,1.37,-0.44,1.1
John Lackey,Cubs,12,12,31,30,0,170.2,165,36,53,149,93,0,0,2,87,12,0,3,0,731,11,1.9,2.79,7.86,2.81,13.1,41.2,18.2,76.3,4.59,0.268,5.3,1.28,-1.42,0.5
Rick Porcello,Red Sox,11,17,33,33,2,203.1,236,38,48,181,125,0,0,0,105,6,0,1,0,885,5,1.68,2.12,8.01,3.77,15.0,39.2,14.7,69.7,4.65,0.324,4.6,1.4,-0.97,2.0
Tanner Roark,Nationals,13,11,32,30,0,181.1,178,23,64,166,105,0,0,1,94,6,0,5,0,776,3,1.14,3.18,8.24,2.59,13.1,48.2,13.5,66.3,4.67,0.3,4.13,1.33,-1.51,2.4
Luis Perdomo,Padres,8,11,29,29,0,163.2,182,17,65,118,97,0,0,2,85,8,0,3,0,716,11,0.93,3.57,6.49,1.82,7.4,61.8,15.6,68.3,4.67,0.325,4.4,1.51,-1.65,1.6
Kevin Gausman,Orioles,11,12,34,34,0,186.2,208,29,71,179,99,0,0,1,97,5,0,0,0,816,8,1.4,3.42,8.63,2.52,13.2,42.7,14.8,76.0,4.68,0.336,4.48,1.49,0.98,2.5
Masahiro Tanaka,Yankees,13,12,30,30,1,178.1,180,35,41,194,100,0,0,0,94,7,0,1,1,752,7,1.77,2.07,9.79,4.73,20.4,49.2,21.2,71.5,4.74,0.305,4.34,1.24,0.21,2.7
Ty Blach,Giants,8,12,34,24,1,163.2,179,17,43,73,91,0,0,0,87,1,0,2,1,692,3,0.93,2.36,4.01,1.7,4.3,46.7,9.6,66.3,4.78,0.29,4.42,1.36,-0.52,1.2
Clayton Richard,Padres,8,15,32,32,2,197.1,240,24,59,151,114,0,0,1,105,8,0,6,1,858,7,1.09,2.69,6.89,2.56,10.7,59.2,19.4,70.6,4.79,0.35100000000000003,4.23,1.52,-1.51,2.3
Martin Perez,Rangers,13,12,32,32,0,185.0,221,23,63,115,108,0,0,0,99,6,0,3,0,811,4,1.12,3.06,5.59,1.83,6.4,47.3,13.3,70.6,4.82,0.32799999999999996,4.65,1.54,-0.24,1.9
Ricky Nolasco,Angels,6,15,33,33,1,181.0,205,35,58,143,102,0,0,0,99,3,0,3,1,787,4,1.74,2.88,7.11,2.47,10.8,40.1,15.6,75.6,4.92,0.31,5.1,1.45,-1.71,0.7
Marco Estrada,Blue Jays,10,9,33,33,0,186.0,186,31,71,176,104,0,0,0,103,2,0,0,0,806,1,1.5,3.44,8.52,2.48,13.0,30.3,11.2,71.9,4.98,0.295,4.61,1.38,-0.45,2.6
Jason Hammel,Royals,8,13,32,32,0,180.1,209,26,48,145,109,0,0,1,106,9,0,2,0,804,7,1.3,2.4,7.24,3.02,12.1,38.0,10.6,68.4,5.29,0.318,4.37,1.43,-1.58,2.1
Jeremy Hellickson,Orioles,8,11,30,30,0,164.0,160,35,47,96,105,0,0,1,99,8,0,2,0,695,4,1.92,2.58,5.27,2.04,7.1,34.9,15.1,66.3,5.43,0.24600000000000002,5.77,1.26,-2.34,0.2
Matt Moore,Giants,6,15,32,31,0,174.1,200,27,67,148,116,0,0,0,107,7,0,3,0,790,10,1.39,3.46,7.64,2.21,10.3,37.7,11.6,66.9,5.52,0.32,4.75,1.53,-2.94,1.0
